note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
263;64;1/16;373/16;173;2;ornamentation;0;4;True;[monotonic]
264;65;1/32;187/8;174;2;ornamentation;0;4;False;[monotonic]
265;64;1/32;749/32;175;2;ornamentation;0;4;False;[monotonic]
266;62;1/32;375/16;176;2;ornamentation;0;4;False;[monotonic]
267;60;1/32;751/32;177;2;ornamentation;0;4;False;[monotonic]
269;62;1/4;47/2;178;2;match;2;4;True;[monotonic]
483;62;1/8;42;316;2;repetition;1;6;True;[non_monotonic]
509;60;1/16;717/16;332;2;ornamentation;0;6;False;[non_monotonic]
510;59;1/16;359/8;333;2;ornamentation;0;6;False;[non_monotonic]
511;57;1/16;719/16;334;2;ornamentation;0;6;False;[non_monotonic]
513;59;1/16;45;335;2;adaptation;1;6;False;[non_monotonic]
521;64;1/4;91/2;341;2;repetition;1;6;True;[non_monotonic]
590;55;1/8;51;384;2;match;2;8;True;[monotonic]
594;55;1/16;205/4;386;2;repetition;1;8;False;[monotonic]
596;53;1/16;821/16;387;2;ornamentation;0;8;False;[monotonic]
597;52;1/16;411/8;388;2;adaptation;0;8;False;[monotonic]
598;50;1/16;823/16;389;2;ornamentation;0;8;False;[monotonic]
600;52;1/8;103/2;390;2;match;1;8;True;[monotonic]
862;64;1/16;1165/16;565;2;ornamentation;0;15;True;[monotonic]
863;62;1/32;583/8;566;2;ornamentation;0;15;False;[monotonic]
864;64;1/32;2333/32;567;2;ornamentation;0;15;False;[monotonic]
865;65;1/32;1167/16;568;2;ornamentation;0;15;False;[monotonic]
866;67;1/32;2335/32;569;2;ornamentation;0;15;False;[monotonic]
870;65;1;73;570;2;adaptation;2;15;True;[monotonic]
