output_csv,duration,count,sequence_ids
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,1/32,15,"1,3,5,9,13,15,16,20,24,30,32,37,39,42,44"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,1/16,26,"0,2,4,7,8,10,12,14,17,18,19,21,22,23,25,26,28,29,31,33,35,36,38,40,41,43"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,1/8,4,"6,11,27,34"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_fourstep.csv,1/32,11,"1,3,5,9,13,16,20,24,32,42,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_fourstep.csv,1/16,10,"7,10,14,17,25,26,28,31,33,35"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,1/32,15,"1,3,5,9,13,15,16,20,24,30,32,37,39,42,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,1/16,14,"0,7,8,12,14,18,19,23,25,28,29,35,36,43"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,1/8,2,"27,34"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,1/32,15,"0,1,2,5,9,11,12,17,22,28,30,34,35,43,45"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,1/16,22,"3,4,6,8,10,14,15,16,18,20,21,23,24,26,27,29,31,32,33,40,42,44"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,1/8,9,"7,13,19,25,36,37,38,39,41"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_fourstep.csv,1/32,11,"0,1,2,5,9,12,17,22,30,43,45"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_fourstep.csv,1/16,10,"3,6,10,14,23,24,26,29,31,32"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,1/32,15,"0,1,2,5,9,11,12,17,22,28,30,34,35,43,45"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,1/16,13,"3,4,8,10,15,16,21,23,26,27,32,33,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,1/8,1,25
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,1/32,7,"1,4,5,6,9,11,13"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,1/16,7,"0,2,3,7,8,10,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1_fourstep.csv,1/32,4,"1,4,6,11"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1_fourstep.csv,1/16,1,10
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,1/32,4,"1,3,9,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,1/16,8,"0,2,5,6,7,8,10,11"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,1/8,1,4
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0_fourstep.csv,1/32,3,"1,3,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0_fourstep.csv,1/16,3,"5,6,8"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,1/32,2,"0,9"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,1/16,6,"1,2,3,5,7,8"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,1/8,2,"4,6"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3_fourstep.csv,1/32,1,9
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3_fourstep.csv,1/16,3,"1,5,7"
