output_csv,sequence_length,count,sequence_ids
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,2,5,"2,4,6,34,38"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,3,1,0
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,4,25,"1,3,5,7,8,9,10,13,14,16,17,20,24,25,26,27,28,30,31,32,33,35,39,42,44"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,5,1,36
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,6,3,"11,12,29"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,8,4,"15,21,22,37"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,10,3,"23,41,43"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_abtab.csv,12,3,"18,19,40"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_fourstep.csv,4,21,"1,3,5,7,9,10,13,14,16,17,20,24,25,26,28,31,32,33,35,42,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,2,1,34
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,3,1,0
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,4,20,"1,3,5,7,8,9,13,14,16,20,24,25,27,28,30,32,35,39,42,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,5,1,36
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,6,2,"12,29"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,8,2,"15,37"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,10,2,"23,43"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_abtab_non_chord.csv,12,2,"18,19"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,4,29,"0,1,2,3,4,5,6,9,10,12,13,14,17,19,22,23,24,25,26,28,29,30,31,32,35,37,41,43,45"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,5,1,33
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,6,4,"7,8,27,36"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,8,6,"11,18,20,34,38,39"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,10,3,"21,42,44"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_tab_raw.csv,12,3,"15,16,40"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_fourstep.csv,4,21,"0,1,2,3,5,6,9,10,12,14,17,22,23,24,26,29,30,31,32,43,45"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,4,20,"0,1,2,3,4,5,9,10,12,17,22,23,25,26,28,30,32,35,43,45"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,5,1,33
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,6,2,"8,27"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,8,2,"11,34"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,10,2,"21,44"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_tab_raw_non_chord.csv,12,2,"15,16"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,2,1,12
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,3,2,"0,2"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,4,9,"1,3,4,6,7,9,10,11,13"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,6,1,8
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1.csv,8,1,5
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-1_fourstep.csv,4,5,"1,4,6,10,11"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,2,3,"0,2,4"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,4,6,"1,3,5,6,8,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,6,1,11
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,7,1,9
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,8,1,7
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0.csv,10,1,10
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-0_fourstep.csv,4,6,"1,3,5,6,8,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,1,1,6
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,3,2,"0,4"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,4,5,"1,3,5,7,9"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,7,1,2
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3.csv,10,1,8
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-3_fourstep.csv,4,4,"1,5,7,9"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,3,3,"8,9,11"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,4,2,"3,7"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,5,4,"0,2,10,12"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,6,2,"1,6"
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,7,1,5
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2.csv,8,1,4
output/4471_40_cum_sancto_spiritu/voices/4471_40_cum_sancto_spiritu_voice-2_fourstep.csv,4,2,"3,7"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,1,1,33
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,2,4,"12,14,16,18"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,3,7,"0,2,27,31,45,46,48"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,4,22,"1,3,4,6,7,9,10,11,13,15,17,19,20,22,26,28,30,32,34,36,40,44"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,5,4,"37,39,47,49"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,6,4,"8,25,38,43"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,7,3,"23,29,42"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,8,3,"5,21,41"
output/4471_40_cum_sancto_spiritu/4471_40_cum_sancto_spiritu_voices_merged.csv,10,2,"24,35"
output/4471_40_cum_sancto_spiritu/fourstep/4471_40_cum_sancto_spiritu_voices_merged_fourstep.csv,4,17,"1,4,6,10,11,15,17,19,20,22,26,28,32,34,36,40,44"
