note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,67,3/16,1/2,1,1,repetition,0,0,True
2,66,1/16,11/16,2,1,ornamentation,0,0,False
3,67,1/16,3/4,3,1,repetition,0,0,False
4,66,1/16,13/16,4,1,ornamentation,0,0,False
5,67,1/32,7/8,5,1,ornamentation,0,0,True
4,66,1/16,13/16,4,1,ornamentation,0,1,True
5,67,1/32,7/8,5,1,ornamentation,0,1,False
6,66,1/32,29/32,6,1,ornamentation,0,1,False
7,64,1/32,15/16,7,1,ornamentation,0,1,False
8,66,1/32,31/32,8,1,ornamentation,0,1,False
9,67,1/4,1,9,1,match,0,1,True
16,65,1/8,17/8,14,1,match,0,2,True
17,64,1/16,9/4,15,1,match,1,2,False
18,74,1/16,9/4,15,0,repetition,0,2,False
19,72,1/16,37/16,16,0,ornamentation,0,2,False
20,74,1/32,19/8,17,0,ornamentation,0,2,True
19,72,1/16,37/16,16,0,ornamentation,0,3,True
20,74,1/32,19/8,17,0,ornamentation,0,3,False
21,72,1/32,77/32,18,0,ornamentation,0,3,False
22,71,1/32,39/16,19,0,ornamentation,0,3,False
23,72,1/32,79/32,20,0,ornamentation,0,3,False
24,62,1/4,5/2,21,1,match,1,3,True
25,74,1/4,5/2,21,0,match,0,3,True
30,62,1/8,25/8,24,1,match,0,4,True
31,64,1/16,13/4,25,1,match,1,4,False
32,72,1/16,13/4,25,0,repetition,0,4,False
33,71,1/16,53/16,26,0,ornamentation,0,4,False
34,72,1/32,27/8,27,0,repetition,0,4,True
33,71,1/16,53/16,26,0,ornamentation,0,5,True
34,72,1/32,27/8,27,0,repetition,0,5,False
35,71,1/32,109/32,28,0,ornamentation,0,5,False
36,69,1/32,55/16,29,0,ornamentation,0,5,False
37,67,1/32,111/32,30,0,ornamentation,0,5,False
38,65,1/8,7/2,31,1,match,1,5,True
39,69,1/8,7/2,31,0,match,0,5,True
37,67,1/32,111/32,30,0,ornamentation,0,6,True
38,65,1/8,7/2,31,1,match,1,6,False
39,69,1/8,7/2,31,0,match,0,6,False
40,67,1/8,29/8,32,0,ornamentation,0,6,False
