note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
1;67;3/16;1/2;1;1;repetition;0;0;True
2;66;1/16;11/16;2;1;ornamentation;0;0;False
3;67;1/16;3/4;3;1;repetition;0;0;False
4;66;1/16;13/16;4;1;ornamentation;0;0;False
5;67;1/32;7/8;5;1;ornamentation;0;0;True
4;66;1/16;13/16;4;1;ornamentation;0;1;True
5;67;1/32;7/8;5;1;ornamentation;0;1;False
6;66;1/32;29/32;6;1;ornamentation;0;1;False
7;64;1/32;15/16;7;1;ornamentation;0;1;False
8;66;1/32;31/32;8;1;ornamentation;0;1;False
9;67;1/4;1;9;1;match;0;1;True
19;72;1/16;37/16;16;0;ornamentation;0;3;True
20;74;1/32;19/8;17;0;ornamentation;0;3;False
21;72;1/32;77/32;18;0;ornamentation;0;3;False
22;71;1/32;39/16;19;0;ornamentation;0;3;False
23;72;1/32;79/32;20;0;ornamentation;0;3;False
24;62;1/4;5/2;21;1;match;1;3;True
25;74;1/4;5/2;21;0;match;0;3;True
33;71;1/16;53/16;26;0;ornamentation;0;5;True
34;72;1/32;27/8;27;0;repetition;0;5;False
35;71;1/32;109/32;28;0;ornamentation;0;5;False
36;69;1/32;55/16;29;0;ornamentation;0;5;False
37;67;1/32;111/32;30;0;ornamentation;0;5;False
38;65;1/8;7/2;31;1;match;1;5;True
39;69;1/8;7/2;31;0;match;0;5;True
40;67;1/8;29/8;32;0;ornamentation;0;7;True
41;69;1/16;15/4;33;0;repetition;0;7;False
42;67;1/16;61/16;34;1;ornamentation;0;7;False
43;66;1/16;31/8;35;1;ornamentation;0;7;False
44;67;1/16;63/16;36;1;ornamentation;0;7;False
45;67;1/8;4;37;1;repetition;1;7;True
46;69;1/8;4;37;0;match;0;7;True
45;67;1/8;4;37;1;repetition;1;8;True
46;69;1/8;4;37;0;match;0;8;True
47;66;1/16;33/8;38;1;match;0;8;False
48;64;1/16;67/16;39;1;ornamentation;0;8;False
49;67;1/16;17/4;40;1;adaptation;0;8;False
50;66;1/16;69/16;41;1;ornamentation;0;8;False
51;67;1/32;35/8;42;1;adaptation;0;8;True
