note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
85,64,1/4,29/4,62,2,match,0,0,True
87,60,1/8,15/2,63,2,match,0,0,False
90,60,1/8,31/4,65,2,repetition,0,0,False
91,59,1/8,63/8,66,2,match,0,0,False
93,57,1/8,8,67,2,match,0,0,False
94,55,1/8,65/8,68,2,ornamentation,0,0,False
95,57,1/16,33/4,69,2,repetition,0,0,True
94,55,1/8,65/8,68,2,ornamentation,0,1,True
95,57,1/16,33/4,69,2,repetition,0,1,False
96,55,1/16,133/16,70,2,ornamentation,0,1,False
97,54,1/16,67/8,71,2,ornamentation,0,1,False
98,55,1/16,135/16,72,2,ornamentation,0,1,False
99,57,1/16,17/2,73,2,match,0,1,False
100,55,1/16,137/16,74,2,ornamentation,0,1,False
101,57,1/32,69/8,75,2,repetition,0,1,True
188,67,1/8,17,137,2,match,0,2,True
196,67,1/16,281/16,145,2,ornamentation,0,2,False
197,66,1/16,141/8,146,2,ornamentation,0,2,False
198,64,1/16,283/16,147,2,ornamentation,0,2,False
199,67,1/16,71/4,148,2,repetition,0,2,False
200,66,1/16,285/16,149,2,ornamentation,0,2,False
201,67,1/32,143/8,150,2,ornamentation,0,2,True
200,66,1/16,285/16,149,2,ornamentation,0,3,True
201,67,1/32,143/8,150,2,ornamentation,0,3,False
202,66,1/32,573/32,151,2,ornamentation,0,3,False
203,64,1/32,287/16,152,2,ornamentation,0,3,False
204,66,1/32,575/32,153,2,ornamentation,0,3,False
206,67,1/4,18,154,2,match,0,3,True
207,62,1/4,73/4,155,2,match,0,4,True
209,65,1/16,37/2,156,2,adaptation,0,4,False
210,64,1/16,297/16,157,2,ornamentation,0,4,False
211,62,1/16,149/8,158,2,ornamentation,0,4,False
212,64,1/16,299/16,159,2,ornamentation,0,4,False
214,65,1/16,75/4,160,2,match,0,4,False
215,64,1/16,301/16,161,2,ornamentation,0,4,False
216,65,1/16,151/8,162,2,ornamentation,0,4,False
217,67,1/16,303/16,163,2,ornamentation,0,4,False
219,65,1/8,19,164,2,repetition,0,4,True
222,60,1/8,77/4,166,2,match,0,5,True
226,62,1/16,313/16,169,2,ornamentation,0,5,False
227,61,1/16,157/8,170,2,ornamentation,0,5,False
228,62,1/16,315/16,171,2,ornamentation,0,5,False
230,64,1/16,79/4,172,2,match,0,5,False
231,62,1/16,317/16,173,2,ornamentation,0,5,False
232,64,1/16,159/8,174,2,ornamentation,0,5,False
233,66,1/16,319/16,175,2,ornamentation,0,5,False
235,64,1/8,20,176,2,repetition,0,5,True
236,62,1/8,161/8,177,2,match,0,6,True
237,64,1/16,81/4,178,2,adaptation,0,6,False
242,62,1/16,329/16,183,2,ornamentation,0,6,False
243,61,1/16,165/8,184,2,ornamentation,0,6,False
244,59,1/16,331/16,185,2,ornamentation,0,6,False
245,62,1/16,83/4,186,2,repetition,0,6,False
246,61,1/16,333/16,187,2,ornamentation,0,6,False
247,62,1/32,167/8,188,2,ornamentation,0,6,True
246,61,1/16,333/16,187,2,ornamentation,0,7,True
247,62,1/32,167/8,188,2,ornamentation,0,7,False
248,61,1/32,669/32,189,2,ornamentation,0,7,False
249,59,1/32,335/16,190,2,ornamentation,0,7,False
250,61,1/32,671/32,191,2,ornamentation,0,7,False
252,62,1/4,21,192,2,match,1,7,True
252,62,1/4,21,192,2,match,1,8,True
267,53,1/16,361/16,203,2,ornamentation,0,8,False
268,55,1/16,181/8,204,2,ornamentation,0,8,False
269,57,1/16,363/16,205,2,ornamentation,0,8,False
270,55,1/8,91/4,206,2,match,0,8,True
284,60,1/4,24,217,2,match,1,9,True
311,55,1/16,409/16,239,2,ornamentation,0,9,False
312,57,1/16,205/8,240,2,ornamentation,0,9,False
313,58,1/16,411/16,241,2,ornamentation,0,9,False
314,57,1/8,103/4,242,2,match,0,9,True
327,62,3/16,27,252,2,match,1,10,True
329,67,1/16,435/16,253,2,ornamentation,0,10,False
330,65,1/16,109/4,254,2,adaptation,0,10,False
331,64,1/16,437/16,255,2,ornamentation,0,10,False
332,62,1/16,219/8,256,2,ornamentation,0,10,False
333,60,1/16,439/16,257,2,ornamentation,0,10,False
334,59,1/32,55/2,258,2,adaptation,0,10,True
462,60,1/4,73/2,324,2,match,1,11,True
470,62,1/16,37,327,2,match,2,11,False
471,61,1/16,593/16,328,2,ornamentation,0,11,False
472,62,1/16,297/8,329,2,repetition,0,11,False
492,59,1/8,305/8,342,2,match,1,11,True
492,59,1/8,305/8,342,2,match,1,12,True
495,55,1/16,153/4,343,2,match,1,12,False
497,67,1/16,613/16,344,2,ornamentation,0,12,False
498,66,1/16,307/8,345,2,ornamentation,0,12,False
499,67,1/16,615/16,346,2,ornamentation,0,12,False
501,57,1/16,77/2,347,2,match,0,12,False
512,59,3/4,39,357,2,adaptation,2,12,True
