output_csv,sequence_length,count,sequence_ids
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,1,1,67
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,2,13,"1,5,12,18,38,41,43,47,50,52,56,63,69"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,3,6,"3,10,27,54,61,77"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,4,36,"0,2,4,6,7,8,9,11,13,14,15,17,19,20,28,30,32,34,35,37,39,44,51,53,55,57,58,59,60,62,64,65,66,70,71,78"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,6,6,"16,24,25,45,75,76"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,8,12,"21,23,26,31,33,40,42,48,68,72,74,79"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,10,1,36
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,12,2,"22,73"
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,14,1,29
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,22,1,46
output/4481_49_ach_unfal_wes_zeigst_du_mich/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab.csv,28,1,49
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_fourstep.csv,4,31,"0,2,4,6,7,9,11,13,14,17,19,20,28,30,32,34,37,39,44,51,53,55,57,58,60,62,64,65,70,71,78"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,1,1,67
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,2,11,"1,5,12,38,41,43,47,50,52,56,63"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,3,6,"3,10,27,54,61,77"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,4,27,"0,2,4,6,8,9,11,13,17,19,20,28,30,32,37,39,51,53,55,57,59,60,62,64,70,71,78"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,6,2,"24,75"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,8,5,"23,33,40,68,74"
output/4481_49_ach_unfal_wes_zeigst_du_mich/fourstep/4481_49_ach_unfal_wes_zeigst_du_mich_tab_abtab_non_chord.csv,10,1,36
