note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
1;58;1/4;1/2;1;3;match;0;0;True;[non_monotonic]
2;58;1/16;3/4;2;3;ornamentation;0;0;False;[non_monotonic]
3;57;1/16;13/16;3;3;ornamentation;0;0;False;[non_monotonic]
4;58;1/16;7/8;4;3;ornamentation;0;0;False;[non_monotonic]
5;60;1/16;15/16;5;3;ornamentation;0;0;False;[non_monotonic]
6;58;1/2;1;6;3;repetition;0;0;True;[non_monotonic]
13;58;1/16;45/16;12;1;ornamentation;0;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
14;60;1/32;23/8;13;1;adaptation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
15;58;1/32;93/32;14;3;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
16;57;1/32;47/16;15;3;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
17;55;1/32;95/32;16;3;ornamentation;0;1;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
18;53;3/16;3;17;3;match;1;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
19;65;3/16;3;17;1;match;0;1;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
22;60;1/16;53/16;20;3;ornamentation;0;2;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
23;58;1/32;27/8;21;3;adaptation;0;2;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
24;60;1/32;109/32;22;1;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
25;62;1/32;55/16;23;1;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
26;64;1/32;111/32;24;1;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
27;53;1/4;7/2;25;3;repetition;1;2;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
28;65;1/4;7/2;25;1;match;0;2;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
30;53;1/16;61/16;27;3;ornamentation;0;3;True;[monotonic_perfect_fifth_0_1]
31;55;1/32;31/8;28;3;adaptation;0;3;False;[monotonic_perfect_fifth_0_1]
32;53;1/32;125/32;29;3;ornamentation;0;3;False;[monotonic_perfect_fifth_0_1]
33;51;1/32;63/16;30;3;ornamentation;0;3;False;[monotonic_perfect_fifth_0_1]
34;50;1/32;127/32;31;3;ornamentation;0;3;False;[monotonic_perfect_fifth_0_1]
35;48;1/16;4;32;3;match;1;3;True;[monotonic_perfect_fifth_0_1]
36;65;1/16;4;32;1;repetition;0;3;True;[monotonic_perfect_fifth_0_1]
34;50;1/32;127/32;31;3;ornamentation;0;4;True;[non_monotonic_chords]
35;48;1/16;4;32;3;match;1;4;False;[non_monotonic_chords]
36;65;1/16;4;32;1;repetition;0;4;False;[non_monotonic_chords]
37;64;1/16;65/16;33;1;ornamentation;0;4;False;[non_monotonic_chords]
38;62;1/16;33/8;34;1;ornamentation;0;4;False;[non_monotonic_chords]
39;64;1/16;67/16;35;1;ornamentation;0;4;False;[non_monotonic_chords]
40;46;1/4;17/4;36;3;match;1;4;True;[non_monotonic_chords]
41;65;1/4;17/4;36;1;match;0;4;True;[non_monotonic_chords]
46;53;1/4;5;41;3;repetition;1;6;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
47;60;1/4;5;41;1;match;0;6;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
48;55;1/16;21/4;42;3;adaptation;0;6;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
49;53;1/16;85/16;43;3;ornamentation;0;6;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
50;51;1/16;43/8;44;3;adaptation;0;6;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
51;50;1/16;87/16;45;3;ornamentation;0;6;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
52;48;3/16;11/2;46;3;match;2;6;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
53;60;3/16;11/2;46;1;repetition;1;6;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
54;67;3/16;11/2;46;0;match;0;6;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
57;62;1/16;93/16;49;0;ornamentation;0;7;True;[monotonic]
58;64;1/32;47/8;50;0;ornamentation;0;7;False;[monotonic]
59;65;1/32;189/32;51;0;ornamentation;0;7;False;[monotonic]
60;67;1/32;95/16;52;0;ornamentation;0;7;False;[monotonic]
61;69;1/32;191/32;53;0;ornamentation;0;7;False;[monotonic]
62;46;1/4;6;54;3;match;2;7;True;[monotonic]
63;58;1/4;6;54;1;adaptation;1;7;True;[monotonic]
64;70;1/4;6;54;0;match;0;7;True;[monotonic]
71;70;1/16;109/16;59;0;ornamentation;0;8;True;[monotonic]
72;72;1/32;55/8;60;0;adaptation;0;8;False;[monotonic]
73;70;1/32;221/32;61;0;ornamentation;0;8;False;[monotonic]
74;69;1/32;111/16;62;0;ornamentation;0;8;False;[monotonic]
75;67;1/32;223/32;63;0;ornamentation;0;8;False;[monotonic]
76;53;1/16;7;64;3;match;2;8;True;[monotonic]
77;60;1/16;7;64;1;adaptation;1;8;True;[monotonic]
78;70;1/16;7;64;0;repetition;0;8;True;[monotonic]
75;67;1/32;223/32;63;0;ornamentation;0;9;True;[non_monotonic_chords]
76;53;1/16;7;64;3;match;2;9;False;[non_monotonic_chords]
77;60;1/16;7;64;1;adaptation;1;9;False;[non_monotonic_chords]
78;70;1/16;7;64;0;repetition;0;9;False;[non_monotonic_chords]
79;69;1/16;113/16;65;1;ornamentation;0;9;False;[non_monotonic_chords]
80;67;1/16;57/8;66;1;adaptation;0;9;False;[non_monotonic_chords]
81;69;1/16;115/16;67;0;ornamentation;0;9;False;[non_monotonic_chords]
82;55;1/4;29/4;68;3;match;2;9;True;[non_monotonic_chords]
83;62;1/4;29/4;68;1;match;1;9;True;[non_monotonic_chords]
84;70;1/4;29/4;68;0;match;0;9;True;[non_monotonic_chords]
113;64;1/16;149/16;84;0;ornamentation;0;12;True;[monotonic]
114;65;1/32;75/8;85;0;ornamentation;0;12;False;[monotonic]
