note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
1;58;1/4;1/2;1;3;match;0;0;True;[non_monotonic]
2;58;1/16;3/4;2;3;ornamentation;0;0;False;[non_monotonic]
3;57;1/16;13/16;3;3;ornamentation;0;0;False;[non_monotonic]
4;58;1/16;7/8;4;3;ornamentation;0;0;False;[non_monotonic]
5;60;1/16;15/16;5;3;ornamentation;0;0;False;[non_monotonic]
6;58;1/2;1;6;3;repetition;0;0;True;[non_monotonic]
30;53;1/16;61/16;27;3;ornamentation;0;4;True;[monotonic_perfect_fifth_0_1]
31;55;1/32;31/8;28;3;adaptation;0;4;False;[monotonic_perfect_fifth_0_1]
32;53;1/32;125/32;29;3;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
33;51;1/32;63/16;30;3;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
34;50;1/32;127/32;31;3;ornamentation;0;4;False;[monotonic_perfect_fifth_0_1]
35;48;1/16;4;32;3;match;1;4;True;[monotonic_perfect_fifth_0_1]
46;53;1/4;5;41;3;repetition;1;5;True;[monotonic_perfect_fifth_0_2]
48;55;1/16;21/4;42;3;adaptation;0;5;False;[monotonic_perfect_fifth_0_2]
49;53;1/16;85/16;43;3;ornamentation;0;5;False;[monotonic_perfect_fifth_0_2]
50;51;1/16;43/8;44;3;adaptation;0;5;False;[monotonic_perfect_fifth_0_2]
51;50;1/16;87/16;45;3;ornamentation;0;5;False;[monotonic_perfect_fifth_0_2]
52;48;3/16;11/2;46;3;match;2;5;True;[monotonic_perfect_fifth_0_2]
538;58;1/16;589/16;381;3;ornamentation;0;10;True;[monotonic]
539;60;1/32;295/8;382;3;ornamentation;0;10;False;[monotonic]
540;58;1/32;1181/32;383;3;ornamentation;0;10;False;[monotonic]
541;57;1/32;591/16;384;3;ornamentation;0;10;False;[monotonic]
542;55;1/32;1183/32;385;3;ornamentation;0;10;False;[monotonic]
544;57;1/4;37;386;3;match;1;10;True;[monotonic]
567;53;1/16;621/16;405;3;ornamentation;0;13;True;[monotonic_perfect_fifth_0_1]
568;55;1/32;311/8;406;3;adaptation;0;13;False;[monotonic_perfect_fifth_0_1]
569;53;1/32;1245/32;407;3;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1]
570;51;1/32;623/16;408;3;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1]
571;50;1/32;1247/32;409;3;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1]
572;48;1/16;39;410;3;match;1;13;True;[monotonic_perfect_fifth_0_1]
583;53;1/4;40;419;3;repetition;1;14;True;[monotonic_perfect_fifth_0_2]
585;55;1/16;161/4;420;3;adaptation;0;14;False;[monotonic_perfect_fifth_0_2]
586;53;1/16;645/16;421;3;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2]
587;51;1/16;323/8;422;3;adaptation;0;14;False;[monotonic_perfect_fifth_0_2]
588;50;1/16;647/16;423;3;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2]
589;48;3/16;81/2;424;3;match;2;14;True;[monotonic_perfect_fifth_0_2]
