output_csv,duration,count,sequence_ids
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,1/32,20,"1,5,7,10,12,14,18,20,22,27,29,32,35,41,43,45,48,53,55,56"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,1/16,31,"0,3,4,6,8,9,11,13,15,17,19,21,23,25,26,28,30,31,33,34,36,37,39,40,42,44,47,49,51,52,54"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,1/8,6,"2,16,24,38,46,50"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_fourstep.csv,1/32,14,"1,5,7,14,18,20,22,29,32,41,43,48,53,55"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_fourstep.csv,1/16,6,"6,25,34,39,49,52"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,1/32,20,"1,5,7,10,12,14,18,20,22,27,29,32,35,41,43,45,48,53,55,56"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,1/16,20,"0,3,4,6,9,11,13,19,21,25,26,28,31,33,36,39,40,42,47,52"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,1/8,1,46
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,1/32,20,"0,2,4,6,7,8,12,13,14,17,18,20,23,28,29,30,31,36,38,39"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,1/16,17,"1,3,5,9,11,15,16,19,21,22,24,25,27,32,34,35,37"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,1/8,3,"10,26,33"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_fourstep.csv,1/32,14,"0,2,4,8,12,13,14,18,20,28,29,31,36,38"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_fourstep.csv,1/16,6,"3,16,22,27,32,35"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,1/32,20,"0,2,4,6,7,8,12,13,14,17,18,20,23,28,29,30,31,36,38,39"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,1/16,7,"1,3,16,21,24,27,35"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-3.csv,1/8,1,0
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,1/32,15,"1,3,5,7,10,12,16,18,20,23,27,29,31,33,34"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,1/16,18,"0,2,4,6,9,11,14,15,17,19,21,22,24,25,26,28,30,32"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,1/8,2,"8,13"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0_fourstep.csv,1/32,10,"1,3,10,12,18,20,27,29,31,33"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0_fourstep.csv,1/16,3,"2,14,30"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-1.csv,1/32,5,"1,6,9,13,16"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-1.csv,1/16,11,"0,3,4,5,7,8,10,11,12,15,17"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-1.csv,1/8,2,"2,14"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-1_fourstep.csv,1/32,4,"1,6,9,16"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-2.csv,1/16,4,"0,2,3,5"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-2.csv,1/8,2,"1,4"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-2_fourstep.csv,1/16,2,"2,3"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_voices_merged.csv,1/32,20,"2,4,6,8,11,13,17,19,21,24,28,30,32,34,35,37,42,45,49,52"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_voices_merged.csv,1/16,33,"1,3,5,7,10,12,15,16,18,20,22,23,25,26,27,29,31,33,36,39,40,41,43,44,46,47,48,51,53,54,56,57,59"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_voices_merged.csv,1/8,7,"0,9,14,38,50,55,58"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_voices_merged_fourstep.csv,1/32,14,"2,4,11,13,19,21,28,30,32,34,37,42,45,52"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_voices_merged_fourstep.csv,1/16,5,"3,15,31,56,57"
