output_csv,sequence_length,count,sequence_ids
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,1,2,"9,46"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,2,9,"2,11,19,24,26,28,42,44,47"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,3,6,"0,4,13,21,31,40"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,4,23,"1,3,5,6,7,14,16,18,20,22,25,29,32,34,39,41,43,48,49,50,52,53,55"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,6,5,"17,33,36,38,54"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,8,9,"8,10,12,15,23,27,30,35,45"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,11,1,56
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,12,1,51
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_abtab.csv,16,1,37
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_fourstep.csv,4,20,"1,5,6,7,14,18,20,22,25,29,32,34,39,41,43,48,49,52,53,55"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,1,2,"9,46"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,2,6,"11,19,26,28,42,47"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,3,6,"0,4,13,21,31,40"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,4,19,"1,3,5,6,7,14,18,20,22,25,29,32,39,41,43,48,52,53,55"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,6,2,"33,36"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,8,5,"10,12,27,35,45"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_abtab_non_chord.csv,11,1,56
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,4,23,"0,1,2,3,4,8,10,12,13,14,16,18,20,22,27,28,29,31,32,33,35,36,38"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,6,5,"11,21,24,26,37"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,8,9,"5,6,7,9,15,17,19,23,30"
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,11,1,39
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,12,1,34
output/4482_50_mille_regrets_P/4482_50_mille_regrets_P_tab_raw.csv,16,1,25
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_fourstep.csv,4,20,"0,2,3,4,8,12,13,14,16,18,20,22,27,28,29,31,32,35,36,38"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,4,19,"0,1,2,3,4,8,12,13,14,16,18,20,27,28,29,31,35,36,38"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,6,2,"21,24"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,8,5,"6,7,17,23,30"
output/4482_50_mille_regrets_P/fourstep/4482_50_mille_regrets_P_tab_raw_non_chord.csv,11,1,39
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-3.csv,2,1,0
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,1,2,"4,13"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,2,5,"6,11,15,17,28"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,3,4,"0,8,19,26"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,4,14,"1,2,3,10,12,14,18,20,22,27,29,30,31,33"
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,5,1,9
output/4482_50_mille_regrets_P/voices/4482_50_mille_regrets_P_voice-0.csv,6,3,"21,24,32"
