note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
4,59,1/16,5/16,3,1,ornamentation,0,0,True
5,57,1/32,3/8,4,1,ornamentation,0,0,False
6,59,1/32,13/32,5,1,ornamentation,0,0,False
7,60,1/32,7/16,6,1,ornamentation,0,0,False
8,62,1/32,15/32,7,1,ornamentation,0,0,False
9,52,1/8,1/2,8,3,repetition,1,0,True
10,64,1/8,1/2,8,1,repetition,0,0,True
11,65,1/8,5/8,9,1,ornamentation,0,1,True
12,67,1/16,3/4,10,1,ornamentation,0,1,False
13,65,1/16,13/16,11,1,ornamentation,0,1,False
14,67,1/16,7/8,12,1,ornamentation,0,1,False
15,64,1/16,15/16,13,1,ornamentation,0,1,False
16,53,3/16,1,14,3,match,2,1,True
17,60,3/16,1,14,1,match,1,1,True
18,69,3/16,1,14,0,match,0,1,True
21,64,1/16,21/16,17,0,ornamentation,0,2,True
22,62,1/32,11/8,18,0,ornamentation,0,2,False
23,64,1/32,45/32,19,0,ornamentation,0,2,False
24,65,1/32,23/16,20,0,ornamentation,0,2,False
25,67,1/32,47/32,21,0,ornamentation,0,2,False
26,50,1/8,3/2,22,3,match,2,2,True
27,65,1/8,3/2,22,1,match,1,2,True
28,69,1/8,3/2,22,0,match,0,2,True
26,50,1/8,3/2,22,3,match,2,3,True
27,65,1/8,3/2,22,1,match,1,3,True
28,69,1/8,3/2,22,0,match,0,3,True
29,64,1/16,13/8,23,0,ornamentation,0,3,False
30,65,1/16,27/16,24,0,ornamentation,0,3,False
31,67,1/16,7/4,25,0,ornamentation,0,3,False
32,65,1/16,29/16,26,0,ornamentation,0,3,False
33,67,1/32,15/8,27,0,ornamentation,0,3,True
32,65,1/16,29/16,26,0,ornamentation,0,4,True
33,67,1/32,15/8,27,0,ornamentation,0,4,False
34,65,1/32,61/32,28,0,ornamentation,0,4,False
35,64,1/32,31/16,29,0,ornamentation,0,4,False
36,65,1/32,63/32,30,0,ornamentation,0,4,False
37,52,1/2,2,31,3,match,3,4,True
37,52,1/2,2,31,2,match,2,4,True
38,59,1/2,2,31,1,adaptation,1,4,True
39,67,1/2,2,31,0,match,0,4,True
65,57,1/4,19/4,43,2,match,2,5,True
66,60,1/4,19/4,43,1,adaptation,1,5,True
67,72,1/4,19/4,43,0,match,0,5,True
68,55,1/16,5,44,2,match,2,5,False
69,67,1/16,5,44,1,match,1,5,False
70,71,1/16,5,44,0,match,0,5,False
71,69,1/16,81/16,45,1,ornamentation,0,5,False
72,67,1/16,41/8,46,1,ornamentation,0,5,False
73,65,1/16,83/16,47,1,ornamentation,0,5,False
74,52,1/16,21/4,48,2,match,1,5,False
75,64,1/16,21/4,48,1,adaptation,0,5,False
76,62,1/16,85/16,49,1,ornamentation,0,5,False
77,60,1/16,43/8,50,1,ornamentation,0,5,False
78,59,1/16,87/16,51,1,ornamentation,0,5,False
79,53,1/4,11/2,52,2,match,2,5,True
80,65,1/4,11/2,52,1,match,1,5,True
81,69,1/4,11/2,52,0,match,0,5,True
86,66,1/16,99/16,55,0,ornamentation,0,6,True
87,67,1/32,25/4,56,0,ornamentation,0,6,False
88,66,1/32,201/32,57,0,ornamentation,0,6,False
89,64,1/32,101/16,58,0,ornamentation,0,6,False
90,66,1/32,203/32,59,0,ornamentation,0,6,False
91,67,1/32,51/8,60,0,ornamentation,0,6,False
92,69,1/32,205/32,61,0,ornamentation,0,6,False
93,71,1/32,103/16,62,0,ornamentation,0,6,False
94,72,1/32,207/32,63,0,ornamentation,0,6,False
95,57,1/8,13/2,64,2,repetition,2,6,True
96,64,1/8,13/2,64,1,match,1,6,True
97,72,1/8,13/2,64,0,match,0,6,True
99,69,1/16,107/16,66,0,ornamentation,0,7,True
100,67,1/32,27/4,67,0,ornamentation,0,7,False
101,65,1/32,217/32,68,0,ornamentation,0,7,False
102,64,1/32,109/16,69,0,ornamentation,0,7,False
103,65,1/32,219/32,70,0,ornamentation,0,7,False
104,67,1/32,55/8,71,0,ornamentation,0,7,False
105,69,1/32,221/32,72,0,ornamentation,0,7,False
106,71,1/32,111/16,73,0,ornamentation,0,7,False
107,72,1/32,223/32,74,0,ornamentation,0,7,False
108,55,3/16,7,75,3,match,2,7,True
109,62,3/16,7,75,1,match,1,7,True
110,71,3/16,7,75,0,match,0,7,True
113,65,1/16,117/16,78,1,ornamentation,0,8,True
114,64,1/32,59/8,79,1,ornamentation,0,8,False
115,62,1/32,237/32,80,1,ornamentation,0,8,False
116,60,1/32,119/16,81,1,ornamentation,0,8,False
117,59,1/32,239/32,82,1,ornamentation,0,8,False
118,57,1/16,15/2,83,3,match,2,8,True
119,60,1/16,15/2,83,1,match,1,8,True
120,69,1/16,15/2,83,0,match,0,8,True
117,59,1/32,239/32,82,1,ornamentation,0,9,True
118,57,1/16,15/2,83,3,match,2,9,False
119,60,1/16,15/2,83,1,match,1,9,False
120,69,1/16,15/2,83,0,match,0,9,False
121,67,1/16,121/16,84,1,ornamentation,0,9,False
122,65,1/16,61/8,85,1,ornamentation,0,9,False
123,64,1/16,123/16,86,1,ornamentation,0,9,False
124,62,1/16,31/4,87,1,ornamentation,0,9,False
125,60,1/16,125/16,88,1,ornamentation,0,9,False
126,59,1/16,63/8,89,1,ornamentation,0,9,False
127,57,1/16,127/16,90,1,ornamentation,0,9,False
128,52,1/8,8,91,3,match,1,9,True
129,59,1/8,8,91,1,match,0,9,True
127,57,1/16,127/16,90,1,ornamentation,0,10,True
128,52,1/8,8,91,3,match,1,10,False
129,59,1/8,8,91,1,match,0,10,False
130,69,1/8,65/8,92,0,ornamentation,0,10,False
131,67,1/8,33/4,93,0,match,0,10,False
132,65,1/8,67/8,94,0,match,0,10,False
133,52,1/2,17/2,95,3,repetition,2,10,True
134,59,1/2,17/2,95,1,repetition,1,10,True
135,67,1/2,17/2,95,0,match,0,10,True
133,52,1/2,17/2,95,3,repetition,2,11,True
134,59,1/2,17/2,95,1,repetition,1,11,True
135,67,1/2,17/2,95,0,match,0,11,True
136,60,1/16,9,96,2,match,1,11,False
137,64,1/16,9,96,1,match,0,11,False
138,59,1/16,145/16,97,0,ornamentation,0,11,False
139,60,1/16,73/8,98,0,ornamentation,0,11,False
140,62,1/16,147/16,99,0,ornamentation,0,11,False
141,64,1/16,37/4,100,0,ornamentation,0,11,False
142,66,1/16,149/16,101,0,ornamentation,0,11,False
143,67,1/32,75/8,102,0,ornamentation,0,11,True
142,66,1/16,149/16,101,0,ornamentation,0,12,True
143,67,1/32,75/8,102,0,ornamentation,0,12,False
144,69,1/32,301/32,103,0,ornamentation,0,12,False
145,71,1/32,151/16,104,0,ornamentation,0,12,False
146,72,1/32,303/32,105,0,ornamentation,0,12,False
147,60,1/4,19/2,106,2,repetition,2,12,True
148,64,1/4,19/2,106,1,repetition,1,12,True
149,72,1/4,19/2,106,0,match,0,12,True
151,72,1/16,157/16,108,0,ornamentation,0,13,True
152,74,1/32,79/8,109,0,ornamentation,0,13,False
153,72,1/32,317/32,110,0,ornamentation,0,13,False
154,71,1/32,159/16,111,0,ornamentation,0,13,False
155,69,1/32,319/32,112,0,ornamentation,0,13,False
156,55,3/16,10,113,2,match,2,13,True
157,62,3/16,10,113,1,match,1,13,True
158,71,3/16,10,113,0,match,0,13,True
161,65,1/16,165/16,116,1,ornamentation,0,14,True
162,64,1/32,83/8,117,1,ornamentation,0,14,False
163,62,1/32,333/32,118,1,ornamentation,0,14,False
164,60,1/32,167/16,119,1,ornamentation,0,14,False
165,59,1/32,335/32,120,1,ornamentation,0,14,False
166,57,1/16,21/2,121,2,match,2,14,True
167,60,1/16,21/2,121,1,match,1,14,True
168,69,1/16,21/2,121,0,match,0,14,True
165,59,1/32,335/32,120,1,ornamentation,0,15,True
166,57,1/16,21/2,121,2,match,2,15,False
167,60,1/16,21/2,121,1,match,1,15,False
168,69,1/16,21/2,121,0,match,0,15,False
169,59,1/16,169/16,122,1,ornamentation,0,15,False
170,60,1/16,85/8,123,1,ornamentation,0,15,False
171,62,1/16,171/16,124,1,ornamentation,0,15,False
172,64,1/16,43/4,125,1,ornamentation,0,15,False
173,65,1/16,173/16,126,1,ornamentation,0,15,False
174,67,1/16,87/8,127,1,ornamentation,0,15,False
175,69,1/16,175/16,128,1,ornamentation,0,15,False
176,52,1/8,11,129,2,match,1,15,True
177,59,1/8,11,129,1,match,0,15,True
178,69,1/8,89/8,130,0,ornamentation,0,16,True
179,67,1/16,45/4,131,0,match,0,16,False
180,66,1/16,181/16,132,0,ornamentation,0,16,False
181,64,1/16,91/8,133,0,adaptation,0,16,False
182,66,1/16,183/16,134,0,ornamentation,0,16,False
183,52,1/8,23/2,135,3,repetition,2,16,True
184,59,1/8,23/2,135,1,repetition,1,16,True
185,67,1/8,23/2,135,0,match,0,16,True
187,64,1/16,187/16,137,0,ornamentation,0,17,True
188,62,1/32,47/4,138,0,ornamentation,0,17,False
