note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
18,69,3/16,1,14,0,match,0,1,True,0
19,67,1/16,19/16,15,0,ornamentation,0,1,False,0
20,65,1/16,5/4,16,0,ornamentation,0,1,False,0
21,64,1/16,21/16,17,0,ornamentation,0,1,False,0
22,62,1/32,11/8,18,0,ornamentation,0,1,True,0
21,64,1/16,21/16,17,0,ornamentation,0,2,True,1
22,62,1/32,11/8,18,0,ornamentation,0,2,False,1
23,64,1/32,45/32,19,0,ornamentation,0,2,False,1
24,65,1/32,23/16,20,0,ornamentation,0,2,False,1
25,67,1/32,47/32,21,0,ornamentation,0,2,False,1
28,69,1/8,3/2,22,0,match,0,2,True,1
28,69,1/8,3/2,22,0,match,0,3,True,2
29,64,1/16,13/8,23,0,ornamentation,0,3,False,2
30,65,1/16,27/16,24,0,ornamentation,0,3,False,2
31,67,1/16,7/4,25,0,ornamentation,0,3,False,2
32,65,1/16,29/16,26,0,ornamentation,0,3,False,2
33,67,1/32,15/8,27,0,ornamentation,0,3,True,2
32,65,1/16,29/16,26,0,ornamentation,0,4,True,3
33,67,1/32,15/8,27,0,ornamentation,0,4,False,3
34,65,1/32,61/32,28,0,ornamentation,0,4,False,3
35,64,1/32,31/16,29,0,ornamentation,0,4,False,3
36,65,1/32,63/32,30,0,ornamentation,0,4,False,3
39,67,1/2,2,31,0,match,0,4,True,3
81,69,1/4,11/2,52,0,match,0,5,True,4
86,66,1/16,99/16,55,0,ornamentation,0,5,False,4
87,67,1/32,25/4,56,0,ornamentation,0,5,True,4
86,66,1/16,99/16,55,0,ornamentation,0,6,True,5
87,67,1/32,25/4,56,0,ornamentation,0,6,False,5
88,66,1/32,201/32,57,0,ornamentation,0,6,False,5
89,64,1/32,101/16,58,0,ornamentation,0,6,False,5
90,66,1/32,203/32,59,0,ornamentation,0,6,False,5
91,67,1/32,51/8,60,0,ornamentation,0,6,False,5
92,69,1/32,205/32,61,0,ornamentation,0,6,False,5
93,71,1/32,103/16,62,0,ornamentation,0,6,False,5
94,72,1/32,207/32,63,0,ornamentation,0,6,False,5
97,72,1/8,13/2,64,0,match,0,6,True,5
97,72,1/8,13/2,64,0,match,0,7,True,6
98,71,1/16,53/8,65,0,ornamentation,0,7,False,6
99,69,1/16,107/16,66,0,ornamentation,0,7,False,6
100,67,1/32,27/4,67,0,ornamentation,0,7,True,6
99,69,1/16,107/16,66,0,ornamentation,0,8,True,7
100,67,1/32,27/4,67,0,ornamentation,0,8,False,7
101,65,1/32,217/32,68,0,ornamentation,0,8,False,7
102,64,1/32,109/16,69,0,ornamentation,0,8,False,7
103,65,1/32,219/32,70,0,ornamentation,0,8,False,7
104,67,1/32,55/8,71,0,ornamentation,0,8,False,7
105,69,1/32,221/32,72,0,ornamentation,0,8,False,7
106,71,1/32,111/16,73,0,ornamentation,0,8,False,7
107,72,1/32,223/32,74,0,ornamentation,0,8,False,7
110,71,3/16,7,75,0,match,0,8,True,7
120,69,1/16,15/2,83,0,match,0,9,True,8
130,69,1/8,65/8,92,0,ornamentation,0,9,False,8
131,67,1/8,33/4,93,0,match,0,9,False,8
132,65,1/8,67/8,94,0,match,0,9,False,8
135,67,1/2,17/2,95,0,match,0,9,True,8
135,67,1/2,17/2,95,0,match,0,10,True,9
138,59,1/16,145/16,97,0,ornamentation,0,10,False,9
139,60,1/16,73/8,98,0,ornamentation,0,10,False,9
140,62,1/16,147/16,99,0,ornamentation,0,10,False,9
141,64,1/16,37/4,100,0,ornamentation,0,10,False,9
142,66,1/16,149/16,101,0,ornamentation,0,10,False,9
143,67,1/32,75/8,102,0,ornamentation,0,10,True,9
142,66,1/16,149/16,101,0,ornamentation,0,11,True,10
143,67,1/32,75/8,102,0,ornamentation,0,11,False,10
144,69,1/32,301/32,103,0,ornamentation,0,11,False,10
145,71,1/32,151/16,104,0,ornamentation,0,11,False,10
146,72,1/32,303/32,105,0,ornamentation,0,11,False,10
149,72,1/4,19/2,106,0,match,0,11,True,10
149,72,1/4,19/2,106,0,match,0,12,True,11
150,74,1/16,39/4,107,0,ornamentation,0,12,False,11
151,72,1/16,157/16,108,0,ornamentation,0,12,False,11
152,74,1/32,79/8,109,0,ornamentation,0,12,True,11
151,72,1/16,157/16,108,0,ornamentation,0,13,True,12
152,74,1/32,79/8,109,0,ornamentation,0,13,False,12
153,72,1/32,317/32,110,0,ornamentation,0,13,False,12
154,71,1/32,159/16,111,0,ornamentation,0,13,False,12
155,69,1/32,319/32,112,0,ornamentation,0,13,False,12
158,71,3/16,10,113,0,match,0,13,True,12
168,69,1/16,21/2,121,0,match,0,14,True,13
178,69,1/8,89/8,130,0,ornamentation,0,14,False,13
179,67,1/16,45/4,131,0,match,0,14,True,13
178,69,1/8,89/8,130,0,ornamentation,0,15,True,14
179,67,1/16,45/4,131,0,match,0,15,False,14
180,66,1/16,181/16,132,0,ornamentation,0,15,False,14
181,64,1/16,91/8,133,0,adaptation,0,15,False,14
182,66,1/16,183/16,134,0,ornamentation,0,15,False,14
185,67,1/8,23/2,135,0,match,0,15,True,14
185,67,1/8,23/2,135,0,match,0,16,True,15
186,65,1/16,93/8,136,0,ornamentation,0,16,False,15
187,64,1/16,187/16,137,0,ornamentation,0,16,False,15
188,62,1/32,47/4,138,0,ornamentation,0,16,True,15
187,64,1/16,187/16,137,0,ornamentation,0,17,True,16
188,62,1/32,47/4,138,0,ornamentation,0,17,False,16
189,60,1/32,377/32,139,0,ornamentation,0,17,False,16
190,59,1/32,189/16,140,0,ornamentation,0,17,False,16
191,60,1/32,379/32,141,0,ornamentation,0,17,False,16
192,62,1/32,95/8,142,0,ornamentation,0,17,False,16
193,64,1/32,381/32,143,0,ornamentation,0,17,False,16
194,66,1/32,191/16,144,0,ornamentation,0,17,False,16
195,67,1/32,383/32,145,0,ornamentation,0,17,False,16
198,69,1/4,12,146,0,match,0,17,True,16
214,65,1/4,27/2,152,0,match,0,18,True,17
215,67,1/16,55/4,153,0,ornamentation,0,18,False,17
216,65,1/16,221/16,154,0,ornamentation,0,18,False,17
217,67,1/32,111/8,155,0,ornamentation,0,18,True,17
216,65,1/16,221/16,154,0,ornamentation,0,19,True,18
217,67,1/32,111/8,155,0,ornamentation,0,19,False,18
218,65,1/32,445/32,156,0,ornamentation,0,19,False,18
219,64,1/32,223/16,157,0,ornamentation,0,19,False,18
220,62,1/32,447/32,158,0,ornamentation,0,19,False,18
223,64,1/4,14,159,0,match,0,19,True,18
250,71,3/16,16,173,0,match,0,20,True,19
251,69,1/16,259/16,174,0,ornamentation,0,20,False,19
252,67,1/16,65/4,175,0,ornamentation,0,20,False,19
253,66,1/16,261/16,176,0,ornamentation,0,20,False,19
254,64,1/32,131/8,177,0,ornamentation,0,20,True,19
253,66,1/16,261/16,176,0,ornamentation,0,21,True,20
254,64,1/32,131/8,177,0,ornamentation,0,21,False,20
255,66,1/32,525/32,178,0,ornamentation,0,21,False,20
256,67,1/32,263/16,179,0,ornamentation,0,21,False,20
257,69,1/32,527/32,180,0,ornamentation,0,21,False,20
260,71,1/8,33/2,181,0,repetition,0,21,True,20
260,71,1/8,33/2,181,0,repetition,0,22,True,21
261,69,1/16,133/8,182,0,ornamentation,0,22,False,21
262,71,1/16,267/16,183,0,ornamentation,0,22,False,21
263,72,1/16,67/4,184,0,ornamentation,0,22,False,21
264,71,1/16,269/16,185,0,ornamentation,0,22,False,21
265,69,1/16,135/8,186,0,ornamentation,0,22,False,21
266,71,1/16,271/16,187,0,ornamentation,0,22,False,21
269,72,1/2,17,188,0,match,0,22,True,21
269,72,1/2,17,188,0,match,0,23,True,22
272,69,1/16,35/2,189,0,match,0,23,False,22
273,59,1/16,281/16,190,0,ornamentation,0,23,False,22
274,60,1/16,141/8,191,0,ornamentation,0,23,False,22
275,62,1/16,283/16,192,0,ornamentation,0,23,False,22
276,64,1/32,71/4,193,0,ornamentation,0,23,True,22
275,62,1/16,283/16,192,0,ornamentation,0,24,True,23
276,64,1/32,71/4,193,0,ornamentation,0,24,False,23
277,62,1/32,569/32,194,0,ornamentation,0,24,False,23
278,64,1/32,285/16,195,0,ornamentation,0,24,False,23
279,66,1/32,571/32,196,0,ornamentation,0,24,False,23
280,67,1/32,143/8,197,0,ornamentation,0,24,False,23
281,66,1/32,573/32,198,0,ornamentation,0,24,False,23
282,67,1/32,287/16,199,0,ornamentation,0,24,False,23
283,69,1/32,575/32,200,0,ornamentation,0,24,False,23
286,71,1/8,18,201,0,match,0,24,True,23
286,71,1/8,18,201,0,match,0,25,True,24
287,69,1/16,145/8,202,0,ornamentation,0,25,False,24
288,71,1/16,291/16,203,0,ornamentation,0,25,False,24
289,72,1/16,73/4,204,0,ornamentation,0,25,False,24
290,71,1/16,293/16,205,0,ornamentation,0,25,False,24
291,69,1/16,147/8,206,0,ornamentation,0,25,False,24
292,71,1/16,295/16,207,0,ornamentation,0,25,False,24
295,76,1/4,37/2,208,0,match,0,25,True,24
302,72,1/4,79/4,212,0,match,0,26,True,25
304,72,1/16,20,213,0,repetition,0,26,False,25
305,71,1/16,321/16,214,0,ornamentation,0,26,False,25
306,69,1/16,161/8,215,0,ornamentation,0,26,False,25
307,71,1/16,323/16,216,0,ornamentation,0,26,False,25
309,71,1/16,81/4,217,0,repetition,0,26,False,25
315,69,1/16,329/16,222,0,ornamentation,0,26,False,25
316,68,1/16,165/8,223,0,ornamentation,0,26,False,25
317,66,1/16,331/16,224,0,ornamentation,0,26,False,25
