note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
18,69,3/16,1,14,0,match,0,0,True
19,67,1/16,19/16,15,0,ornamentation,0,0,False
20,65,1/16,5/4,16,0,ornamentation,0,0,False
21,64,1/16,21/16,17,0,ornamentation,0,0,False
22,62,1/32,11/8,18,0,ornamentation,0,0,True
21,64,1/16,21/16,17,0,ornamentation,0,1,True
22,62,1/32,11/8,18,0,ornamentation,0,1,False
23,64,1/32,45/32,19,0,ornamentation,0,1,False
24,65,1/32,23/16,20,0,ornamentation,0,1,False
25,67,1/32,47/32,21,0,ornamentation,0,1,False
28,69,1/8,3/2,22,0,match,0,1,True
28,69,1/8,3/2,22,0,match,0,2,True
29,64,1/16,13/8,23,0,ornamentation,0,2,False
30,65,1/16,27/16,24,0,ornamentation,0,2,False
31,67,1/16,7/4,25,0,ornamentation,0,2,False
32,65,1/16,29/16,26,0,ornamentation,0,2,False
33,67,1/32,15/8,27,0,ornamentation,0,2,True
32,65,1/16,29/16,26,0,ornamentation,0,3,True
33,67,1/32,15/8,27,0,ornamentation,0,3,False
34,65,1/32,61/32,28,0,ornamentation,0,3,False
35,64,1/32,31/16,29,0,ornamentation,0,3,False
36,65,1/32,63/32,30,0,ornamentation,0,3,False
39,67,1/2,2,31,0,match,0,3,True
81,69,1/4,11/2,52,0,match,0,4,True
86,66,1/16,99/16,55,0,ornamentation,0,4,False
87,67,1/32,25/4,56,0,ornamentation,0,4,True
86,66,1/16,99/16,55,0,ornamentation,0,5,True
87,67,1/32,25/4,56,0,ornamentation,0,5,False
88,66,1/32,201/32,57,0,ornamentation,0,5,False
89,64,1/32,101/16,58,0,ornamentation,0,5,False
90,66,1/32,203/32,59,0,ornamentation,0,5,False
91,67,1/32,51/8,60,0,ornamentation,0,5,False
92,69,1/32,205/32,61,0,ornamentation,0,5,False
93,71,1/32,103/16,62,0,ornamentation,0,5,False
94,72,1/32,207/32,63,0,ornamentation,0,5,False
97,72,1/8,13/2,64,0,match,0,5,True
97,72,1/8,13/2,64,0,match,0,6,True
98,71,1/16,53/8,65,0,ornamentation,0,6,False
99,69,1/16,107/16,66,0,ornamentation,0,6,False
100,67,1/32,27/4,67,0,ornamentation,0,6,True
99,69,1/16,107/16,66,0,ornamentation,0,7,True
100,67,1/32,27/4,67,0,ornamentation,0,7,False
101,65,1/32,217/32,68,0,ornamentation,0,7,False
102,64,1/32,109/16,69,0,ornamentation,0,7,False
103,65,1/32,219/32,70,0,ornamentation,0,7,False
104,67,1/32,55/8,71,0,ornamentation,0,7,False
105,69,1/32,221/32,72,0,ornamentation,0,7,False
106,71,1/32,111/16,73,0,ornamentation,0,7,False
107,72,1/32,223/32,74,0,ornamentation,0,7,False
110,71,3/16,7,75,0,match,0,7,True
120,69,1/16,15/2,83,0,match,0,8,True
130,69,1/8,65/8,92,0,ornamentation,0,8,False
131,67,1/8,33/4,93,0,match,0,8,False
132,65,1/8,67/8,94,0,match,0,8,False
135,67,1/2,17/2,95,0,match,0,8,True
135,67,1/2,17/2,95,0,match,0,9,True
138,59,1/16,145/16,97,0,ornamentation,0,9,False
139,60,1/16,73/8,98,0,ornamentation,0,9,False
140,62,1/16,147/16,99,0,ornamentation,0,9,False
141,64,1/16,37/4,100,0,ornamentation,0,9,False
142,66,1/16,149/16,101,0,ornamentation,0,9,False
143,67,1/32,75/8,102,0,ornamentation,0,9,True
142,66,1/16,149/16,101,0,ornamentation,0,10,True
143,67,1/32,75/8,102,0,ornamentation,0,10,False
144,69,1/32,301/32,103,0,ornamentation,0,10,False
145,71,1/32,151/16,104,0,ornamentation,0,10,False
146,72,1/32,303/32,105,0,ornamentation,0,10,False
149,72,1/4,19/2,106,0,match,0,10,True
149,72,1/4,19/2,106,0,match,0,11,True
150,74,1/16,39/4,107,0,ornamentation,0,11,False
151,72,1/16,157/16,108,0,ornamentation,0,11,False
152,74,1/32,79/8,109,0,ornamentation,0,11,True
151,72,1/16,157/16,108,0,ornamentation,0,12,True
152,74,1/32,79/8,109,0,ornamentation,0,12,False
153,72,1/32,317/32,110,0,ornamentation,0,12,False
154,71,1/32,159/16,111,0,ornamentation,0,12,False
155,69,1/32,319/32,112,0,ornamentation,0,12,False
158,71,3/16,10,113,0,match,0,12,True
168,69,1/16,21/2,121,0,match,0,13,True
178,69,1/8,89/8,130,0,ornamentation,0,13,False
179,67,1/16,45/4,131,0,match,0,13,True
178,69,1/8,89/8,130,0,ornamentation,0,14,True
179,67,1/16,45/4,131,0,match,0,14,False
180,66,1/16,181/16,132,0,ornamentation,0,14,False
181,64,1/16,91/8,133,0,adaptation,0,14,False
182,66,1/16,183/16,134,0,ornamentation,0,14,False
185,67,1/8,23/2,135,0,match,0,14,True
185,67,1/8,23/2,135,0,match,0,15,True
186,65,1/16,93/8,136,0,ornamentation,0,15,False
187,64,1/16,187/16,137,0,ornamentation,0,15,False
188,62,1/32,47/4,138,0,ornamentation,0,15,True
187,64,1/16,187/16,137,0,ornamentation,0,16,True
188,62,1/32,47/4,138,0,ornamentation,0,16,False
189,60,1/32,377/32,139,0,ornamentation,0,16,False
190,59,1/32,189/16,140,0,ornamentation,0,16,False
191,60,1/32,379/32,141,0,ornamentation,0,16,False
192,62,1/32,95/8,142,0,ornamentation,0,16,False
193,64,1/32,381/32,143,0,ornamentation,0,16,False
194,66,1/32,191/16,144,0,ornamentation,0,16,False
195,67,1/32,383/32,145,0,ornamentation,0,16,False
198,69,1/4,12,146,0,match,0,16,True
214,65,1/4,27/2,152,0,match,0,17,True
215,67,1/16,55/4,153,0,ornamentation,0,17,False
216,65,1/16,221/16,154,0,ornamentation,0,17,False
217,67,1/32,111/8,155,0,ornamentation,0,17,True
216,65,1/16,221/16,154,0,ornamentation,0,18,True
217,67,1/32,111/8,155,0,ornamentation,0,18,False
218,65,1/32,445/32,156,0,ornamentation,0,18,False
219,64,1/32,223/16,157,0,ornamentation,0,18,False
220,62,1/32,447/32,158,0,ornamentation,0,18,False
223,64,1/4,14,159,0,match,0,18,True
250,71,3/16,16,173,0,match,0,19,True
251,69,1/16,259/16,174,0,ornamentation,0,19,False
252,67,1/16,65/4,175,0,ornamentation,0,19,False
253,66,1/16,261/16,176,0,ornamentation,0,19,False
254,64,1/32,131/8,177,0,ornamentation,0,19,True
253,66,1/16,261/16,176,0,ornamentation,0,20,True
254,64,1/32,131/8,177,0,ornamentation,0,20,False
255,66,1/32,525/32,178,0,ornamentation,0,20,False
256,67,1/32,263/16,179,0,ornamentation,0,20,False
257,69,1/32,527/32,180,0,ornamentation,0,20,False
260,71,1/8,33/2,181,0,repetition,0,20,True
260,71,1/8,33/2,181,0,repetition,0,21,True
261,69,1/16,133/8,182,0,ornamentation,0,21,False
262,71,1/16,267/16,183,0,ornamentation,0,21,False
263,72,1/16,67/4,184,0,ornamentation,0,21,False
264,71,1/16,269/16,185,0,ornamentation,0,21,False
265,69,1/16,135/8,186,0,ornamentation,0,21,False
266,71,1/16,271/16,187,0,ornamentation,0,21,False
269,72,1/2,17,188,0,match,0,21,True
269,72,1/2,17,188,0,match,0,22,True
272,69,1/16,35/2,189,0,match,0,22,False
273,59,1/16,281/16,190,0,ornamentation,0,22,False
274,60,1/16,141/8,191,0,ornamentation,0,22,False
275,62,1/16,283/16,192,0,ornamentation,0,22,False
276,64,1/32,71/4,193,0,ornamentation,0,22,True
275,62,1/16,283/16,192,0,ornamentation,0,23,True
276,64,1/32,71/4,193,0,ornamentation,0,23,False
277,62,1/32,569/32,194,0,ornamentation,0,23,False
278,64,1/32,285/16,195,0,ornamentation,0,23,False
279,66,1/32,571/32,196,0,ornamentation,0,23,False
280,67,1/32,143/8,197,0,ornamentation,0,23,False
281,66,1/32,573/32,198,0,ornamentation,0,23,False
282,67,1/32,287/16,199,0,ornamentation,0,23,False
283,69,1/32,575/32,200,0,ornamentation,0,23,False
286,71,1/8,18,201,0,match,0,23,True
286,71,1/8,18,201,0,match,0,24,True
287,69,1/16,145/8,202,0,ornamentation,0,24,False
288,71,1/16,291/16,203,0,ornamentation,0,24,False
289,72,1/16,73/4,204,0,ornamentation,0,24,False
290,71,1/16,293/16,205,0,ornamentation,0,24,False
291,69,1/16,147/8,206,0,ornamentation,0,24,False
292,71,1/16,295/16,207,0,ornamentation,0,24,False
295,76,1/4,37/2,208,0,match,0,24,True
302,72,1/4,79/4,212,0,match,0,25,True
304,72,1/16,20,213,0,repetition,0,25,False
305,71,1/16,321/16,214,0,ornamentation,0,25,False
306,69,1/16,161/8,215,0,ornamentation,0,25,False
307,71,1/16,323/16,216,0,ornamentation,0,25,False
309,71,1/16,81/4,217,0,repetition,0,25,False
315,69,1/16,329/16,222,0,ornamentation,0,25,False
316,68,1/16,165/8,223,0,ornamentation,0,25,False
317,66,1/16,331/16,224,0,ornamentation,0,25,False
318,69,1/16,83/4,225,0,ornamentation,0,25,False
319,68,1/16,333/16,226,0,ornamentation,0,25,False
320,66,1/16,167/8,227,0,ornamentation,0,25,False
321,68,1/16,335/16,228,0,ornamentation,0,25,False
324,69,1/2,21,229,0,match,0,25,True
348,64,3/16,47/2,243,0,match,0,26,True
349,62,1/16,379/16,244,0,ornamentation,0,26,False
350,60,1/16,95/4,245,0,ornamentation,0,26,False
351,59,1/16,381/16,246,0,ornamentation,0,26,False
352,60,1/32,191/8,247,0,ornamentation,0,26,True
351,59,1/16,381/16,246,0,ornamentation,0,27,True
352,60,1/32,191/8,247,0,ornamentation,0,27,False
353,62,1/32,765/32,248,0,ornamentation,0,27,False
354,64,1/32,383/16,249,0,ornamentation,0,27,False
355,66,1/32,767/32,250,0,ornamentation,0,27,False
358,67,1/2,24,251,0,match,0,27,True
361,67,1/4,49/2,252,0,match,0,28,True
362,69,1/16,99/4,253,0,ornamentation,0,28,False
363,67,1/16,397/16,254,0,ornamentation,0,28,False
364,69,1/32,199/8,255,0,ornamentation,0,28,True
363,67,1/16,397/16,254,0,ornamentation,0,29,True
364,69,1/32,199/8,255,0,ornamentation,0,29,False
365,67,1/32,797/32,256,0,ornamentation,0,29,False
366,65,1/32,399/16,257,0,ornamentation,0,29,False
367,64,1/32,799/32,258,0,ornamentation,0,29,False
369,62,1/2,25,259,0,match,0,29,True
475,65,1/8,69/2,322,0,match,0,30,True
476,64,1/16,277/8,323,0,ornamentation,0,30,False
477,65,1/16,555/16,324,0,ornamentation,0,30,False
478,67,1/16,139/4,325,0,ornamentation,0,30,False
479,65,1/16,557/16,326,0,ornamentation,0,30,False
480,67,1/32,279/8,327,0,adaptation,0,30,True
479,65,1/16,557/16,326,0,ornamentation,0,31,True
480,67,1/32,279/8,327,0,adaptation,0,31,False
481,65,1/32,1117/32,328,0,ornamentation,0,31,False
482,64,1/32,559/16,329,0,ornamentation,0,31,False
483,62,1/32,1119/32,330,0,ornamentation,0,31,False
486,64,1/4,35,331,0,match,0,31,True
500,67,1/4,145/4,336,0,repetition,0,32,True
503,65,1/16,73/2,337,0,match,0,32,False
504,67,1/16,585/16,338,0,ornamentation,0,32,False
505,69,1/16,293/8,339,0,ornamentation,0,32,False
506,67,1/16,587/16,340,0,ornamentation,0,32,False
507,67,1/16,147/4,341,0,ornamentation,0,32,False
508,65,1/16,589/16,342,0,ornamentation,0,32,False
509,67,1/32,295/8,343,0,adaptation,0,32,True
508,65,1/16,589/16,342,0,ornamentation,0,33,True
509,67,1/32,295/8,343,0,adaptation,0,33,False
510,65,1/32,1181/32,344,0,ornamentation,0,33,False
511,64,1/32,591/16,345,0,ornamentation,0,33,False
512,62,1/32,1183/32,346,0,ornamentation,0,33,False
515,64,1/4,37,347,0,match,0,33,True
530,64,1/8,77/2,352,0,match,0,34,True
531,62,1/32,1237/32,353,0,ornamentation,0,34,False
532,60,1/32,619/16,354,0,ornamentation,0,34,False
533,59,1/32,1239/32,355,0,ornamentation,0,34,False
534,60,1/32,155/4,356,0,ornamentation,0,34,False
535,62,1/32,1241/32,357,0,ornamentation,0,34,False
536,64,1/32,621/16,358,0,ornamentation,0,34,False
537,66,1/32,1243/32,359,0,ornamentation,0,34,False
538,67,1/32,311/8,360,0,adaptation,0,34,False
539,69,1/32,1245/32,361,0,ornamentation,0,34,False
540,71,1/32,623/16,362,0,ornamentation,0,34,False
541,72,1/32,1247/32,363,0,ornamentation,0,34,False
545,67,1,39,364,0,match,0,34,True
