note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
32,69,1/8,3,27,0,match,0,58,True,0
37,69,1/16,7/2,31,0,repetition,0,58,False,0
38,67,1/16,57/16,32,0,ornamentation,0,58,False,0
39,69,1/16,29/8,33,0,repetition,0,58,False,0
52,71,1/16,4,43,0,match,0,58,False,0
53,66,1/16,65/16,44,0,ornamentation,0,58,False,0
54,64,1/16,33/8,45,0,ornamentation,0,58,False,0
55,66,1/16,67/16,46,0,ornamentation,0,58,False,0
56,67,1/16,17/4,47,0,ornamentation,0,58,False,0
57,69,1/16,69/16,48,0,ornamentation,0,58,False,0
58,71,1/32,35/8,49,0,ornamentation,0,58,True,0
57,69,1/16,69/16,48,0,ornamentation,0,59,True,1
58,71,1/32,35/8,49,0,ornamentation,0,59,False,1
59,69,1/32,141/32,50,0,ornamentation,0,59,False,1
60,71,1/32,71/16,51,0,ornamentation,0,59,False,1
61,72,1/32,143/32,52,0,ornamentation,0,59,False,1
64,71,1/4,9/2,53,0,repetition,0,59,True,1
64,71,1/4,9/2,53,0,repetition,0,60,True,2
69,67,1/16,5,56,0,match,0,60,False,2
154,64,1/16,157/16,126,0,ornamentation,0,60,False,2
155,66,1/16,79/8,127,0,ornamentation,0,60,False,2
156,67,1/16,159/16,128,0,ornamentation,0,60,False,2
160,69,1/8,10,129,0,match,0,60,True,2
234,64,1/8,115/8,173,0,match,0,61,True,3
237,66,1/16,29/2,174,0,match,0,61,False,3
238,62,1/16,233/16,175,0,ornamentation,0,61,False,3
239,64,1/16,117/8,176,0,ornamentation,0,61,False,3
240,66,1/16,235/16,177,0,ornamentation,0,61,False,3
242,67,1/16,59/4,178,0,adaptation,0,61,False,3
243,66,1/16,237/16,179,0,ornamentation,0,61,False,3
244,67,1/32,119/8,180,0,ornamentation,0,61,True,3
243,66,1/16,237/16,179,0,ornamentation,0,62,True,4
244,67,1/32,119/8,180,0,ornamentation,0,62,False,4
245,66,1/32,477/32,181,0,ornamentation,0,62,False,4
246,64,1/32,239/16,182,0,ornamentation,0,62,False,4
247,66,1/32,479/32,183,0,ornamentation,0,62,False,4
251,67,1/4,15,184,0,match,0,62,True,4
355,67,1/8,41/2,252,0,match,0,63,True,5
365,65,1/16,21,259,0,match,0,63,False,5
378,64,1/16,43/2,269,0,match,0,63,False,5
379,62,1/16,345/16,270,0,ornamentation,0,63,False,5
380,64,1/32,173/8,271,0,ornamentation,0,63,True,5
379,62,1/16,345/16,270,0,ornamentation,0,64,True,6
380,64,1/32,173/8,271,0,ornamentation,0,64,False,6
381,62,1/32,693/32,272,0,ornamentation,0,64,False,6
382,64,1/32,347/16,273,0,ornamentation,0,64,False,6
383,66,1/32,695/32,274,0,ornamentation,0,64,False,6
386,67,1/4,87/4,275,0,match,0,64,True,6
472,69,3/16,53/2,323,0,match,0,65,True,7
477,71,1/16,27,326,0,match,0,65,False,7
478,69,1/16,433/16,327,0,ornamentation,0,65,False,7
479,67,1/16,217/8,328,0,ornamentation,0,65,False,7
480,66,1/16,435/16,329,0,ornamentation,0,65,False,7
481,64,1/16,109/4,330,0,ornamentation,0,65,False,7
482,66,1/16,437/16,331,0,ornamentation,0,65,False,7
483,67,1/32,219/8,332,0,ornamentation,0,65,True,7
482,66,1/16,437/16,331,0,ornamentation,0,66,True,8
483,67,1/32,219/8,332,0,ornamentation,0,66,False,8
484,69,1/32,877/32,333,0,ornamentation,0,66,False,8
485,71,1/32,439/16,334,0,ornamentation,0,66,False,8
486,72,1/32,879/32,335,0,ornamentation,0,66,False,8
490,71,3/16,55/2,336,0,repetition,0,66,True,8
490,71,3/16,55/2,336,0,repetition,0,67,True,9
491,69,1/32,443/16,337,0,ornamentation,0,67,False,9
492,71,1/32,887/32,338,0,ornamentation,0,67,False,9
493,69,1/8,111/4,339,0,match,0,67,True,9
496,71,1/4,28,341,0,match,0,68,True,10
498,69,1/16,113/4,342,0,match,0,68,False,10
499,67,1/16,453/16,343,0,ornamentation,0,68,False,10
500,69,1/32,227/8,344,0,ornamentation,0,68,True,10
499,67,1/16,453/16,343,0,ornamentation,0,69,True,11
500,69,1/32,227/8,344,0,ornamentation,0,69,False,11
501,67,1/32,909/32,345,0,ornamentation,0,69,False,11
502,69,1/32,455/16,346,0,ornamentation,0,69,False,11
503,71,1/32,911/32,347,0,ornamentation,0,69,False,11
505,72,1/16,57/2,348,0,match,0,69,True,11
513,71,1/8,231/8,355,0,match,0,70,True,12
515,69,1/16,29,356,0,match,0,70,False,12
516,67,1/16,465/16,357,0,ornamentation,0,70,False,12
517,66,1/16,233/8,358,0,adaptation,0,70,False,12
518,64,1/16,467/16,359,0,ornamentation,0,70,False,12
520,62,1/16,117/4,360,0,adaptation,0,70,False,12
521,64,1/16,469/16,361,0,ornamentation,0,70,False,12
522,62,1/32,235/8,362,0,ornamentation,0,70,True,12
521,64,1/16,469/16,361,0,ornamentation,0,71,True,13
522,62,1/32,235/8,362,0,ornamentation,0,71,False,13
523,64,1/32,941/32,363,0,ornamentation,0,71,False,13
524,66,1/32,471/16,364,0,ornamentation,0,71,False,13
525,67,1/32,943/32,365,0,ornamentation,0,71,False,13
527,69,3/16,59/2,366,0,adaptation,0,71,True,13
527,69,3/16,59/2,366,0,adaptation,0,72,True,14
528,66,1/16,475/16,367,0,ornamentation,0,72,False,14
529,67,1/32,119/4,368,0,adaptation,0,72,True,14
528,66,1/16,475/16,367,0,ornamentation,0,73,True,15
529,67,1/32,119/4,368,0,adaptation,0,73,False,15
530,66,1/32,953/32,369,0,ornamentation,0,73,False,15
531,67,1/32,477/16,370,0,ornamentation,0,73,False,15
532,66,1/32,955/32,371,0,ornamentation,0,73,False,15
533,67,1/32,239/8,372,0,adaptation,0,73,False,15
534,66,1/32,957/32,373,0,ornamentation,0,73,False,15
535,64,1/32,479/16,374,0,ornamentation,0,73,False,15
536,66,1/32,959/32,375,0,ornamentation,0,73,False,15
539,67,3/16,30,376,0,match,0,73,True,15
776,69,1/8,42,541,0,match,0,74,True,16
777,67,1/16,337/8,542,0,ornamentation,0,74,False,16
778,66,1/16,675/16,543,0,ornamentation,0,74,False,16
779,67,1/16,169/4,544,0,ornamentation,0,74,False,16
780,66,1/16,677/16,545,0,ornamentation,0,74,False,16
781,67,1/32,339/8,546,0,ornamentation,0,74,True,16
780,66,1/16,677/16,545,0,ornamentation,0,75,True,17
781,67,1/32,339/8,546,0,ornamentation,0,75,False,17
782,66,1/32,1357/32,547,0,ornamentation,0,75,False,17
783,64,1/32,679/16,548,0,ornamentation,0,75,False,17
784,66,1/32,1359/32,549,0,ornamentation,0,75,False,17
789,67,1/4,85/2,550,0,match,0,75,True,17
932,67,1/4,199/4,635,0,match,0,76,True,18
934,67,1/16,50,636,0,match,0,76,False,18
946,67,1/16,101/2,646,0,match,0,76,False,18
947,62,1/16,809/16,647,0,ornamentation,0,76,False,18
948,64,1/16,405/8,648,0,ornamentation,0,76,False,18
949,65,1/16,811/16,649,0,ornamentation,0,76,False,18
950,67,1/16,203/4,650,0,repetition,0,76,False,18
951,65,1/16,813/16,651,0,ornamentation,0,76,False,18
952,67,1/32,407/8,652,0,ornamentation,0,76,True,18
951,65,1/16,813/16,651,0,ornamentation,0,77,True,19
952,67,1/32,407/8,652,0,ornamentation,0,77,False,19
953,64,1/32,1629/32,653,0,ornamentation,0,77,False,19
954,65,1/32,815/16,654,0,ornamentation,0,77,False,19
955,67,1/32,1631/32,655,0,ornamentation,0,77,False,19
956,65,1/16,51,656,0,match,0,77,True,19
