note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
6;54;1/16;13/16;4;1;ornamentation;0;1;True;1;[non_monotonic]
7;55;1/32;7/8;5;1;repetition;0;1;False;1;[non_monotonic]
8;54;1/32;29/32;6;1;ornamentation;0;1;False;1;[non_monotonic]
9;55;1/32;15/16;7;1;ornamentation;0;1;False;1;[non_monotonic]
10;57;1/32;31/32;8;1;ornamentation;0;1;False;1;[non_monotonic]
11;59;1/16;1;9;1;match;1;1;True;1;[non_monotonic]
15;59;1/16;19/16;12;1;ornamentation;0;3;True;3;[non_monotonic]
16;60;1/32;5/4;13;1;match;0;3;False;3;[non_monotonic]
17;59;1/32;41/32;14;1;ornamentation;0;3;False;3;[non_monotonic]
18;57;1/32;21/16;15;1;ornamentation;0;3;False;3;[non_monotonic]
19;59;1/32;43/32;16;1;ornamentation;0;3;False;3;[non_monotonic]
20;60;1/8;11/8;17;1;ornamentation;0;3;True;3;[non_monotonic]
193;57;1/16;197/16;148;1;ornamentation;0;11;True;11;[non_monotonic]
194;59;1/32;99/8;149;1;adaptation;0;11;False;11;[non_monotonic]
195;57;1/32;397/32;150;1;ornamentation;0;11;False;11;[non_monotonic]
196;59;1/32;199/16;151;1;ornamentation;0;11;False;11;[non_monotonic]
197;60;1/32;399/32;152;1;ornamentation;0;11;False;11;[non_monotonic]
200;59;1/16;25/2;153;1;match;1;11;True;11;[non_monotonic]
207;60;1/16;205/16;158;1;ornamentation;0;13;True;13;[non_monotonic]
208;62;1/32;103/8;159;1;repetition;0;13;False;13;[non_monotonic]
209;60;1/32;413/32;160;1;ornamentation;0;13;False;13;[non_monotonic]
210;62;1/32;207/16;161;1;ornamentation;0;13;False;13;[non_monotonic]
211;64;1/32;415/32;162;1;ornamentation;0;13;False;13;[non_monotonic]
214;65;1/8;13;163;1;match;1;13;True;13;[non_monotonic]
1040;65;1/8;55;725;1;match;0;31;True;31;[non_monotonic]
1048;62;1/16;111/2;729;1;adaptation;0;31;False;31;[non_monotonic]
1049;64;1/16;889/16;730;1;ornamentation;0;31;False;31;[non_monotonic]
1050;65;1/16;445/8;731;1;ornamentation;0;31;False;31;[non_monotonic]
1051;64;1/16;891/16;732;1;ornamentation;0;31;False;31;[non_monotonic]
