note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
136,47,1/16,9,114,4,match,3,0,True
144,48,1/8,37/4,120,4,match,1,0,False
147,43,1/8,19/2,122,4,match,2,0,False
161,55,1/8,81/8,130,4,ornamentation,0,0,False
162,54,1/8,41/4,131,4,ficta,0,0,False
163,52,1/8,83/8,132,4,match,0,0,False
165,54,1/8,21/2,133,4,ficta,2,0,False
167,55,1/8,85/8,134,4,match,0,0,False
168,57,1/8,43/4,135,4,match,1,0,False
170,54,1/8,87/8,136,4,ficta,0,0,False
172,55,1/4,11,137,4,match,2,0,True
395,50,1/8,45/2,280,4,match,3,1,True
406,53,1/16,185/8,284,4,ornamentation,0,1,False
407,52,1/16,371/16,285,4,ornamentation,0,1,False
408,50,1/16,93/4,286,4,repetition,0,1,False
420,53,1/8,191/8,295,4,ornamentation,0,1,True
408,50,1/16,93/4,286,4,repetition,0,2,True
420,53,1/8,191/8,295,4,ornamentation,0,2,False
421,52,1/8,24,296,4,repetition,2,2,False
424,50,1/8,193/8,297,4,ornamentation,0,2,False
425,48,1/8,97/4,298,4,match,2,2,False
429,48,1/16,49/2,300,4,match,3,2,True
607,43,3/16,67/2,433,4,repetition,1,3,True
667,64,1/16,585/16,481,4,ornamentation,0,3,False
668,65,1/16,293/8,482,4,ornamentation,0,3,False
669,64,1/16,587/16,483,4,ornamentation,0,3,False
670,62,1/16,147/4,484,4,ornamentation,0,3,False
671,60,1/16,589/16,485,4,ornamentation,0,3,False
672,62,1/32,295/8,486,4,ornamentation,0,3,True
671,60,1/16,589/16,485,4,ornamentation,0,4,True
672,62,1/32,295/8,486,4,ornamentation,0,4,False
673,60,1/32,1181/32,487,4,ornamentation,0,4,False
674,59,1/32,591/16,488,4,ornamentation,0,4,False
675,57,1/32,1183/32,489,4,ornamentation,0,4,False
677,55,1/16,37,490,4,match,3,4,True
677,55,1/16,37,490,4,match,3,5,True
704,52,1/8,38,510,4,match,3,5,False
712,57,1/8,77/2,514,4,match,3,5,False
716,59,1/8,309/8,515,4,ornamentation,0,5,False
717,57,1/8,155/4,516,4,repetition,1,5,False
720,50,1/8,39,518,4,match,3,5,False
729,55,1/8,79/2,522,4,match,2,5,False
732,57,1/8,317/8,523,4,adaptation,0,5,False
734,53,1/8,319/8,525,4,match,1,5,False
736,52,1/8,40,526,4,match,4,5,False
741,50,1/8,321/8,527,4,match,0,5,False
742,52,1/4,161/4,528,4,match,1,5,True
742,52,1/4,161/4,528,4,match,1,6,True
744,48,1/8,81/2,529,4,match,3,6,False
748,53,1/8,325/8,530,4,ornamentation,0,6,False
749,55,1/8,163/4,531,4,match,2,6,False
756,53,1/8,329/8,534,4,match,1,6,False
758,52,1/8,165/4,535,4,match,2,6,False
761,50,1/8,331/8,536,4,match,1,6,False
764,52,1/8,83/2,537,4,match,3,6,False
772,50,1/8,42,541,4,match,4,6,False
786,50,1/4,85/2,550,4,repetition,3,6,True
996,52,1/8,53,691,4,match,1,7,True
1004,50,1/16,107/2,698,4,match,2,7,False
1018,53,1/16,865/16,709,4,ornamentation,0,7,False
1019,55,1/16,433/8,710,4,ornamentation,0,7,False
1020,57,1/16,867/16,711,4,ornamentation,0,7,False
1021,55,1/16,217/4,712,4,match,0,7,False
1022,53,1/16,869/16,713,4,ornamentation,0,7,False
1023,55,1/32,435/8,714,4,ornamentation,0,7,True
1022,53,1/16,869/16,713,4,ornamentation,0,8,True
1023,55,1/32,435/8,714,4,ornamentation,0,8,False
1024,53,1/32,1741/32,715,4,ornamentation,0,8,False
1025,52,1/32,871/16,716,4,ornamentation,0,8,False
1026,50,1/32,1743/32,717,4,ornamentation,0,8,False
1027,48,1/16,109/2,718,4,match,1,8,True
1103,57,1/8,58,768,4,match,3,9,True
1105,53,1/16,465/8,769,4,ornamentation,0,9,False
1106,55,1/16,931/16,770,4,ornamentation,0,9,False
1107,57,1/16,233/4,771,4,repetition,0,9,False
1113,55,1/8,117/2,775,4,match,3,9,True
1143,50,1/8,60,793,4,match,2,10,True
1169,69,1/32,979/16,810,4,ornamentation,0,10,False
1170,67,1/32,1959/32,811,4,ornamentation,0,10,False
1171,69,1/32,245/4,812,4,ornamentation,0,10,False
1172,67,1/32,1961/32,813,4,ornamentation,0,10,False
1173,66,1/32,981/16,814,4,ornamentation,0,10,False
1174,64,1/32,1963/32,815,4,ornamentation,0,10,False
1175,62,1/32,491/8,816,4,ornamentation,0,10,False
1176,60,1/32,1965/32,817,4,ornamentation,0,10,False
1177,59,1/32,983/16,818,4,ornamentation,0,10,False
1178,57,1/32,1967/32,819,4,ornamentation,0,10,False
1180,55,1/16,123/2,820,4,match,2,10,True
1234,43,1/8,64,855,4,match,4,11,True
1239,53,1/16,513/8,856,4,ornamentation,0,11,False
1240,52,1/16,1027/16,857,4,ornamentation,0,11,False
1241,50,1/16,257/4,858,4,ornamentation,0,11,False
1242,48,1/16,1029/16,859,4,ornamentation,0,11,False
1243,50,1/32,515/8,860,4,ornamentation,0,11,True
1242,48,1/16,1029/16,859,4,ornamentation,0,12,True
