note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
409;48;1/16;373/16;287;5;ornamentation;0;6;True;[monotonic_perfect_fifth_0_3]
410;50;1/32;187/8;288;5;ornamentation;0;6;False;[monotonic_perfect_fifth_0_3]
411;48;1/32;749/32;289;5;ornamentation;0;6;False;[monotonic_perfect_fifth_0_3]
412;47;1/32;375/16;290;5;ornamentation;0;6;False;[monotonic_perfect_fifth_0_3]
413;45;1/32;751/32;291;5;ornamentation;0;6;False;[monotonic_perfect_fifth_0_3]
414;43;1/8;47/2;292;5;repetition;3;6;True;[monotonic_perfect_fifth_0_3]
1146;43;1/8;481/8;794;5;adaptation;0;10;True;[monotonic]
1149;45;1/16;965/16;796;5;ornamentation;0;10;False;[monotonic]
1150;47;1/16;483/8;797;5;ornamentation;0;10;False;[monotonic]
1151;48;1/16;967/16;798;5;ornamentation;0;10;False;[monotonic]
1152;50;1/16;121/2;799;5;match;3;10;False;[monotonic]
1165;43;3/16;61;809;5;match;4;10;True;[monotonic]
1396;53;1/16;1157/16;941;5;ornamentation;0;14;True;[monotonic_perfect_fifth_0_3]
1397;55;1/32;579/8;942;5;ornamentation;0;14;False;[monotonic_perfect_fifth_0_3]
1398;53;1/32;2317/32;943;5;ornamentation;0;14;False;[monotonic_perfect_fifth_0_3]
1399;52;1/32;1159/16;944;5;ornamentation;0;14;False;[monotonic_perfect_fifth_0_3]
1400;50;1/32;2319/32;945;5;ornamentation;0;14;False;[monotonic_perfect_fifth_0_3]
1401;48;1/4;145/2;946;5;match;3;14;True;[monotonic_perfect_fifth_0_3]
1440;53;1/16;1197/16;976;5;ornamentation;0;16;True;[monotonic_perfect_fifth_0_2]
1441;55;1/32;599/8;977;5;ornamentation;0;16;False;[monotonic_perfect_fifth_0_2]
1442;53;1/32;2397/32;978;5;ornamentation;0;16;False;[monotonic_perfect_fifth_0_2]
1443;52;1/32;1199/16;979;5;ornamentation;0;16;False;[monotonic_perfect_fifth_0_2]
1444;50;1/32;2399/32;980;5;ornamentation;0;16;False;[monotonic_perfect_fifth_0_2]
1445;48;3/32;75;981;5;match;2;16;True;[monotonic_perfect_fifth_0_2]
