output_csv,duration,count,sequence_ids
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_abtab.csv,1/32,17,"3,5,7,9,11,19,21,23,25,28,30,32,34,38,41,43,45"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_abtab.csv,1/16,26,"0,1,2,4,6,8,10,12,13,14,16,18,20,22,24,26,27,29,31,33,35,37,39,40,42,44"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_abtab.csv,1/8,3,"15,17,36"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_abtab_fourstep.csv,1/32,11,"5,7,9,21,23,28,32,34,41,43,45"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_abtab_fourstep.csv,1/16,4,"8,12,22,27"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_abtab_non_chord.csv,1/32,17,"3,5,7,9,11,19,21,23,25,28,30,32,34,38,41,43,45"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_abtab_non_chord.csv,1/16,15,"1,6,8,14,16,20,22,24,27,31,33,35,37,39,44"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_abtab_non_chord.csv,1/8,1,15
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_raw.csv,1/32,16,"2,5,6,8,10,13,15,17,19,22,25,27,30,34,36,39"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_raw.csv,1/16,19,"0,1,4,7,9,11,12,14,16,18,20,21,23,24,26,28,31,33,35"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_tab_raw.csv,1/8,5,"3,29,32,37,38"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_raw_fourstep.csv,1/32,11,"5,6,8,15,17,22,25,27,34,36,39"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_raw_fourstep.csv,1/16,4,"7,11,16,21"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_raw_fourstep.csv,1/8,1,32
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_raw_non_chord.csv,1/32,16,"2,5,6,8,10,13,15,17,19,22,25,27,30,34,36,39"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_tab_raw_non_chord.csv,1/16,9,"7,14,16,18,21,24,26,28,31"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-1.csv,1/32,6,"3,5,7,9,11,14"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-1.csv,1/16,10,"0,1,2,4,6,8,12,13,15,16"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-1.csv,1/8,1,10
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-1_fourstep.csv,1/32,4,"5,7,9,14"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-1_fourstep.csv,1/16,2,"8,16"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-0.csv,1/32,11,"4,12,14,16,19,21,23,26,29,31,33"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-0.csv,1/16,21,"0,1,2,3,5,6,7,9,10,11,13,15,17,18,20,22,25,27,28,30,32"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-0.csv,1/8,2,"8,24"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-0_fourstep.csv,1/32,7,"12,14,19,23,29,31,33"
output/4965_01b_per_illud_ave_josquin/voices/4965_01b_per_illud_ave_josquin_voice-0_fourstep.csv,1/16,5,"0,5,13,18,27"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_voices_merged.csv,1/32,17,"3,5,7,9,11,14,21,29,31,33,36,38,40,43,46,48,50"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_voices_merged.csv,1/16,31,"0,1,2,4,6,8,12,13,15,16,17,18,19,20,22,23,24,26,27,28,30,32,34,35,37,39,42,44,45,47,49"
output/4965_01b_per_illud_ave_josquin/4965_01b_per_illud_ave_josquin_voices_merged.csv,1/8,3,"10,25,41"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_voices_merged_fourstep.csv,1/32,11,"5,7,9,14,29,31,36,40,46,48,50"
output/4965_01b_per_illud_ave_josquin/fourstep/4965_01b_per_illud_ave_josquin_voices_merged_fourstep.csv,1/16,7,"8,16,17,22,30,35,44"
