note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
12;72;1/8;5/4;10;0;match;0;1;True
13;64;1/16;11/8;11;1;ornamentation;0;1;False
14;62;1/16;23/16;12;1;ornamentation;0;1;False
15;64;1/4;3/2;13;1;match;1;1;True
16;72;1/4;3/2;13;0;match;0;1;True
32;64;1/16;43/16;27;1;ornamentation;0;3;True
33;67;1/32;11/4;28;1;adaptation;0;3;False
34;66;1/32;89/32;29;1;ornamentation;0;3;False
35;67;1/32;45/16;30;1;ornamentation;0;3;False
36;66;1/32;91/32;31;1;ornamentation;0;3;False
37;67;1/32;23/8;32;1;adaptation;0;3;False
38;66;1/32;93/32;33;1;ornamentation;0;3;False
39;64;1/32;47/16;34;1;ornamentation;0;3;False
40;66;1/32;95/32;35;1;ornamentation;0;3;False
41;67;1/8;3;36;1;match;1;3;True
42;67;1/8;3;36;0;match;0;3;True
57;62;1/16;65/16;46;1;ornamentation;0;5;True
58;64;1/32;33/8;47;1;ornamentation;0;5;False
59;62;1/32;133/32;48;1;ornamentation;0;5;False
60;64;1/32;67/16;49;1;ornamentation;0;5;False
61;66;1/32;135/32;50;1;ornamentation;0;5;False
62;67;1/4;17/4;51;1;match;1;5;True
63;67;1/4;17/4;51;0;match;0;5;True
64;69;3/16;9/2;52;0;match;0;6;True
65;66;1/16;75/16;53;1;ornamentation;0;6;False
66;67;1/16;19/4;54;1;adaptation;0;6;False
67;66;1/16;77/16;55;1;ornamentation;0;6;False
68;67;1/32;39/8;56;1;adaptation;0;6;True
67;66;1/16;77/16;55;1;ornamentation;0;7;True
68;67;1/32;39/8;56;1;adaptation;0;7;False
69;66;1/32;157/32;57;1;ornamentation;0;7;False
70;64;1/32;79/16;58;1;ornamentation;0;7;False
71;66;1/32;159/32;59;1;ornamentation;0;7;False
72;67;1/8;5;60;1;match;1;7;True
73;67;1/8;5;60;0;match;0;7;True
72;67;1/8;5;60;1;match;1;8;True
73;67;1/8;5;60;0;match;0;8;True
74;65;1/16;41/8;61;1;ornamentation;0;8;False
75;64;1/16;83/16;62;1;ornamentation;0;8;False
76;62;1/16;21/4;63;1;ornamentation;0;8;False
77;60;1/16;85/16;64;1;ornamentation;0;8;False
78;62;1/32;43/8;65;1;ornamentation;0;8;True
77;60;1/16;85/16;64;1;ornamentation;0;9;True
78;62;1/32;43/8;65;1;ornamentation;0;9;False
79;60;1/32;173/32;66;1;ornamentation;0;9;False
80;59;1/32;87/16;67;1;ornamentation;0;9;False
81;57;1/32;175/32;68;1;ornamentation;0;9;False
82;55;1/4;11/2;69;1;adaptation;0;9;True
90;69;1/16;101/16;76;0;ornamentation;0;11;True
91;71;1/32;51/8;77;0;ornamentation;0;11;False
92;67;1/32;205/32;78;0;ornamentation;0;11;False
93;69;1/32;103/16;79;0;ornamentation;0;11;False
94;71;1/32;207/32;80;0;ornamentation;0;11;False
95;57;1/16;13/2;81;1;match;1;11;True
96;72;1/16;13/2;81;0;match;0;11;True
104;60;1/8;7;88;1;match;1;14;True
105;67;1/8;7;88;0;match;0;14;True
106;66;1/16;57/8;89;0;ornamentation;0;14;False
107;67;1/16;115/16;90;0;ornamentation;0;14;False
108;69;1/4;29/4;91;0;match;0;14;True
108;69;1/4;29/4;91;0;match;0;15;True
109;60;1/8;15/2;92;0;ornamentation;0;15;False
110;69;1/16;61/8;93;0;ornamentation;0;15;True
109;60;1/8;15/2;92;0;ornamentation;0;16;True
110;69;1/16;61/8;93;0;ornamentation;0;16;False
111;67;1/16;123/16;94;0;ornamentation;0;16;False
112;59;1/8;31/4;95;1;match;1;16;True
113;71;1/8;31/4;95;0;match;0;16;True
121;66;1/16;133/16;102;0;ornamentation;0;19;True
122;67;1/32;67/8;103;0;repetition;0;19;False
123;64;1/32;269/32;104;1;ornamentation;0;19;False
124;66;1/32;135/16;105;1;ornamentation;0;19;False
125;67;1/32;271/32;106;1;ornamentation;0;19;False
126;57;1/8;17/2;107;1;match;0;19;True
126;57;1/8;17/2;107;1;match;0;20;True
127;66;1/16;69/8;108;0;match;0;20;False
128;64;1/16;139/16;109;0;ornamentation;0;20;False
129;67;1/16;35/4;110;0;adaptation;0;20;False
130;66;1/16;141/16;111;0;ornamentation;0;20;False
131;67;1/32;71/8;112;0;adaptation;0;20;True
130;66;1/16;141/16;111;0;ornamentation;0;21;True
131;67;1/32;71/8;112;0;adaptation;0;21;False
132;66;1/32;285/32;113;0;ornamentation;0;21;False
133;64;1/32;143/16;114;0;ornamentation;0;21;False
134;66;1/32;287/32;115;0;ornamentation;0;21;False
135;55;1/8;9;116;1;match;1;21;True
136;67;1/8;9;116;0;match;0;21;True
135;55;1/8;9;116;1;match;1;22;True
136;67;1/8;9;116;0;match;0;22;True
137;65;1/16;73/8;117;0;ornamentation;0;22;False
138;64;1/16;147/16;118;0;ornamentation;0;22;False
139;62;1/16;37/4;119;0;ornamentation;0;22;False
140;60;1/16;149/16;120;0;ornamentation;0;22;False
141;62;1/32;75/8;121;0;ornamentation;0;22;True
140;60;1/16;149/16;120;0;ornamentation;0;23;True
141;62;1/32;75/8;121;0;ornamentation;0;23;False
142;60;1/32;301/32;122;0;ornamentation;0;23;False
143;59;1/32;151/16;123;0;ornamentation;0;23;False
144;57;1/32;303/32;124;0;ornamentation;0;23;False
145;55;1/16;19/2;125;0;ornamentation;0;23;True
