note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
57;62;1/16;65/16;46;1;ornamentation;0;5;True;5;[non_monotonic]
58;64;1/32;33/8;47;1;ornamentation;0;5;False;5;[non_monotonic]
59;62;1/32;133/32;48;1;ornamentation;0;5;False;5;[non_monotonic]
60;64;1/32;67/16;49;1;ornamentation;0;5;False;5;[non_monotonic]
61;66;1/32;135/32;50;1;ornamentation;0;5;False;5;[non_monotonic]
62;67;1/4;17/4;51;1;match;1;5;True;5;[non_monotonic]
67;66;1/16;77/16;55;1;ornamentation;0;7;True;7;[non_monotonic]
68;67;1/32;39/8;56;1;adaptation;0;7;False;7;[non_monotonic]
69;66;1/32;157/32;57;1;ornamentation;0;7;False;7;[non_monotonic]
70;64;1/32;79/16;58;1;ornamentation;0;7;False;7;[non_monotonic]
71;66;1/32;159/32;59;1;ornamentation;0;7;False;7;[non_monotonic]
72;67;1/8;5;60;1;match;1;7;True;7;[non_monotonic]
72;67;1/8;5;60;1;match;1;8;True;8;[monotonic]
74;65;1/16;41/8;61;1;ornamentation;0;8;False;8;[monotonic]
75;64;1/16;83/16;62;1;ornamentation;0;8;False;8;[monotonic]
76;62;1/16;21/4;63;1;ornamentation;0;8;False;8;[monotonic]
77;60;1/16;85/16;64;1;ornamentation;0;8;False;8;[monotonic]
78;62;1/32;43/8;65;1;ornamentation;0;8;True;8;[monotonic]
77;60;1/16;85/16;64;1;ornamentation;0;9;True;9;[monotonic_perfect_fifth_0_0]
78;62;1/32;43/8;65;1;ornamentation;0;9;False;9;[monotonic_perfect_fifth_0_0]
79;60;1/32;173/32;66;1;ornamentation;0;9;False;9;[monotonic_perfect_fifth_0_0]
80;59;1/32;87/16;67;1;ornamentation;0;9;False;9;[monotonic_perfect_fifth_0_0]
81;57;1/32;175/32;68;1;ornamentation;0;9;False;9;[monotonic_perfect_fifth_0_0]
82;55;1/4;11/2;69;1;adaptation;0;9;True;9;[monotonic_perfect_fifth_0_0]
218;61;1/16;221/16;191;1;ornamentation;0;14;True;14;[non_monotonic]
219;62;1/32;111/8;192;1;adaptation;0;14;False;14;[non_monotonic]
220;61;1/32;445/32;193;1;ornamentation;0;14;False;14;[non_monotonic]
221;59;1/32;223/16;194;1;ornamentation;0;14;False;14;[non_monotonic]
222;61;1/32;447/32;195;1;ornamentation;0;14;False;14;[non_monotonic]
223;62;1/8;14;196;1;match;1;14;True;14;[non_monotonic]
265;55;1/4;18;231;1;match;1;16;True;16;[non_monotonic]
269;64;1/16;297/16;234;1;ornamentation;0;16;False;16;[non_monotonic]
270;62;1/16;149/8;235;1;ornamentation;0;16;False;16;[non_monotonic]
271;60;1/16;299/16;236;1;ornamentation;0;16;False;16;[non_monotonic]
272;62;1/16;75/4;237;1;match;0;16;False;16;[non_monotonic]
276;65;1/4;19;241;1;match;1;16;True;16;[non_monotonic]
2;69;1/16;1/2;1;0;match;0;17;False;0;[non_monotonic]
7;67;1/16;13/16;6;0;ornamentation;0;17;False;0;[non_monotonic]
8;69;1/16;7/8;7;0;ornamentation;0;17;False;0;[non_monotonic]
9;71;1/16;15/16;8;0;ornamentation;0;17;False;0;[non_monotonic]
11;72;1/4;1;9;0;match;0;17;True;0;[non_monotonic]
94;71;1/32;207/32;80;0;ornamentation;0;22;True;5;[non_monotonic]
96;72;1/16;13/2;81;0;match;0;22;False;5;[non_monotonic]
97;71;1/16;105/16;82;0;ornamentation;0;22;False;5;[non_monotonic]
98;72;1/16;53/8;83;0;ornamentation;0;22;False;5;[non_monotonic]
99;74;1/16;107/16;84;0;ornamentation;0;22;False;5;[non_monotonic]
100;72;1/8;27/4;85;0;repetition;0;22;True;5;[non_monotonic]
130;66;1/16;141/16;111;0;ornamentation;0;29;True;12;[non_monotonic]
131;67;1/32;71/8;112;0;adaptation;0;29;False;12;[non_monotonic]
132;66;1/32;285/32;113;0;ornamentation;0;29;False;12;[non_monotonic]
133;64;1/32;143/16;114;0;ornamentation;0;29;False;12;[non_monotonic]
134;66;1/32;287/32;115;0;ornamentation;0;29;False;12;[non_monotonic]
136;67;1/8;9;116;0;match;0;29;True;12;[non_monotonic]
136;67;1/8;9;116;0;match;0;30;True;13;[monotonic]
137;65;1/16;73/8;117;0;ornamentation;0;30;False;13;[monotonic]
138;64;1/16;147/16;118;0;ornamentation;0;30;False;13;[monotonic]
139;62;1/16;37/4;119;0;ornamentation;0;30;False;13;[monotonic]
140;60;1/16;149/16;120;0;ornamentation;0;30;False;13;[monotonic]
141;62;1/32;75/8;121;0;ornamentation;0;30;True;13;[monotonic]
140;60;1/16;149/16;120;0;ornamentation;0;31;True;14;[monotonic_perfect_fifth_0_0]
141;62;1/32;75/8;121;0;ornamentation;0;31;False;14;[monotonic_perfect_fifth_0_0]
142;60;1/32;301/32;122;0;ornamentation;0;31;False;14;[monotonic_perfect_fifth_0_0]
143;59;1/32;151/16;123;0;ornamentation;0;31;False;14;[monotonic_perfect_fifth_0_0]
144;57;1/32;303/32;124;0;ornamentation;0;31;False;14;[monotonic_perfect_fifth_0_0]
145;55;1/16;19/2;125;0;ornamentation;0;31;True;14;[monotonic_perfect_fifth_0_0]
173;71;1/8;11;151;0;repetition;0;35;True;18;[non_monotonic]
174;67;1/16;89/8;152;0;ornamentation;0;35;False;18;[non_monotonic]
