note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
2,69,1/16,1/2,1,0,match,0,0,False
7,67,1/16,13/16,6,0,ornamentation,0,0,False
8,69,1/16,7/8,7,0,ornamentation,0,0,False
9,71,1/16,15/16,8,0,ornamentation,0,0,False
11,72,1/4,1,9,0,match,0,0,True
16,72,1/4,3/2,13,0,match,0,1,True
20,71,1/16,2,16,0,match,0,1,False
25,67,1/16,9/4,20,0,match,0,1,False
26,64,1/16,37/16,21,0,ornamentation,0,1,False
27,66,1/16,19/8,22,0,ornamentation,0,1,False
28,67,1/16,39/16,23,0,ornamentation,0,1,False
29,69,1/16,5/2,24,0,match,0,1,False
42,67,1/8,3,36,0,match,0,1,True
49,74,1/8,7/2,40,0,match,0,2,True
53,72,1/16,31/8,43,0,match,0,2,False
54,71,1/16,63/16,44,0,ornamentation,0,2,False
56,69,1/16,4,45,0,match,0,2,False
63,67,1/4,17/4,51,0,match,0,2,True
83,67,1/4,23/4,70,0,match,0,3,True
84,69,1/16,6,71,0,match,0,3,False
85,66,1/16,97/16,72,0,ornamentation,0,3,False
86,67,1/16,49/8,73,0,ornamentation,0,3,False
87,69,1/16,99/16,74,0,ornamentation,0,3,False
89,71,1/16,25/4,75,0,match,0,3,False
90,69,1/16,101/16,76,0,ornamentation,0,3,False
91,71,1/32,51/8,77,0,ornamentation,0,3,True
90,69,1/16,101/16,76,0,ornamentation,0,4,True
91,71,1/32,51/8,77,0,ornamentation,0,4,False
92,67,1/32,205/32,78,0,ornamentation,0,4,False
93,69,1/32,103/16,79,0,ornamentation,0,4,False
94,71,1/32,207/32,80,0,ornamentation,0,4,False
96,72,1/16,13/2,81,0,match,0,4,True
94,71,1/32,207/32,80,0,ornamentation,0,5,True
96,72,1/16,13/2,81,0,match,0,5,False
97,71,1/16,105/16,82,0,ornamentation,0,5,False
98,72,1/16,53/8,83,0,ornamentation,0,5,False
99,74,1/16,107/16,84,0,ornamentation,0,5,False
100,72,1/8,27/4,85,0,repetition,0,5,True
100,72,1/8,27/4,85,0,repetition,0,6,True
102,71,1/16,55/8,86,0,match,0,6,False
103,69,1/16,111/16,87,0,ornamentation,0,6,False
105,67,1/8,7,88,0,match,0,6,True
105,67,1/8,7,88,0,match,0,7,True
106,66,1/16,57/8,89,0,ornamentation,0,7,False
107,67,1/16,115/16,90,0,ornamentation,0,7,False
108,69,1/4,29/4,91,0,match,0,7,True
108,69,1/4,29/4,91,0,match,0,8,True
109,60,1/8,15/2,92,0,ornamentation,0,8,False
110,69,1/16,61/8,93,0,ornamentation,0,8,True
109,60,1/8,15/2,92,0,ornamentation,0,9,True
110,69,1/16,61/8,93,0,ornamentation,0,9,False
111,67,1/16,123/16,94,0,ornamentation,0,9,False
113,71,1/8,31/4,95,0,match,0,9,True
113,71,1/8,31/4,95,0,match,0,10,True
116,69,1/16,129/16,98,0,ornamentation,0,10,False
117,67,1/16,65/8,99,0,adaptation,0,10,False
118,66,1/16,131/16,100,0,ornamentation,0,10,False
120,67,1/16,33/4,101,0,match,0,10,False
121,66,1/16,133/16,102,0,ornamentation,0,10,False
122,67,1/32,67/8,103,0,repetition,0,10,True
122,67,1/32,67/8,103,0,repetition,0,11,True
127,66,1/16,69/8,108,0,match,0,11,False
128,64,1/16,139/16,109,0,ornamentation,0,11,False
129,67,1/16,35/4,110,0,adaptation,0,11,False
130,66,1/16,141/16,111,0,ornamentation,0,11,False
131,67,1/32,71/8,112,0,adaptation,0,11,True
130,66,1/16,141/16,111,0,ornamentation,0,12,True
131,67,1/32,71/8,112,0,adaptation,0,12,False
132,66,1/32,285/32,113,0,ornamentation,0,12,False
133,64,1/32,143/16,114,0,ornamentation,0,12,False
134,66,1/32,287/32,115,0,ornamentation,0,12,False
136,67,1/8,9,116,0,match,0,12,True
136,67,1/8,9,116,0,match,0,13,True
137,65,1/16,73/8,117,0,ornamentation,0,13,False
138,64,1/16,147/16,118,0,ornamentation,0,13,False
139,62,1/16,37/4,119,0,ornamentation,0,13,False
140,60,1/16,149/16,120,0,ornamentation,0,13,False
141,62,1/32,75/8,121,0,ornamentation,0,13,True
140,60,1/16,149/16,120,0,ornamentation,0,14,True
141,62,1/32,75/8,121,0,ornamentation,0,14,False
142,60,1/32,301/32,122,0,ornamentation,0,14,False
143,59,1/32,151/16,123,0,ornamentation,0,14,False
144,57,1/32,303/32,124,0,ornamentation,0,14,False
145,55,1/16,19/2,125,0,ornamentation,0,14,True
144,57,1/32,303/32,124,0,ornamentation,0,15,True
145,55,1/16,19/2,125,0,ornamentation,0,15,False
146,57,1/16,153/16,126,0,ornamentation,0,15,False
147,59,1/16,77/8,127,0,ornamentation,0,15,False
148,60,1/16,155/16,128,0,ornamentation,0,15,False
149,62,1/16,39/4,129,0,ornamentation,0,15,False
150,64,1/16,157/16,130,0,ornamentation,0,15,False
151,66,1/16,79/8,131,0,ornamentation,0,15,False
152,67,1/16,159/16,132,0,ornamentation,0,15,False
153,69,1/16,10,133,0,match,0,15,False
154,67,1/16,161/16,134,0,ornamentation,0,15,False
155,69,1/16,81/8,135,0,ornamentation,0,15,False
156,71,1/16,163/16,136,0,ornamentation,0,15,False
157,69,1/16,41/4,137,0,ornamentation,0,15,False
158,67,1/16,165/16,138,0,ornamentation,0,15,False
159,69,1/32,83/8,139,0,ornamentation,0,15,True
158,67,1/16,165/16,138,0,ornamentation,0,16,True
159,69,1/32,83/8,139,0,ornamentation,0,16,False
160,66,1/32,333/32,140,0,ornamentation,0,16,False
161,67,1/32,167/16,141,0,ornamentation,0,16,False
162,69,1/32,335/32,142,0,ornamentation,0,16,False
164,71,1/16,21/2,143,0,match,0,16,True
162,69,1/32,335/32,142,0,ornamentation,0,17,True
164,71,1/16,21/2,143,0,match,0,17,False
165,69,1/16,169/16,144,0,ornamentation,0,17,False
166,67,1/16,85/8,145,0,ornamentation,0,17,False
167,66,1/16,171/16,146,0,ornamentation,0,17,False
168,64,1/16,43/4,147,0,ornamentation,0,17,False
169,66,1/16,173/16,148,0,ornamentation,0,17,False
170,67,1/16,87/8,149,0,ornamentation,0,17,False
171,69,1/16,175/16,150,0,ornamentation,0,17,False
173,71,1/8,11,151,0,repetition,0,17,True
173,71,1/8,11,151,0,repetition,0,18,True
174,67,1/16,89/8,152,0,ornamentation,0,18,False
175,69,1/16,179/16,153,0,ornamentation,0,18,False
176,71,1/16,45/4,154,0,repetition,0,18,False
177,69,1/16,181/16,155,0,ornamentation,0,18,False
178,71,1/32,91/8,156,0,ornamentation,0,18,True
177,69,1/16,181/16,155,0,ornamentation,0,19,True
178,71,1/32,91/8,156,0,ornamentation,0,19,False
179,69,1/32,365/32,157,0,ornamentation,0,19,False
180,67,1/32,183/16,158,0,ornamentation,0,19,False
181,66,1/32,367/32,159,0,ornamentation,0,19,False
183,67,1/8,23/2,160,0,match,0,19,True
183,67,1/8,23/2,160,0,match,0,20,True
184,69,1/16,93/8,161,0,ornamentation,0,20,False
185,71,1/16,187/16,162,0,ornamentation,0,20,False
187,72,1/16,47/4,163,0,match,0,20,False
196,71,1/4,49/4,171,0,match,0,20,True
198,69,3/16,25/2,172,0,match,0,21,True
199,67,1/32,203/16,173,0,ornamentation,0,21,False
200,69,1/32,407/32,174,0,ornamentation,0,21,False
202,67,1/4,51/4,175,0,match,0,21,True
202,67,1/4,51/4,175,0,match,0,22,True
203,65,1/16,13,176,0,match,0,22,False
