note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
57;62;1/16;65/16;46;1;ornamentation;0;5;True;[non_monotonic]
58;64;1/32;33/8;47;1;ornamentation;0;5;False;[non_monotonic]
59;62;1/32;133/32;48;1;ornamentation;0;5;False;[non_monotonic]
60;64;1/32;67/16;49;1;ornamentation;0;5;False;[non_monotonic]
61;66;1/32;135/32;50;1;ornamentation;0;5;False;[non_monotonic]
62;67;1/4;17/4;51;1;match;1;5;True;[non_monotonic]
67;66;1/16;77/16;55;1;ornamentation;0;7;True;[non_monotonic]
68;67;1/32;39/8;56;1;adaptation;0;7;False;[non_monotonic]
69;66;1/32;157/32;57;1;ornamentation;0;7;False;[non_monotonic]
70;64;1/32;79/16;58;1;ornamentation;0;7;False;[non_monotonic]
71;66;1/32;159/32;59;1;ornamentation;0;7;False;[non_monotonic]
72;67;1/8;5;60;1;match;1;7;True;[non_monotonic]
72;67;1/8;5;60;1;match;1;8;True;[monotonic]
74;65;1/16;41/8;61;1;ornamentation;0;8;False;[monotonic]
75;64;1/16;83/16;62;1;ornamentation;0;8;False;[monotonic]
76;62;1/16;21/4;63;1;ornamentation;0;8;False;[monotonic]
77;60;1/16;85/16;64;1;ornamentation;0;8;False;[monotonic]
78;62;1/32;43/8;65;1;ornamentation;0;8;True;[monotonic]
77;60;1/16;85/16;64;1;ornamentation;0;9;True;[monotonic_perfect_fifth_0_0]
78;62;1/32;43/8;65;1;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
79;60;1/32;173/32;66;1;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
80;59;1/32;87/16;67;1;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
81;57;1/32;175/32;68;1;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
82;55;1/4;11/2;69;1;adaptation;0;9;True;[monotonic_perfect_fifth_0_0]
218;61;1/16;221/16;191;1;ornamentation;0;14;True;[non_monotonic]
219;62;1/32;111/8;192;1;adaptation;0;14;False;[non_monotonic]
220;61;1/32;445/32;193;1;ornamentation;0;14;False;[non_monotonic]
221;59;1/32;223/16;194;1;ornamentation;0;14;False;[non_monotonic]
222;61;1/32;447/32;195;1;ornamentation;0;14;False;[non_monotonic]
223;62;1/8;14;196;1;match;1;14;True;[non_monotonic]
265;55;1/4;18;231;1;match;1;16;True;[non_monotonic]
269;64;1/16;297/16;234;1;ornamentation;0;16;False;[non_monotonic]
270;62;1/16;149/8;235;1;ornamentation;0;16;False;[non_monotonic]
271;60;1/16;299/16;236;1;ornamentation;0;16;False;[non_monotonic]
272;62;1/16;75/4;237;1;match;0;16;False;[non_monotonic]
276;65;1/4;19;241;1;match;1;16;True;[non_monotonic]
