output_csv,duration,count,sequence_ids
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,1/32,15,"1,4,10,13,16,18,21,23,25,28,30,34,42,44,46"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,1/16,32,"0,2,3,5,6,7,8,9,11,12,14,15,17,19,20,22,24,26,27,29,31,32,33,35,36,37,38,39,40,41,43,45"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_fourstep.csv,1/32,12,"1,4,10,18,23,25,28,30,34,42,44,46"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_fourstep.csv,1/16,4,"12,38,39,43"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_non_chord.csv,1/32,15,"1,4,10,13,16,18,21,23,25,28,30,34,42,44,46"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_non_chord.csv,1/16,9,"0,2,5,7,9,14,19,31,43"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,1/32,15,"1,3,8,10,12,13,16,18,20,26,28,29,38,40,42"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,1/16,19,"0,2,5,6,7,9,11,14,15,17,19,21,25,32,34,35,37,39,41"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,1/8,9,"4,22,23,24,27,30,31,33,36"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_fourstep.csv,1/32,12,"1,3,8,13,18,20,26,28,29,38,40,42"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_fourstep.csv,1/16,4,"9,32,34,39"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_non_chord.csv,1/32,15,"1,3,8,10,12,13,16,18,20,26,28,29,38,40,42"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_non_chord.csv,1/16,4,"0,7,14,39"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-1.csv,1/32,3,"1,5,13"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-1.csv,1/16,11,"0,2,3,4,6,7,8,9,10,11,12"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-1_fourstep.csv,1/32,3,"1,5,13"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-1_fourstep.csv,1/16,1,12
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-4.csv,1/32,1,1
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-4.csv,1/16,1,0
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-4_fourstep.csv,1/32,1,1
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-0.csv,1/32,7,"1,5,7,9,11,13,16"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-0.csv,1/16,11,"0,2,3,4,6,8,10,12,14,15,17"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-0_fourstep.csv,1/32,4,"1,9,13,16"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-0_fourstep.csv,1/16,2,"4,17"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-3.csv,1/32,1,1
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-3.csv,1/16,4,"0,2,3,4"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-3_fourstep.csv,1/16,2,"3,4"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-2.csv,1/32,2,"5,9"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-2.csv,1/16,14,"0,1,2,3,4,6,7,8,10,11,12,13,14,15"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-2_fourstep.csv,1/32,2,"5,9"
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-2_fourstep.csv,1/16,1,0
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-5.csv,1/32,1,1
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-5.csv,1/16,1,0
output/4966_01c_nunc_mater_josquin/voices/4966_01c_nunc_mater_josquin_voice-5_fourstep.csv,1/32,1,1
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_voices_merged.csv,1/32,15,"1,5,13,15,17,21,23,25,27,29,32,35,44,48,56"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_voices_merged.csv,1/16,42,"0,2,3,4,6,7,8,9,10,11,12,14,16,18,19,20,22,24,26,28,30,31,33,34,36,37,38,39,40,41,42,43,45,46,47,49,50,51,52,53,54,55"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_voices_merged_fourstep.csv,1/32,11,"1,5,13,15,17,25,29,32,44,48,56"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_voices_merged_fourstep.csv,1/16,6,"12,20,33,37,38,39"
