output_csv,sequence_length,count,sequence_ids
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,2,13,"2,5,7,11,14,17,29,31,32,33,35,36,37"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,4,20,"1,4,9,10,12,13,16,18,21,23,25,28,30,34,38,39,42,43,44,46"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,6,8,"0,3,19,20,22,24,41,45"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,8,4,"6,8,26,40"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_abtab.csv,10,2,"15,27"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_fourstep.csv,4,16,"1,4,10,12,18,23,25,28,30,34,38,39,42,43,44,46"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_non_chord.csv,2,5,"2,5,7,14,31"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_non_chord.csv,4,17,"1,4,9,10,13,16,18,21,23,25,28,30,34,42,43,44,46"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_abtab_non_chord.csv,6,2,"0,19"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,4,25,"1,3,4,7,8,9,10,12,13,16,18,20,22,23,24,26,27,28,29,32,34,38,39,40,42"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,6,9,"0,2,14,15,17,19,31,37,41"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,7,2,"30,33"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,8,4,"5,6,21,35"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,10,2,"11,25"
output/4966_01c_nunc_mater_josquin/4966_01c_nunc_mater_josquin_tab_raw.csv,12,1,36
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_fourstep.csv,4,16,"1,3,8,9,13,18,20,26,28,29,32,34,38,39,40,42"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_non_chord.csv,4,17,"1,3,7,8,10,12,13,16,18,20,26,28,29,38,39,40,42"
output/4966_01c_nunc_mater_josquin/fourstep/4966_01c_nunc_mater_josquin_tab_raw_non_chord.csv,6,2,"0,14"
