note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
0,62,1/4,0,0,1,match,0,0,True
1,62,1/16,1/4,1,1,match,0,0,False
2,64,1/16,5/16,2,1,ornamentation,0,0,False
3,65,1/16,3/8,3,1,ornamentation,0,0,False
4,62,1/16,7/16,4,1,ornamentation,0,0,False
5,65,1/16,1/2,5,1,adaptation,0,0,False
6,64,1/16,9/16,6,1,ornamentation,0,0,False
7,65,1/32,5/8,7,1,ornamentation,0,0,True
6,64,1/16,9/16,6,1,ornamentation,0,1,True
7,65,1/32,5/8,7,1,ornamentation,0,1,False
8,64,1/32,21/32,8,1,ornamentation,0,1,False
9,62,1/32,11/16,9,1,ornamentation,0,1,False
10,64,1/32,23/32,10,1,ornamentation,0,1,False
11,50,1/4,3/4,11,4,match,1,1,True
12,65,1/4,3/4,11,1,match,0,1,True
13,50,1/8,1,12,4,match,0,2,True
14,64,1/16,9/8,13,1,ornamentation,0,2,False
15,65,1/16,19/16,14,1,ornamentation,0,2,False
16,52,1/8,5/4,15,4,match,1,2,True
17,64,1/8,5/4,15,1,match,0,2,True
19,53,1/4,3/2,17,4,match,2,3,True
20,60,1/4,3/2,17,1,match,1,3,True
21,69,1/4,3/2,17,0,match,0,3,True
22,62,1/16,7/4,18,1,match,1,3,False
23,69,1/16,7/4,18,0,match,0,3,False
24,71,1/16,29/16,19,0,ornamentation,0,3,False
25,72,1/16,15/8,20,0,ornamentation,0,3,False
26,69,1/16,31/16,21,0,ornamentation,0,3,False
27,55,1/16,2,22,4,match,1,3,False
28,72,1/16,2,22,0,adaptation,0,3,False
29,71,1/16,33/16,23,0,ornamentation,0,3,False
30,72,1/32,17/8,24,0,ornamentation,0,3,True
29,71,1/16,33/16,23,0,ornamentation,0,4,True
30,72,1/32,17/8,24,0,ornamentation,0,4,False
31,71,1/32,69/32,25,0,ornamentation,0,4,False
32,69,1/32,35/16,26,0,ornamentation,0,4,False
33,71,1/32,71/32,27,0,ornamentation,0,4,False
34,57,1/4,9/4,28,4,match,3,4,True
34,57,1/4,9/4,28,3,match,2,4,True
35,60,1/4,9/4,28,1,match,1,4,True
36,72,1/4,9/4,28,0,match,0,4,True
37,53,1/8,5/2,29,4,match,1,5,True
38,57,1/8,5/2,29,3,match,0,5,True
39,71,1/16,21/8,30,0,adaptation,0,5,False
40,69,1/16,43/16,31,0,ornamentation,0,5,False
41,55,1/4,11/4,32,4,match,3,5,True
42,59,1/4,11/4,32,3,match,2,5,True
41,55,1/4,11/4,32,1,match,1,5,True
43,71,1/4,11/4,32,0,match,0,5,True
55,48,1/4,15/4,38,4,match,4,6,True
56,55,1/4,15/4,38,3,match,3,6,True
57,64,1/4,15/4,38,2,match,2,6,True
57,64,1/4,15/4,38,1,match,1,6,True
58,67,1/4,15/4,38,0,match,0,6,True
59,57,1/16,4,39,3,match,3,6,False
61,64,1/16,4,39,2,match,2,6,False
60,60,1/16,4,39,1,match,1,6,False
62,72,1/16,4,39,0,match,0,6,False
63,59,1/16,65/16,40,1,ornamentation,0,6,False
64,57,1/16,33/8,41,1,ornamentation,0,6,False
65,59,1/16,67/16,42,1,ornamentation,0,6,False
66,60,1/16,17/4,43,1,repetition,0,6,False
67,62,1/16,69/16,44,2,ornamentation,0,6,False
68,64,1/16,35/8,45,2,adaptation,0,6,False
69,66,1/16,71/16,46,2,ornamentation,0,6,False
70,52,1/4,9/2,47,5,match,4,6,True
71,55,1/4,9/2,47,3,match,3,6,True
73,67,1/4,9/2,47,2,match,2,6,True
72,59,1/4,9/2,47,1,adaptation,1,6,True
74,71,1/4,9/2,47,0,match,0,6,True
75,52,1/8,19/4,48,5,match,2,7,True
76,60,1/8,19/4,48,3,match,1,7,True
77,67,1/8,19/4,48,0,match,0,7,True
78,65,1/16,39/8,49,0,ornamentation,0,7,False
79,67,1/16,79/16,50,0,ornamentation,0,7,False
80,53,1/4,5,51,5,match,2,7,True
81,65,1/4,5,51,2,match,1,7,True
82,69,1/4,5,51,0,match,0,7,True
80,53,1/4,5,51,5,match,2,8,True
81,65,1/4,5,51,2,match,1,8,True
82,69,1/4,5,51,0,match,0,8,True
83,55,1/16,21/4,52,5,match,3,8,False
84,59,1/16,21/4,52,3,match,2,8,False
85,62,1/16,21/4,52,2,match,1,8,False
86,71,1/16,21/4,52,0,match,0,8,False
87,57,1/16,85/16,53,2,ornamentation,0,8,False
88,59,1/16,43/8,54,2,ornamentation,0,8,False
89,60,1/16,87/16,55,2,ornamentation,0,8,False
90,55,1/16,11/2,56,3,match,1,8,False
91,62,1/16,11/2,56,2,repetition,0,8,False
92,60,1/16,89/16,57,3,ornamentation,0,8,False
