note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
0,62,1/4,0,0,1,match,0,0,True
1,62,1/16,1/4,1,1,match,0,0,False
2,64,1/16,5/16,2,1,ornamentation,0,0,False
3,65,1/16,3/8,3,1,ornamentation,0,0,False
4,62,1/16,7/16,4,1,ornamentation,0,0,False
5,65,1/16,1/2,5,1,adaptation,0,0,False
6,64,1/16,9/16,6,1,ornamentation,0,0,False
7,65,1/32,5/8,7,1,ornamentation,0,0,True
6,64,1/16,9/16,6,1,ornamentation,0,1,True
7,65,1/32,5/8,7,1,ornamentation,0,1,False
8,64,1/32,21/32,8,1,ornamentation,0,1,False
9,62,1/32,11/16,9,1,ornamentation,0,1,False
10,64,1/32,23/32,10,1,ornamentation,0,1,False
11,50,1/4,3/4,11,4,match,1,1,True
12,65,1/4,3/4,11,1,match,0,1,True
19,53,1/4,3/2,17,4,match,2,2,True
20,60,1/4,3/2,17,1,match,1,2,True
21,69,1/4,3/2,17,0,match,0,2,True
22,62,1/16,7/4,18,1,match,1,2,False
23,69,1/16,7/4,18,0,match,0,2,False
24,71,1/16,29/16,19,0,ornamentation,0,2,False
25,72,1/16,15/8,20,0,ornamentation,0,2,False
26,69,1/16,31/16,21,0,ornamentation,0,2,False
27,55,1/16,2,22,4,match,1,2,False
28,72,1/16,2,22,0,adaptation,0,2,False
29,71,1/16,33/16,23,0,ornamentation,0,2,False
30,72,1/32,17/8,24,0,ornamentation,0,2,True
29,71,1/16,33/16,23,0,ornamentation,0,3,True
30,72,1/32,17/8,24,0,ornamentation,0,3,False
31,71,1/32,69/32,25,0,ornamentation,0,3,False
32,69,1/32,35/16,26,0,ornamentation,0,3,False
33,71,1/32,71/32,27,0,ornamentation,0,3,False
34,57,1/4,9/4,28,4,match,3,3,True
34,57,1/4,9/4,28,3,match,2,3,True
35,60,1/4,9/4,28,1,match,1,3,True
36,72,1/4,9/4,28,0,match,0,3,True
44,52,1/4,3,33,4,match,3,4,True
45,60,1/4,3,33,3,match,2,4,True
46,67,1/4,3,33,1,match,1,4,True
46,67,1/4,3,33,0,match,0,4,True
47,53,1/8,13/4,34,4,match,2,4,False
48,65,1/8,13/4,34,1,match,1,4,False
49,69,1/8,13/4,34,0,match,0,4,False
50,64,1/8,27/8,35,1,adaptation,0,4,False
51,55,1/8,7/2,36,4,match,2,4,False
52,59,1/8,7/2,36,3,match,1,4,False
53,62,1/8,7/2,36,1,match,0,4,False
54,67,1/8,29/8,37,0,match,0,4,False
55,48,1/4,15/4,38,4,match,4,4,True
56,55,1/4,15/4,38,3,match,3,4,True
57,64,1/4,15/4,38,2,match,2,4,True
57,64,1/4,15/4,38,1,match,1,4,True
58,67,1/4,15/4,38,0,match,0,4,True
55,48,1/4,15/4,38,4,match,4,5,True
56,55,1/4,15/4,38,3,match,3,5,True
57,64,1/4,15/4,38,2,match,2,5,True
57,64,1/4,15/4,38,1,match,1,5,True
58,67,1/4,15/4,38,0,match,0,5,True
59,57,1/16,4,39,3,match,3,5,False
61,64,1/16,4,39,2,match,2,5,False
60,60,1/16,4,39,1,match,1,5,False
62,72,1/16,4,39,0,match,0,5,False
63,59,1/16,65/16,40,1,ornamentation,0,5,False
64,57,1/16,33/8,41,1,ornamentation,0,5,False
65,59,1/16,67/16,42,1,ornamentation,0,5,False
66,60,1/16,17/4,43,1,repetition,0,5,False
67,62,1/16,69/16,44,2,ornamentation,0,5,False
68,64,1/16,35/8,45,2,adaptation,0,5,False
69,66,1/16,71/16,46,2,ornamentation,0,5,False
70,52,1/4,9/2,47,5,match,4,5,True
71,55,1/4,9/2,47,3,match,3,5,True
73,67,1/4,9/2,47,2,match,2,5,True
72,59,1/4,9/2,47,1,adaptation,1,5,True
74,71,1/4,9/2,47,0,match,0,5,True
80,53,1/4,5,51,5,match,2,6,True
81,65,1/4,5,51,2,match,1,6,True
82,69,1/4,5,51,0,match,0,6,True
83,55,1/16,21/4,52,5,match,3,6,False
84,59,1/16,21/4,52,3,match,2,6,False
85,62,1/16,21/4,52,2,match,1,6,False
86,71,1/16,21/4,52,0,match,0,6,False
87,57,1/16,85/16,53,2,ornamentation,0,6,False
88,59,1/16,43/8,54,2,ornamentation,0,6,False
89,60,1/16,87/16,55,2,ornamentation,0,6,False
90,55,1/16,11/2,56,3,match,1,6,False
91,62,1/16,11/2,56,2,repetition,0,6,False
92,60,1/16,89/16,57,3,ornamentation,0,6,False
93,62,1/16,45/8,58,3,ornamentation,0,6,False
94,64,1/16,91/16,59,3,ornamentation,0,6,False
95,53,1/8,23/4,60,5,match,1,6,True
96,57,1/8,23/4,60,3,match,0,6,True
101,52,1/8,25/4,63,5,match,2,7,True
