note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
6;64;1/16;9/16;6;1;ornamentation;0;1;True;[non_monotonic]
7;65;1/32;5/8;7;1;ornamentation;0;1;False;[non_monotonic]
8;64;1/32;21/32;8;1;ornamentation;0;1;False;[non_monotonic]
9;62;1/32;11/16;9;1;ornamentation;0;1;False;[non_monotonic]
10;64;1/32;23/32;10;1;ornamentation;0;1;False;[non_monotonic]
11;50;1/4;3/4;11;4;match;1;1;True;[non_monotonic]
12;65;1/4;3/4;11;1;match;0;1;True;[non_monotonic]
29;71;1/16;33/16;23;0;ornamentation;0;4;True;[non_monotonic]
30;72;1/32;17/8;24;0;ornamentation;0;4;False;[non_monotonic]
31;71;1/32;69/32;25;0;ornamentation;0;4;False;[non_monotonic]
32;69;1/32;35/16;26;0;ornamentation;0;4;False;[non_monotonic]
33;71;1/32;71/32;27;0;ornamentation;0;4;False;[non_monotonic]
34;57;1/4;9/4;28;4;match;3;4;True;[non_monotonic]
34;57;1/4;9/4;28;3;match;2;4;True;[non_monotonic]
35;60;1/4;9/4;28;1;match;1;4;True;[non_monotonic]
36;72;1/4;9/4;28;0;match;0;4;True;[non_monotonic]
107;61;1/16;105/16;67;1;ornamentation;0;10;True;[non_monotonic]
108;62;1/32;53/8;68;1;ornamentation;0;10;False;[non_monotonic]
109;61;1/32;213/32;69;1;ornamentation;0;10;False;[non_monotonic]
110;59;1/32;107/16;70;1;ornamentation;0;10;False;[non_monotonic]
111;61;1/32;215/32;71;1;ornamentation;0;10;False;[non_monotonic]
112;50;1/4;27/4;72;5;match;3;10;True;[non_monotonic]
113;62;1/4;27/4;72;3;match;2;10;True;[non_monotonic]
114;65;1/4;27/4;72;2;match;1;10;True;[non_monotonic]
113;62;1/4;27/4;72;1;match;0;10;True;[non_monotonic]
134;62;1/8;17/2;82;1;match;1;12;True;[non_monotonic_chords]
135;69;1/8;17/2;82;0;match;0;12;True;[non_monotonic_chords]
136;67;1/16;69/8;83;0;ornamentation;0;12;False;[non_monotonic_chords]
137;69;1/16;139/16;84;0;ornamentation;0;12;False;[non_monotonic_chords]
138;55;1/16;35/4;85;4;match;1;12;False;[non_monotonic_chords]
139;71;1/16;35/4;85;0;match;0;12;False;[non_monotonic_chords]
140;69;1/16;141/16;86;0;ornamentation;0;12;False;[non_monotonic_chords]
141;71;1/32;71/8;87;0;ornamentation;0;12;True;[non_monotonic_chords]
178;64;1/16;169/16;111;0;ornamentation;0;18;True;[monotonic]
179;66;1/32;85/8;112;0;ornamentation;0;18;False;[monotonic]
180;67;1/32;341/32;113;0;ornamentation;0;18;False;[monotonic]
181;69;1/32;171/16;114;0;ornamentation;0;18;False;[monotonic]
182;71;1/32;343/32;115;0;ornamentation;0;18;False;[monotonic]
183;57;1/8;43/4;116;3;match;3;18;True;[monotonic]
185;64;1/8;43/4;116;2;match;2;18;True;[monotonic]
184;60;1/8;43/4;116;1;match;1;18;True;[monotonic]
186;72;1/8;43/4;116;0;match;0;18;True;[monotonic]
221;60;1/16;197/16;139;2;ornamentation;0;23;True;[non_monotonic]
222;62;1/32;99/8;140;2;ornamentation;0;23;False;[non_monotonic]
223;60;1/32;397/32;141;2;ornamentation;0;23;False;[non_monotonic]
224;62;1/32;199/16;142;2;ornamentation;0;23;False;[non_monotonic]
225;64;1/32;399/32;143;2;ornamentation;0;23;False;[non_monotonic]
226;53;1/16;25/2;144;5;match;2;23;True;[non_monotonic]
227;57;1/16;25/2;144;3;match;1;23;True;[non_monotonic]
228;65;1/16;25/2;144;2;adaptation;0;23;True;[non_monotonic]
235;65;1/16;205/16;149;1;ornamentation;0;25;True;[monotonic]
236;67;1/32;103/8;150;1;adaptation;0;25;False;[monotonic]
237;65;1/32;413/32;151;3;ornamentation;0;25;False;[monotonic]
238;64;1/32;207/16;152;3;ornamentation;0;25;False;[monotonic]
239;62;1/32;415/32;153;3;ornamentation;0;25;False;[monotonic]
240;52;1/16;13;154;5;match;1;25;True;[monotonic]
241;61;1/16;13;154;3;adaptation;0;25;True;[monotonic]
293;66;1/16;261/16;186;0;ornamentation;0;28;True;[non_monotonic]
294;67;1/32;131/8;187;0;ornamentation;0;28;False;[non_monotonic]
295;66;1/32;525/32;188;0;ornamentation;0;28;False;[non_monotonic]
296;64;1/32;263/16;189;0;ornamentation;0;28;False;[non_monotonic]
297;66;1/32;527/32;190;0;ornamentation;0;28;False;[non_monotonic]
298;43;1/4;33/2;191;4;match;3;28;True;[non_monotonic]
300;62;1/4;33/2;191;2;match;2;28;True;[non_monotonic]
299;55;1/4;33/2;191;1;match;1;28;True;[non_monotonic]
301;67;1/4;33/2;191;0;match;0;28;True;[non_monotonic]
315;57;1/16;285/16;200;2;ornamentation;0;30;True;[non_monotonic]
316;59;1/32;143/8;201;2;adaptation;0;30;False;[non_monotonic]
317;57;1/32;573/32;202;2;ornamentation;0;30;False;[non_monotonic]
318;59;1/32;287/16;203;2;ornamentation;0;30;False;[non_monotonic]
319;60;1/32;575/32;204;2;ornamentation;0;30;False;[non_monotonic]
320;50;1/8;18;205;5;match;2;30;True;[non_monotonic]
321;53;1/8;18;205;3;match;1;30;True;[non_monotonic]
322;62;1/8;18;205;2;match;0;30;True;[non_monotonic]
366;66;1/16;333/16;223;0;ornamentation;0;34;True;[non_monotonic]
367;67;1/32;167/8;224;0;ornamentation;0;34;False;[non_monotonic]
368;66;1/32;669/32;225;0;ornamentation;0;34;False;[non_monotonic]
369;64;1/32;335/16;226;0;ornamentation;0;34;False;[non_monotonic]
370;66;1/32;671/32;227;0;ornamentation;0;34;False;[non_monotonic]
372;55;1/4;21;228;5;match;5;34;True;[non_monotonic]
371;43;1/4;21;228;4;match;4;34;True;[non_monotonic]
373;59;1/4;21;228;3;match;3;34;True;[non_monotonic]
374;62;1/4;21;228;2;match;2;34;True;[non_monotonic]
372;55;1/4;21;228;1;match;1;34;True;[non_monotonic]
375;67;1/4;21;228;0;match;0;34;True;[non_monotonic]
437;47;1/8;25;258;5;match;3;38;True;[monotonic_chords]
438;55;1/8;25;258;4;repetition;2;38;True;[monotonic_chords]
439;62;1/8;25;258;1;match;1;38;True;[monotonic_chords]
440;74;1/8;25;258;0;match;0;38;True;[monotonic_chords]
441;48;1/16;201/8;259;5;match;1;38;False;[monotonic_chords]
442;60;1/16;201/8;259;3;match;0;38;False;[monotonic_chords]
443;59;1/16;403/16;260;3;ornamentation;0;38;False;[monotonic_chords]
444;50;1/16;101/4;261;5;match;2;38;False;[monotonic_chords]
445;54;1/16;101/4;261;4;ficta;1;38;False;[monotonic_chords]
446;57;1/16;101/4;261;3;match;0;38;False;[monotonic_chords]
