note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
6;64;1/16;9/16;6;1;ornamentation;0;1;True;1;[non_monotonic]
7;65;1/32;5/8;7;1;ornamentation;0;1;False;1;[non_monotonic]
8;64;1/32;21/32;8;1;ornamentation;0;1;False;1;[non_monotonic]
9;62;1/32;11/16;9;1;ornamentation;0;1;False;1;[non_monotonic]
10;64;1/32;23/32;10;1;ornamentation;0;1;False;1;[non_monotonic]
12;65;1/4;3/4;11;1;match;0;1;True;1;[non_monotonic]
107;61;1/16;105/16;67;1;ornamentation;0;5;True;5;[non_monotonic]
108;62;1/32;53/8;68;1;ornamentation;0;5;False;5;[non_monotonic]
109;61;1/32;213/32;69;1;ornamentation;0;5;False;5;[non_monotonic]
110;59;1/32;107/16;70;1;ornamentation;0;5;False;5;[non_monotonic]
111;61;1/32;215/32;71;1;ornamentation;0;5;False;5;[non_monotonic]
113;62;1/4;27/4;72;1;match;0;5;True;5;[non_monotonic]
536;66;1/8;61/2;307;1;adaptation;1;12;True;12;[non_monotonic]
538;59;1/16;245/8;308;1;ornamentation;0;12;False;12;[non_monotonic]
539;61;1/16;491/16;309;1;ornamentation;0;12;False;12;[non_monotonic]
540;62;1/16;123/4;310;1;ornamentation;0;12;False;12;[non_monotonic]
541;61;1/16;493/16;311;1;ornamentation;0;12;False;12;[non_monotonic]
542;62;1/32;247/8;312;1;ornamentation;0;12;True;12;[non_monotonic]
541;61;1/16;493/16;311;1;ornamentation;0;13;True;13;[monotonic]
542;62;1/32;247/8;312;1;ornamentation;0;13;False;13;[monotonic]
543;64;1/32;989/32;313;1;ornamentation;0;13;False;13;[monotonic]
544;66;1/32;495/16;314;1;ornamentation;0;13;False;13;[monotonic]
545;67;1/32;991/32;315;1;ornamentation;0;13;False;13;[monotonic]
549;66;1/16;31;316;1;adaptation;1;13;True;13;[monotonic]
528;52;1/16;469/16;302;4;ornamentation;0;15;True;1;[monotonic]
529;53;1/32;235/8;303;4;ornamentation;0;15;False;1;[monotonic]
530;52;1/32;941/32;304;4;ornamentation;0;15;False;1;[monotonic]
531;50;1/32;471/16;305;4;ornamentation;0;15;False;1;[monotonic]
532;48;1/32;943/32;306;4;ornamentation;0;15;False;1;[monotonic]
533;50;1/8;61/2;307;4;match;4;15;True;1;[monotonic]
29;71;1/16;33/16;23;0;ornamentation;0;17;True;1;[non_monotonic]
30;72;1/32;17/8;24;0;ornamentation;0;17;False;1;[non_monotonic]
31;71;1/32;69/32;25;0;ornamentation;0;17;False;1;[non_monotonic]
32;69;1/32;35/16;26;0;ornamentation;0;17;False;1;[non_monotonic]
33;71;1/32;71/32;27;0;ornamentation;0;17;False;1;[non_monotonic]
36;72;1/4;9/4;28;0;match;0;17;True;1;[non_monotonic]
135;69;1/8;17/2;82;0;match;0;20;True;4;[non_monotonic]
136;67;1/16;69/8;83;0;ornamentation;0;20;False;4;[non_monotonic]
137;69;1/16;139/16;84;0;ornamentation;0;20;False;4;[non_monotonic]
139;71;1/16;35/4;85;0;match;0;20;False;4;[non_monotonic]
140;69;1/16;141/16;86;0;ornamentation;0;20;False;4;[non_monotonic]
141;71;1/32;71/8;87;0;ornamentation;0;20;True;4;[non_monotonic]
178;64;1/16;169/16;111;0;ornamentation;0;25;True;9;[monotonic]
179;66;1/32;85/8;112;0;ornamentation;0;25;False;9;[monotonic]
180;67;1/32;341/32;113;0;ornamentation;0;25;False;9;[monotonic]
181;69;1/32;171/16;114;0;ornamentation;0;25;False;9;[monotonic]
182;71;1/32;343/32;115;0;ornamentation;0;25;False;9;[monotonic]
186;72;1/8;43/4;116;0;match;0;25;True;9;[monotonic]
293;66;1/16;261/16;186;0;ornamentation;0;29;True;13;[non_monotonic]
294;67;1/32;131/8;187;0;ornamentation;0;29;False;13;[non_monotonic]
295;66;1/32;525/32;188;0;ornamentation;0;29;False;13;[non_monotonic]
296;64;1/32;263/16;189;0;ornamentation;0;29;False;13;[non_monotonic]
297;66;1/32;527/32;190;0;ornamentation;0;29;False;13;[non_monotonic]
301;67;1/4;33/2;191;0;match;0;29;True;13;[non_monotonic]
366;66;1/16;333/16;223;0;ornamentation;0;32;True;16;[non_monotonic]
367;67;1/32;167/8;224;0;ornamentation;0;32;False;16;[non_monotonic]
368;66;1/32;669/32;225;0;ornamentation;0;32;False;16;[non_monotonic]
369;64;1/32;335/16;226;0;ornamentation;0;32;False;16;[non_monotonic]
370;66;1/32;671/32;227;0;ornamentation;0;32;False;16;[non_monotonic]
375;67;1/4;21;228;0;match;0;32;True;16;[non_monotonic]
463;74;1/8;105/4;269;0;match;0;33;True;17;[monotonic]
