note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
0,62,1/4,0,0,1,match,0,0,True
1,62,1/16,1/4,1,1,match,0,0,False
2,64,1/16,5/16,2,1,ornamentation,0,0,False
3,65,1/16,3/8,3,1,ornamentation,0,0,False
4,62,1/16,7/16,4,1,ornamentation,0,0,False
5,65,1/16,1/2,5,1,adaptation,0,0,False
6,64,1/16,9/16,6,1,ornamentation,0,0,False
7,65,1/32,5/8,7,1,ornamentation,0,0,True
6,64,1/16,9/16,6,1,ornamentation,0,1,True
7,65,1/32,5/8,7,1,ornamentation,0,1,False
8,64,1/32,21/32,8,1,ornamentation,0,1,False
9,62,1/32,11/16,9,1,ornamentation,0,1,False
10,64,1/32,23/32,10,1,ornamentation,0,1,False
12,65,1/4,3/4,11,1,match,0,1,True
12,65,1/4,3/4,11,1,match,0,2,True
14,64,1/16,9/8,13,1,ornamentation,0,2,False
15,65,1/16,19/16,14,1,ornamentation,0,2,False
17,64,1/8,5/4,15,1,match,0,2,True
57,64,1/4,15/4,38,1,match,1,3,True
60,60,1/16,4,39,1,match,1,3,False
63,59,1/16,65/16,40,1,ornamentation,0,3,False
64,57,1/16,33/8,41,1,ornamentation,0,3,False
65,59,1/16,67/16,42,1,ornamentation,0,3,False
66,60,1/16,17/4,43,1,repetition,0,3,False
72,59,1/4,9/2,47,1,adaptation,1,3,True
72,59,1/4,9/2,47,1,adaptation,1,4,True
106,62,1/16,13/2,66,1,adaptation,0,4,False
107,61,1/16,105/16,67,1,ornamentation,0,4,False
108,62,1/32,53/8,68,1,ornamentation,0,4,True
107,61,1/16,105/16,67,1,ornamentation,0,5,True
108,62,1/32,53/8,68,1,ornamentation,0,5,False
109,61,1/32,213/32,69,1,ornamentation,0,5,False
110,59,1/32,107/16,70,1,ornamentation,0,5,False
111,61,1/32,215/32,71,1,ornamentation,0,5,False
113,62,1/4,27/4,72,1,match,0,5,True
146,60,1/4,9,91,1,match,1,6,True
150,59,1/16,75/8,93,1,match,0,6,False
151,57,1/16,151/16,94,1,ornamentation,0,6,False
152,55,1/4,19/2,95,1,match,1,6,True
152,55,1/4,19/2,95,1,match,1,7,True
157,67,1/16,39/4,96,1,match,1,7,False
162,65,1/16,10,100,1,match,1,7,False
164,67,1/16,161/16,101,1,ornamentation,0,7,False
165,65,1/16,81/8,102,1,ornamentation,0,7,False
166,64,1/16,163/16,103,1,ornamentation,0,7,False
169,62,1/16,41/4,104,1,match,0,7,False
184,60,1/8,43/4,116,1,match,1,7,True
184,60,1/8,43/4,116,1,match,1,8,True
187,57,1/16,87/8,117,1,ornamentation,0,8,False
188,59,1/16,175/16,118,1,ornamentation,0,8,False
189,60,1/16,11,119,1,repetition,0,8,False
195,59,1/4,45/4,123,1,adaptation,1,8,True
195,59,1/4,45/4,123,1,adaptation,1,9,True
231,65,1/16,203/16,147,1,ornamentation,0,9,False
234,67,1/16,51/4,148,1,adaptation,0,9,False
235,65,1/16,205/16,149,1,ornamentation,0,9,False
236,67,1/32,103/8,150,1,adaptation,0,9,True
236,67,1/32,103/8,150,1,adaptation,0,10,True
242,62,1/16,209/16,155,1,ornamentation,0,10,False
243,64,1/16,105/8,156,1,repetition,0,10,False
253,62,1/8,55/4,163,1,match,0,10,True
468,62,1/8,53/2,271,1,match,0,11,True
478,62,1/16,27,277,1,match,1,11,False
486,64,1/16,439/16,284,1,ornamentation,0,11,False
490,65,1/8,55/2,285,1,match,1,11,True
536,66,1/8,61/2,307,1,adaptation,1,12,True
538,59,1/16,245/8,308,1,ornamentation,0,12,False
539,61,1/16,491/16,309,1,ornamentation,0,12,False
540,62,1/16,123/4,310,1,ornamentation,0,12,False
541,61,1/16,493/16,311,1,ornamentation,0,12,False
542,62,1/32,247/8,312,1,ornamentation,0,12,True
541,61,1/16,493/16,311,1,ornamentation,0,13,True
542,62,1/32,247/8,312,1,ornamentation,0,13,False
543,64,1/32,989/32,313,1,ornamentation,0,13,False
544,66,1/32,495/16,314,1,ornamentation,0,13,False
545,67,1/32,991/32,315,1,ornamentation,0,13,False
549,66,1/16,31,316,1,adaptation,1,13,True
