note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
57;64;1/4;15/4;38;2;match;2;0;True;[non_monotonic]
61;64;1/16;4;39;2;match;2;0;False;[non_monotonic]
67;62;1/16;69/16;44;2;ornamentation;0;0;False;[non_monotonic]
68;64;1/16;35/8;45;2;adaptation;0;0;False;[non_monotonic]
69;66;1/16;71/16;46;2;ornamentation;0;0;False;[non_monotonic]
73;67;1/4;9/2;47;2;match;2;0;True;[non_monotonic]
221;60;1/16;197/16;139;2;ornamentation;0;5;True;[non_monotonic]
222;62;1/32;99/8;140;2;ornamentation;0;5;False;[non_monotonic]
223;60;1/32;397/32;141;2;ornamentation;0;5;False;[non_monotonic]
224;62;1/32;199/16;142;2;ornamentation;0;5;False;[non_monotonic]
225;64;1/32;399/32;143;2;ornamentation;0;5;False;[non_monotonic]
228;65;1/16;25/2;144;2;adaptation;0;5;True;[non_monotonic]
315;57;1/16;285/16;200;2;ornamentation;0;9;True;[non_monotonic]
316;59;1/32;143/8;201;2;adaptation;0;9;False;[non_monotonic]
317;57;1/32;573/32;202;2;ornamentation;0;9;False;[non_monotonic]
318;59;1/32;287/16;203;2;ornamentation;0;9;False;[non_monotonic]
319;60;1/32;575/32;204;2;ornamentation;0;9;False;[non_monotonic]
322;62;1/8;18;205;2;match;0;9;True;[non_monotonic]
