output_csv,sequence_length,count,sequence_ids
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,1,1,11
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,2,4,"1,9,16,20"
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,4,10,"2,4,7,8,10,12,13,15,17,18"
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,6,4,"0,6,14,19"
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,9,1,5
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab.csv,14,1,3
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_fourstep.csv,4,6,"2,7,10,12,13,17"
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_non_chord.csv,1,1,11
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_non_chord.csv,2,2,"16,20"
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_non_chord.csv,4,7,"2,7,10,12,13,15,17"
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_non_chord.csv,6,4,"0,6,14,19"
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_abtab_non_chord.csv,14,1,3
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_raw.csv,4,4,"1,4,5,7"
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_raw.csv,6,4,"0,3,6,8"
output/5106_10_misa_de_faysan_regres_2_gloria/5106_10_misa_de_faysan_regres_2_gloria_tab_raw.csv,14,1,2
output/5106_10_misa_de_faysan_regres_2_gloria/fourstep/5106_10_misa_de_faysan_regres_2_gloria_tab_raw_fourstep.csv,4,4,"1,4,5,7"
