note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
65,66,1/4,16,44,0,ficta,0,4,True,0
85,64,1/8,149/8,62,0,ornamentation,0,4,False,0
86,66,1/8,75/4,63,0,repetition,0,4,False,0
87,67,1/8,151/8,64,0,ornamentation,0,4,False,0
91,66,1/4,19,65,0,match,0,4,True,0
168,64,1/4,145/4,122,0,ornamentation,0,5,True,1
169,65,1/8,73/2,123,0,ornamentation,0,5,False,1
170,64,1/8,293/8,124,0,ornamentation,0,5,False,1
171,62,1/8,147/4,125,0,ornamentation,0,5,False,1
172,60,1/8,295/8,126,0,ornamentation,0,5,False,1
176,62,3/8,37,127,0,match,0,5,True,1
176,62,3/8,37,127,0,match,0,6,True,2
177,57,1/8,299/8,128,0,ornamentation,0,6,False,2
178,58,1/4,75/2,129,0,ornamentation,0,6,True,2
181,64,1/4,165/4,132,0,ornamentation,0,7,True,3
182,65,1/8,83/2,133,0,ornamentation,0,7,False,3
183,64,1/8,333/8,134,0,ornamentation,0,7,False,3
184,62,1/8,167/4,135,0,repetition,0,7,False,3
185,64,1/8,335/8,136,0,ornamentation,0,7,False,3
188,65,1,42,137,0,match,0,7,True,3
225,67,1/2,52,162,0,match,0,8,True,4
244,60,1/8,443/8,173,0,ornamentation,0,8,False,4
245,62,1/4,111/2,174,0,match,0,8,True,4
256,67,1/4,57,179,0,repetition,0,9,True,5
257,66,1/8,229/4,180,0,match,0,9,False,5
258,64,1/8,459/8,181,0,ornamentation,0,9,False,5
259,67,1/4,115/2,182,0,adaptation,0,9,True,5
324,60,1/4,289/4,226,0,match,0,10,True,6
325,62,1/8,145/2,227,0,match,0,10,False,6
326,60,1/8,581/8,228,0,ornamentation,0,10,False,6
327,62,1/8,291/4,229,0,repetition,0,10,False,6
328,64,1/8,583/8,230,0,ornamentation,0,10,False,6
329,65,1/4,73,231,0,match,0,10,True,6
40,65,1/2,21/2,31,1,match,1,0,True,0
43,64,1/8,45/4,33,1,ornamentation,0,0,False,0
44,62,1/8,91/8,34,1,ornamentation,0,0,False,0
45,65,1/8,23/2,35,1,repetition,0,0,False,0
46,64,1/8,93/8,36,1,ornamentation,0,0,False,0
47,62,1/8,47/4,37,1,ornamentation,0,0,False,0
48,64,1/8,95/8,38,1,ornamentation,0,0,False,0
49,65,1,12,39,1,match,1,0,True,0
66,67,1/4,65/4,45,1,ornamentation,0,1,True,1
67,64,1/8,33/2,46,1,ornamentation,0,1,False,1
68,62,1/8,133/8,47,1,ornamentation,0,1,False,1
69,64,1/8,67/4,48,1,ornamentation,0,1,False,1
70,66,1/8,135/8,49,1,ornamentation,0,1,False,1
73,58,1/4,17,50,1,match,0,1,True,1
73,58,1/4,17,50,1,match,0,2,True,2
74,65,1/8,69/4,51,1,ornamentation,0,2,False,2
75,63,1/8,139/8,52,1,ornamentation,0,2,False,2
76,62,1/8,35/2,53,1,adaptation,0,2,False,2
77,60,1/8,141/8,54,1,ornamentation,0,2,False,2
78,58,1/8,71/4,55,1,ornamentation,0,2,False,2
79,57,1/8,143/8,56,1,ornamentation,0,2,False,2
80,55,1/8,18,57,1,repetition,0,2,False,2
90,62,1/4,19,65,1,match,1,2,True,2
520,59,1/4,217/2,307,1,ficta,1,3,True,3
522,57,1/8,435/4,308,1,ornamentation,0,3,False,3
523,59,1/8,871/8,309,1,ornamentation,0,3,False,3
524,61,1/8,109,310,1,ornamentation,0,3,False,3
525,62,1/8,873/8,311,1,ornamentation,0,3,False,3
526,64,1/8,437/4,312,1,ornamentation,0,3,False,3
527,66,1/8,875/8,313,1,ornamentation,0,3,False,3
528,67,1/4,219/2,314,1,ornamentation,0,3,True,3
72,55,1/4,17,50,2,match,1,12,True,0
81,57,1/8,145/8,58,2,ornamentation,0,12,False,0
82,58,1/8,73/4,59,2,ornamentation,0,12,False,0
83,60,1/8,147/8,60,2,ornamentation,0,12,False,0
84,62,1/8,37/2,61,2,adaptation,0,12,False,0
89,57,1/4,19,65,2,match,2,12,True,0
95,55,1/2,20,69,2,match,1,13,True,1
136,70,1/8,121/4,101,2,ornamentation,0,13,False,1
137,69,1/8,243/8,102,2,ornamentation,0,13,False,1
138,67,1/8,61/2,103,2,ornamentation,0,13,False,1
139,65,1/8,245/8,104,2,ornamentation,0,13,False,1
140,63,1/8,123/4,105,2,ornamentation,0,13,False,1
141,62,1/8,247/8,106,2,ornamentation,0,13,False,1
142,60,1/4,31,107,2,match,0,13,True,1
237,55,1/4,109/2,167,2,match,0,14,True,2
239,55,1/8,219/4,168,2,ornamentation,0,14,False,2
240,57,1/8,439/8,169,2,ornamentation,0,14,False,2
241,58,1/8,55,170,2,match,0,14,False,2
250,55,1/2,113/2,178,2,match,2,14,True,2
238,58,1/4,109/2,167,3,match,1,11,True,0
242,57,1/8,441/8,171,3,ornamentation,0,11,False,0
243,58,1/8,221/4,172,3,repetition,0,11,False,0
246,53,1/4,223/4,175,3,ornamentation,0,11,True,0
