note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
66;67;1/4;65/4;45;1;ornamentation;0;1;True;[non_monotonic]
67;64;1/8;33/2;46;1;ornamentation;0;1;False;[non_monotonic]
68;62;1/8;133/8;47;1;ornamentation;0;1;False;[non_monotonic]
69;64;1/8;67/4;48;1;ornamentation;0;1;False;[non_monotonic]
70;66;1/8;135/8;49;1;ornamentation;0;1;False;[non_monotonic]
71;51;1/4;17;50;3;match;2;1;True;[non_monotonic]
72;55;1/4;17;50;2;match;1;1;True;[non_monotonic]
73;58;1/4;17;50;1;match;0;1;True;[non_monotonic]
168;64;1/4;145/4;122;0;ornamentation;0;4;True;[monotonic_perfect_fifth_0_2]
169;65;1/8;73/2;123;0;ornamentation;0;4;False;[monotonic_perfect_fifth_0_2]
170;64;1/8;293/8;124;0;ornamentation;0;4;False;[monotonic_perfect_fifth_0_2]
171;62;1/8;147/4;125;0;ornamentation;0;4;False;[monotonic_perfect_fifth_0_2]
172;60;1/8;295/8;126;0;ornamentation;0;4;False;[monotonic_perfect_fifth_0_2]
173;43;3/8;37;127;3;match;3;4;True;[monotonic_perfect_fifth_0_2]
175;58;3/8;37;127;2;match;2;4;True;[monotonic_perfect_fifth_0_2]
174;55;3/8;37;127;1;match;1;4;True;[monotonic_perfect_fifth_0_2]
176;62;3/8;37;127;0;match;0;4;True;[monotonic_perfect_fifth_0_2]
181;64;1/4;165/4;132;0;ornamentation;0;5;True;[non_monotonic]
182;65;1/8;83/2;133;0;ornamentation;0;5;False;[non_monotonic]
183;64;1/8;333/8;134;0;ornamentation;0;5;False;[non_monotonic]
184;62;1/8;167/4;135;0;repetition;0;5;False;[non_monotonic]
185;64;1/8;335/8;136;0;ornamentation;0;5;False;[non_monotonic]
186;50;1;42;137;3;match;2;5;True;[non_monotonic]
187;57;1;42;137;2;match;1;5;True;[non_monotonic]
188;65;1;42;137;0;match;0;5;True;[non_monotonic]
324;60;1/4;289/4;226;0;match;0;7;True;[non_monotonic]
325;62;1/8;145/2;227;0;match;0;7;False;[non_monotonic]
326;60;1/8;581/8;228;0;ornamentation;0;7;False;[non_monotonic]
327;62;1/8;291/4;229;0;repetition;0;7;False;[non_monotonic]
328;64;1/8;583/8;230;0;ornamentation;0;7;False;[non_monotonic]
329;65;1/4;73;231;0;match;0;7;True;[non_monotonic]
