note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
40,65,1/2,21/2,31,1,match,1,0,True
43,64,1/8,45/4,33,1,ornamentation,0,0,False
44,62,1/8,91/8,34,1,ornamentation,0,0,False
45,65,1/8,23/2,35,1,repetition,0,0,False
46,64,1/8,93/8,36,1,ornamentation,0,0,False
47,62,1/8,47/4,37,1,ornamentation,0,0,False
48,64,1/8,95/8,38,1,ornamentation,0,0,False
49,65,1,12,39,1,match,1,0,True
66,67,1/4,65/4,45,1,ornamentation,0,1,True
67,64,1/8,33/2,46,1,ornamentation,0,1,False
68,62,1/8,133/8,47,1,ornamentation,0,1,False
69,64,1/8,67/4,48,1,ornamentation,0,1,False
70,66,1/8,135/8,49,1,ornamentation,0,1,False
73,58,1/4,17,50,1,match,0,1,True
73,58,1/4,17,50,1,match,0,2,True
74,65,1/8,69/4,51,1,ornamentation,0,2,False
75,63,1/8,139/8,52,1,ornamentation,0,2,False
76,62,1/8,35/2,53,1,adaptation,0,2,False
77,60,1/8,141/8,54,1,ornamentation,0,2,False
78,58,1/8,71/4,55,1,ornamentation,0,2,False
79,57,1/8,143/8,56,1,ornamentation,0,2,False
80,55,1/8,18,57,1,repetition,0,2,False
90,62,1/4,19,65,1,match,1,2,True
520,59,1/4,217/2,307,1,ficta,1,3,True
522,57,1/8,435/4,308,1,ornamentation,0,3,False
523,59,1/8,871/8,309,1,ornamentation,0,3,False
524,61,1/8,109,310,1,ornamentation,0,3,False
525,62,1/8,873/8,311,1,ornamentation,0,3,False
526,64,1/8,437/4,312,1,ornamentation,0,3,False
527,66,1/8,875/8,313,1,ornamentation,0,3,False
528,67,1/4,219/2,314,1,ornamentation,0,3,True
