note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
74;62;1/4;25;52;1;match;1;0;True
75;66;1/4;25;52;0;ficta;0;0;True
76;62;1/8;101/4;53;0;ornamentation;0;0;False
77;64;1/8;203/8;54;0;ornamentation;0;0;False
78;66;1/4;51/2;55;0;adaptation;0;0;True
194;55;3/4;56;124;1;match;1;2;True
195;62;3/4;56;124;0;match;0;2;True
196;57;1/4;227/4;125;1;ornamentation;0;2;False
197;58;1/2;57;126;1;match;1;2;True
198;62;1/2;57;126;0;match;0;2;True
219;43;3/4;63;142;2;match;2;4;True
220;50;3/4;63;142;1;match;1;4;True
221;62;3/4;63;142;0;repetition;0;4;True
222;45;1/4;255/4;143;2;ornamentation;0;4;False
223;46;1/2;64;144;2;match;1;4;True
224;50;1/2;64;144;1;match;0;4;True
286;50;3/8;157/2;184;2;match;2;7;True
287;57;3/8;157/2;184;1;match;1;7;True
288;62;3/8;157/2;184;0;match;0;7;True
289;64;1/8;631/8;185;0;ornamentation;0;7;False
290;50;1/4;79;186;2;repetition;2;7;True
291;57;1/4;79;186;1;repetition;1;7;True
292;65;1/4;79;186;0;match;0;7;True
290;50;1/4;79;186;2;repetition;2;8;True
291;57;1/4;79;186;1;repetition;1;8;True
292;65;1/4;79;186;0;match;0;8;True
293;62;1/8;317/4;187;0;ornamentation;0;8;False
294;64;1/8;635/8;188;0;ornamentation;0;8;False
295;65;1/8;159/2;189;0;repetition;0;8;False
296;67;1/8;637/8;190;0;ornamentation;0;8;False
297;69;1/8;319/4;191;0;adaptation;0;8;False
298;70;1/8;639/8;192;0;ornamentation;0;8;False
299;53;1/4;80;193;2;match;2;8;True
300;57;1/4;80;193;1;repetition;1;8;True
301;69;1/4;80;193;0;match;0;8;True
