note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
290;50;1/4;79;186;2;repetition;2;0;True
291;57;1/4;79;186;1;repetition;1;0;True
292;65;1/4;79;186;0;match;0;0;True
293;62;1/8;317/4;187;0;ornamentation;0;0;False
294;64;1/8;635/8;188;0;ornamentation;0;0;False
295;65;1/8;159/2;189;0;repetition;0;0;False
296;67;1/8;637/8;190;0;ornamentation;0;0;False
297;69;1/8;319/4;191;0;adaptation;0;0;False
298;70;1/8;639/8;192;0;ornamentation;0;0;False
299;53;1/4;80;193;2;match;2;0;True
300;57;1/4;80;193;1;repetition;1;0;True
301;69;1/4;80;193;0;match;0;0;True
