output_csv,duration,count,sequence_ids
output/5148_51_respice_in_me_deus._F#_lute_T/5148_51_respice_in_me_deus._F#_lute_T_tab_abtab.csv,1/8,11,"1,4,5,8,15,17,21,27,31,33,35"
output/5148_51_respice_in_me_deus._F#_lute_T/5148_51_respice_in_me_deus._F#_lute_T_tab_abtab.csv,1/4,27,"0,2,3,6,7,9,10,11,12,13,14,16,18,19,20,22,23,24,25,26,28,29,30,32,34,36,37"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_tab_abtab_fourstep.csv,1/8,2,"15,27"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_tab_abtab_non_chord.csv,1/8,11,"1,4,5,8,15,17,21,27,31,33,35"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_tab_abtab_non_chord.csv,1/4,12,"0,2,3,6,9,11,12,16,23,34,36,37"
output/5148_51_respice_in_me_deus._F#_lute_T/5148_51_respice_in_me_deus._F#_lute_T_tab_raw.csv,1/8,7,"0,1,2,3,4,5,6"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_tab_raw_fourstep.csv,1/8,2,"1,4"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_tab_raw_non_chord.csv,1/8,7,"0,1,2,3,4,5,6"
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-1.csv,1/8,2,"0,1"
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-1_fourstep.csv,1/8,1,1
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-3.csv,1/8,3,"0,1,2"
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-0.csv,1/8,1,0
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-4.csv,1/8,1,0
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-4_fourstep.csv,1/8,1,0
output/5148_51_respice_in_me_deus._F#_lute_T/voices/5148_51_respice_in_me_deus._F#_lute_T_voice-2.csv,1/8,4,"0,1,2,3"
output/5148_51_respice_in_me_deus._F#_lute_T/5148_51_respice_in_me_deus._F#_lute_T_voices_merged.csv,1/8,11,"0,1,2,3,4,5,6,7,8,9,10"
output/5148_51_respice_in_me_deus._F#_lute_T/fourstep/5148_51_respice_in_me_deus._F#_lute_T_voices_merged_fourstep.csv,1/8,2,"1,6"
