note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
48,50,1/2,15,23,4,repetition,2,0,True
49,62,1/2,15,23,3,match,1,0,True
50,65,1/2,15,23,1,match,0,0,True
51,69,1/4,31/2,24,0,match,0,0,False
52,52,1/4,63/4,25,4,ornamentation,0,0,False
53,53,3/8,16,26,4,match,3,0,True
54,60,3/8,16,26,3,match,2,0,True
55,65,3/8,16,26,1,match,1,0,True
56,69,3/8,16,26,0,match,0,0,True
53,53,3/8,16,26,4,match,3,1,True
54,60,3/8,16,26,3,match,2,1,True
55,65,3/8,16,26,1,match,1,1,True
56,69,3/8,16,26,0,match,0,1,True
57,52,1/8,131/8,27,3,ornamentation,0,1,False
58,53,1/4,33/2,28,3,ornamentation,0,1,True
57,52,1/8,131/8,27,3,ornamentation,0,2,True
58,53,1/4,33/2,28,3,ornamentation,0,2,False
59,55,1/4,67/4,29,3,ornamentation,0,2,False
60,57,1/4,17,30,3,match,0,2,False
61,59,1/4,69/4,31,3,ornamentation,0,2,False
62,61,1/4,35/2,32,3,ornamentation,0,2,False
63,62,1/4,71/4,33,3,ornamentation,0,2,False
64,52,1,18,34,4,match,3,2,True
65,64,1,18,34,3,match,2,2,True
66,67,1,18,34,1,match,1,2,True
67,71,1,18,34,0,match,0,2,True
72,50,1/2,20,37,4,match,3,3,True
73,62,1/2,20,37,3,match,2,3,True
74,65,1/2,20,37,1,match,1,3,True
75,71,1/2,20,37,0,match,0,3,True
76,69,1/4,41/2,38,0,match,0,3,False
77,60,1/4,83/4,39,3,ornamentation,0,3,False
78,52,1/2,21,40,4,match,2,3,True
79,59,1/2,21,40,3,match,1,3,True
80,64,1/2,21,40,1,match,0,3,True
83,45,1/4,22,42,4,match,4,4,True
84,57,1/4,22,42,3,match,3,4,True
84,57,1/4,22,42,2,match,2,4,True
85,60,1/4,22,42,1,match,1,4,True
86,69,1/4,22,42,0,match,0,4,True
87,67,1/8,89/4,43,3,ornamentation,0,4,False
88,65,1/8,179/8,44,3,ornamentation,0,4,False
89,64,1/8,45/2,45,3,ornamentation,0,4,False
90,62,1/8,181/8,46,3,ornamentation,0,4,False
91,60,1/8,91/4,47,3,ornamentation,0,4,False
92,59,1/8,183/8,48,3,ornamentation,0,4,False
93,57,1,23,49,3,repetition,0,4,True
94,57,3/8,24,50,3,match,0,5,True
95,59,1/8,195/8,51,2,ornamentation,0,5,False
96,60,1/4,49/2,52,2,ornamentation,0,5,True
95,59,1/8,195/8,51,2,ornamentation,0,6,True
96,60,1/4,49/2,52,2,ornamentation,0,6,False
97,62,1/4,99/4,53,2,ornamentation,0,6,False
98,57,1/2,25,54,3,match,2,6,True
99,60,1/2,25,54,2,match,1,6,True
100,64,1/2,25,54,1,match,0,6,True
125,45,1/2,30,65,4,match,3,7,True
126,52,1/2,30,65,2,match,2,7,True
127,57,1/2,30,65,1,match,1,7,True
128,72,1/2,30,65,0,match,0,7,True
129,45,1/4,61/2,66,1,ornamentation,0,7,False
130,59,1/4,123/4,67,1,match,1,7,False
131,71,1/4,123/4,67,0,match,0,7,False
132,45,1/4,31,68,4,repetition,3,7,False
133,52,1/4,31,68,2,repetition,2,7,False
134,60,1/4,31,68,1,match,1,7,False
135,69,1/4,31,68,0,match,0,7,False
136,62,1/4,125/4,69,1,match,0,7,False
137,64,1/2,63/2,70,1,match,1,7,True
138,67,1/2,63/2,70,0,match,0,7,True
145,45,3/8,33,74,4,match,2,8,True
146,57,3/8,33,74,2,match,1,8,True
147,64,3/8,33,74,0,match,0,8,True
148,61,1/8,267/8,75,1,ornamentation,0,8,False
149,62,1/4,67/2,76,1,repetition,0,8,True
148,61,1/8,267/8,75,1,ornamentation,0,9,True
149,62,1/4,67/2,76,1,repetition,0,9,False
150,61,1/4,135/4,77,1,ornamentation,0,9,False
151,50,3/4,34,78,4,match,4,9,True
153,57,3/4,34,78,3,match,3,9,True
152,53,3/4,34,78,2,match,2,9,True
154,62,3/4,34,78,1,match,1,9,True
155,69,3/4,34,78,0,match,0,9,True
162,48,1/2,71/2,81,4,match,3,10,True
164,57,1/2,71/2,81,3,match,2,10,True
163,52,1/2,71/2,81,2,match,1,10,True
165,64,1/2,71/2,81,0,match,0,10,True
166,46,1/4,36,82,4,match,2,10,False
168,58,1/4,36,82,3,match,1,10,False
167,53,1/4,36,82,2,match,0,10,False
169,62,1/4,145/4,83,0,ornamentation,0,10,False
170,43,1/2,73/2,84,4,match,2,10,True
171,55,1/2,73/2,84,2,match,1,10,True
172,62,1/2,73/2,84,0,match,0,10,True
178,50,3/4,38,87,4,match,4,11,True
179,57,3/4,38,87,3,match,3,11,True
178,50,3/4,38,87,2,match,2,11,True
181,65,3/4,38,87,1,match,1,11,True
180,62,3/4,38,87,0,match,0,11,True
182,67,1/4,155/4,88,1,ornamentation,0,11,False
183,65,1/2,39,89,1,match,1,11,True
184,69,1/2,39,89,0,match,0,11,True
183,65,1/2,39,89,1,match,1,12,True
184,69,1/2,39,89,0,match,0,12,True
185,50,1/4,79/2,90,3,match,0,12,False
186,71,1/4,159/4,91,0,ornamentation,0,12,False
187,57,1,40,92,3,match,2,12,True
188,64,1,40,92,1,match,1,12,True
189,72,1,40,92,0,match,0,12,True
200,53,1/2,87/2,99,3,match,2,13,True
201,62,1/2,87/2,99,1,match,1,13,True
202,69,1/2,87/2,99,0,match,0,13,True
203,52,1/4,44,100,3,match,1,13,False
204,67,1/4,44,100,0,match,0,13,False
205,60,1/4,177/4,101,1,ornamentation,0,13,False
206,60,1/2,89/2,102,1,match,0,13,True
206,60,1/2,89/2,102,1,match,0,14,True
207,50,1/4,45,103,3,match,1,14,False
208,65,1/4,45,103,0,match,0,14,False
209,59,1/4,181/4,104,1,ornamentation,0,14,False
210,60,1/8,91/2,105,1,repetition,0,14,True
209,59,1/4,181/4,104,1,ornamentation,0,15,True
210,60,1/8,91/2,105,1,repetition,0,15,False
211,59,1/8,365/8,106,1,ornamentation,0,15,False
212,57,1/8,183/4,107,1,ornamentation,0,15,False
213,59,1/8,367/8,108,1,ornamentation,0,15,False
214,45,1,46,109,4,match,3,15,True
215,48,1,46,109,3,match,2,15,True
216,60,1,46,109,1,match,1,15,True
217,64,1,46,109,0,match,0,15,True
229,52,1/2,50,114,4,match,3,16,True
231,64,1/2,50,114,3,match,2,16,True
230,59,1/2,50,114,1,match,1,16,True
232,67,1/2,50,114,0,match,0,16,True
233,52,1/4,101/2,115,1,ornamentation,0,16,False
234,57,1/4,203/4,116,1,match,0,16,False
235,52,1/2,51,117,3,match,1,16,True
236,55,1/2,51,117,1,match,0,16,True
256,45,1/4,55,124,4,repetition,3,17,True
257,52,1/4,55,124,3,repetition,2,17,True
258,57,1/4,55,124,2,repetition,1,17,True
259,61,1/4,55,124,0,adaptation,0,17,True
260,47,1/8,221/4,125,3,ornamentation,0,17,False
261,49,1/8,443/8,126,3,ornamentation,0,17,False
262,50,1/8,111/2,127,3,ornamentation,0,17,False
263,52,1/8,445/8,128,3,ornamentation,0,17,False
264,54,1/8,223/4,129,3,ornamentation,0,17,False
265,56,1/8,447/8,130,3,ornamentation,0,17,False
266,57,1/4,56,131,3,match,0,17,True
265,56,1/8,447/8,130,3,ornamentation,0,18,True
266,57,1/4,56,131,3,match,0,18,False
267,59,1/4,225/4,132,2,ornamentation,0,18,False
268,60,1/4,113/2,133,2,repetition,0,18,False
269,62,1/4,227/4,134,2,ornamentation,0,18,False
270,45,1/4,57,135,4,match,3,18,False
271,57,1/4,57,135,3,match,2,18,False
272,60,1/4,57,135,2,match,1,18,False
273,64,1/4,57,135,1,match,0,18,False
274,47,1/4,229/4,136,4,ornamentation,0,18,False
275,48,1/4,115/2,137,4,adaptation,0,18,False
276,50,1/4,231/4,138,4,ornamentation,0,18,False
277,52,1/2,58,139,4,match,3,18,True
278,55,1/2,58,139,3,match,2,18,True
279,59,1/2,58,139,2,match,1,18,True
280,64,1/2,58,139,1,match,0,18,True
277,52,1/2,58,139,4,match,3,19,True
278,55,1/2,58,139,3,match,2,19,True
279,59,1/2,58,139,2,match,1,19,True
280,64,1/2,58,139,1,match,0,19,True
281,52,1/4,117/2,140,4,repetition,0,19,False
282,54,1/4,235/4,141,4,ficta,0,19,False
283,55,1/4,59,142,4,match,1,19,False
284,62,1/4,59,142,1,match,0,19,False
285,64,1/4,237/4,143,1,ornamentation,0,19,False
286,50,1/2,119/2,144,4,match,3,19,True
288,62,1/2,119/2,144,3,match,2,19,True
287,57,1/2,119/2,144,2,match,1,19,True
289,65,1/2,119/2,144,1,match,0,19,True
330,55,1/2,135/2,164,3,match,3,20,True
331,59,1/2,135/2,164,2,match,2,20,True
332,62,1/2,135/2,164,1,match,1,20,True
333,71,1/2,135/2,164,0,match,0,20,True
334,53,1/4,68,165,3,match,2,20,False
