note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
83,45,1/4,22,42,4,match,4,0,True
84,57,1/4,22,42,3,match,3,0,True
84,57,1/4,22,42,2,match,2,0,True
85,60,1/4,22,42,1,match,1,0,True
86,69,1/4,22,42,0,match,0,0,True
87,67,1/8,89/4,43,3,ornamentation,0,0,False
88,65,1/8,179/8,44,3,ornamentation,0,0,False
89,64,1/8,45/2,45,3,ornamentation,0,0,False
90,62,1/8,181/8,46,3,ornamentation,0,0,False
91,60,1/8,91/4,47,3,ornamentation,0,0,False
92,59,1/8,183/8,48,3,ornamentation,0,0,False
93,57,1,23,49,3,repetition,0,0,True
209,59,1/4,181/4,104,1,ornamentation,0,1,True
210,60,1/8,91/2,105,1,repetition,0,1,False
211,59,1/8,365/8,106,1,ornamentation,0,1,False
212,57,1/8,183/4,107,1,ornamentation,0,1,False
213,59,1/8,367/8,108,1,ornamentation,0,1,False
214,45,1,46,109,4,match,3,1,True
215,48,1,46,109,3,match,2,1,True
216,60,1,46,109,1,match,1,1,True
217,64,1,46,109,0,match,0,1,True
256,45,1/4,55,124,4,repetition,3,2,True
257,52,1/4,55,124,3,repetition,2,2,True
258,57,1/4,55,124,2,repetition,1,2,True
259,61,1/4,55,124,0,adaptation,0,2,True
260,47,1/8,221/4,125,3,ornamentation,0,2,False
261,49,1/8,443/8,126,3,ornamentation,0,2,False
262,50,1/8,111/2,127,3,ornamentation,0,2,False
263,52,1/8,445/8,128,3,ornamentation,0,2,False
264,54,1/8,223/4,129,3,ornamentation,0,2,False
265,56,1/8,447/8,130,3,ornamentation,0,2,False
266,57,1/4,56,131,3,match,0,2,True
342,52,1/4,69,168,3,match,2,3,True
343,59,1/4,69,168,2,match,1,3,True
344,64,1/4,69,168,1,match,0,3,True
345,68,1/8,277/4,169,0,ornamentation,0,3,False
346,66,1/8,555/8,170,0,ornamentation,0,3,False
347,69,1/8,139/2,171,0,repetition,0,3,False
348,68,1/8,557/8,172,0,ornamentation,0,3,False
349,66,1/8,279/4,173,0,ornamentation,0,3,False
350,68,1/8,559/8,174,0,ornamentation,0,3,False
351,45,1,70,175,4,match,4,3,True
354,64,1,70,175,3,adaptation,3,3,True
352,57,1,70,175,2,match,2,3,True
353,60,1,70,175,1,match,1,3,True
355,69,1,70,175,0,match,0,3,True
493,54,1/4,381/4,235,4,ornamentation,0,4,True
494,55,1/8,191/2,236,4,repetition,0,4,False
495,53,1/8,765/8,237,4,ornamentation,0,4,False
496,52,1/8,383/4,238,4,ornamentation,0,4,False
497,50,1/8,767/8,239,4,ornamentation,0,4,False
498,52,1/2,96,240,4,match,1,4,True
499,67,1/2,96,240,1,repetition,0,4,True
683,47,1/4,129,316,4,adaptation,1,5,True
684,50,1/4,129,316,3,match,0,5,True
685,52,1/8,517/4,317,2,ornamentation,0,5,False
686,54,1/8,1035/8,318,2,ornamentation,0,5,False
687,55,1/8,259/2,319,2,ornamentation,0,5,False
688,54,1/8,1037/8,320,2,ornamentation,0,5,False
689,55,1/8,519/4,321,2,ornamentation,0,5,False
690,54,1/8,1039/8,322,2,ornamentation,0,5,False
691,43,1/2,130,323,4,match,3,5,True
693,62,1/2,130,323,3,match,2,5,True
692,55,1/2,130,323,2,repetition,1,5,True
694,67,1/2,130,323,0,match,0,5,True
780,45,1/4,146,360,4,match,4,6,True
783,64,1/4,146,360,3,adaptation,3,6,True
781,57,1/4,146,360,2,match,2,6,True
782,60,1/4,146,360,1,match,1,6,True
784,69,1/4,146,360,0,match,0,6,True
785,67,1/8,585/4,361,2,ornamentation,0,6,False
786,65,1/8,1171/8,362,2,ornamentation,0,6,False
787,64,1/8,293/2,363,2,ornamentation,0,6,False
788,62,1/8,1173/8,364,2,ornamentation,0,6,False
789,60,1/8,587/4,365,2,ornamentation,0,6,False
790,59,1/8,1175/8,366,2,ornamentation,0,6,False
791,57,1/2,147,367,2,repetition,0,6,True
