note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
341,69,1/2,137/2,167,0,match,0,5,True,0
345,68,1/8,277/4,169,0,ornamentation,0,5,False,0
346,66,1/8,555/8,170,0,ornamentation,0,5,False,0
347,69,1/8,139/2,171,0,repetition,0,5,False,0
348,68,1/8,557/8,172,0,ornamentation,0,5,False,0
349,66,1/8,279/4,173,0,ornamentation,0,5,False,0
350,68,1/8,559/8,174,0,ornamentation,0,5,False,0
355,69,1,70,175,0,match,0,5,True,0
142,62,1/4,65/2,72,1,match,1,0,True,0
148,61,1/8,267/8,75,1,ornamentation,0,0,False,0
149,62,1/4,67/2,76,1,repetition,0,0,True,0
209,59,1/4,181/4,104,1,ornamentation,0,1,True,1
210,60,1/8,91/2,105,1,repetition,0,1,False,1
211,59,1/8,365/8,106,1,ornamentation,0,1,False,1
212,57,1/8,183/4,107,1,ornamentation,0,1,False,1
213,59,1/8,367/8,108,1,ornamentation,0,1,False,1
216,60,1,46,109,1,match,1,1,True,1
84,57,1/4,22,42,2,match,2,7,True,0
95,59,1/8,195/8,51,2,ornamentation,0,7,False,0
96,60,1/4,49/2,52,2,ornamentation,0,7,True,0
660,59,1/2,251/2,306,2,adaptation,2,8,True,1
676,50,1/8,1023/8,311,2,ornamentation,0,8,False,1
677,52,1/4,128,312,2,repetition,0,8,True,1
681,48,1/4,515/4,315,2,adaptation,0,9,True,2
685,52,1/8,517/4,317,2,ornamentation,0,9,False,2
686,54,1/8,1035/8,318,2,ornamentation,0,9,False,2
687,55,1/8,259/2,319,2,ornamentation,0,9,False,2
688,54,1/8,1037/8,320,2,ornamentation,0,9,False,2
689,55,1/8,519/4,321,2,ornamentation,0,9,False,2
690,54,1/8,1039/8,322,2,ornamentation,0,9,False,2
692,55,1/2,130,323,2,repetition,1,9,True,2
781,57,1/4,146,360,2,match,2,10,True,3
785,67,1/8,585/4,361,2,ornamentation,0,10,False,3
786,65,1/8,1171/8,362,2,ornamentation,0,10,False,3
787,64,1/8,293/2,363,2,ornamentation,0,10,False,3
788,62,1/8,1173/8,364,2,ornamentation,0,10,False,3
789,60,1/8,587/4,365,2,ornamentation,0,10,False,3
790,59,1/8,1175/8,366,2,ornamentation,0,10,False,3
791,57,1/2,147,367,2,repetition,0,10,True,3
54,60,3/8,16,26,3,match,2,2,True,0
57,52,1/8,131/8,27,3,ornamentation,0,2,False,0
58,53,1/4,33/2,28,3,ornamentation,0,2,True,0
84,57,1/4,22,42,3,match,3,3,True,1
87,67,1/8,89/4,43,3,ornamentation,0,3,False,1
88,65,1/8,179/8,44,3,ornamentation,0,3,False,1
89,64,1/8,45/2,45,3,ornamentation,0,3,False,1
90,62,1/8,181/8,46,3,ornamentation,0,3,False,1
91,60,1/8,91/4,47,3,ornamentation,0,3,False,1
92,59,1/8,183/8,48,3,ornamentation,0,3,False,1
93,57,1,23,49,3,repetition,0,3,True,1
257,52,1/4,55,124,3,repetition,2,4,True,2
260,47,1/8,221/4,125,3,ornamentation,0,4,False,2
261,49,1/8,443/8,126,3,ornamentation,0,4,False,2
262,50,1/8,111/2,127,3,ornamentation,0,4,False,2
263,52,1/8,445/8,128,3,ornamentation,0,4,False,2
264,54,1/8,223/4,129,3,ornamentation,0,4,False,2
265,56,1/8,447/8,130,3,ornamentation,0,4,False,2
266,57,1/4,56,131,3,match,0,4,True,2
493,54,1/4,381/4,235,4,ornamentation,0,6,True,0
494,55,1/8,191/2,236,4,repetition,0,6,False,0
495,53,1/8,765/8,237,4,ornamentation,0,6,False,0
496,52,1/8,383/4,238,4,ornamentation,0,6,False,0
497,50,1/8,767/8,239,4,ornamentation,0,6,False,0
498,52,1/2,96,240,4,match,1,6,True,0
