note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
48;50;1/2;15;23;4;repetition;2;0;True
49;62;1/2;15;23;3;match;1;0;True
50;65;1/2;15;23;1;match;0;0;True
51;69;1/4;31/2;24;0;match;0;0;False
52;52;1/4;63/4;25;4;ornamentation;0;0;False
53;53;3/8;16;26;4;match;3;0;True
54;60;3/8;16;26;3;match;2;0;True
55;65;3/8;16;26;1;match;1;0;True
56;69;3/8;16;26;0;match;0;0;True
53;53;3/8;16;26;4;match;3;1;True
54;60;3/8;16;26;3;match;2;1;True
55;65;3/8;16;26;1;match;1;1;True
56;69;3/8;16;26;0;match;0;1;True
57;52;1/8;131/8;27;3;ornamentation;0;1;False
58;53;1/4;33/2;28;3;ornamentation;0;1;True
57;52;1/8;131/8;27;3;ornamentation;0;2;True
58;53;1/4;33/2;28;3;ornamentation;0;2;False
59;55;1/4;67/4;29;3;ornamentation;0;2;False
60;57;1/4;17;30;3;match;0;2;False
61;59;1/4;69/4;31;3;ornamentation;0;2;False
62;61;1/4;35/2;32;3;ornamentation;0;2;False
63;62;1/4;71/4;33;3;ornamentation;0;2;False
64;52;1;18;34;4;match;3;2;True
65;64;1;18;34;3;match;2;2;True
66;67;1;18;34;1;match;1;2;True
67;71;1;18;34;0;match;0;2;True
72;50;1/2;20;37;4;match;3;3;True
73;62;1/2;20;37;3;match;2;3;True
74;65;1/2;20;37;1;match;1;3;True
75;71;1/2;20;37;0;match;0;3;True
76;69;1/4;41/2;38;0;match;0;3;False
77;60;1/4;83/4;39;3;ornamentation;0;3;False
78;52;1/2;21;40;4;match;2;3;True
79;59;1/2;21;40;3;match;1;3;True
80;64;1/2;21;40;1;match;0;3;True
83;45;1/4;22;42;4;match;4;4;True
84;57;1/4;22;42;3;match;3;4;True
84;57;1/4;22;42;2;match;2;4;True
85;60;1/4;22;42;1;match;1;4;True
86;69;1/4;22;42;0;match;0;4;True
87;67;1/8;89/4;43;3;ornamentation;0;4;False
88;65;1/8;179/8;44;3;ornamentation;0;4;False
89;64;1/8;45/2;45;3;ornamentation;0;4;False
90;62;1/8;181/8;46;3;ornamentation;0;4;False
91;60;1/8;91/4;47;3;ornamentation;0;4;False
92;59;1/8;183/8;48;3;ornamentation;0;4;False
93;57;1;23;49;3;repetition;0;4;True
94;57;3/8;24;50;3;match;0;5;True
95;59;1/8;195/8;51;2;ornamentation;0;5;False
96;60;1/4;49/2;52;2;ornamentation;0;5;True
95;59;1/8;195/8;51;2;ornamentation;0;6;True
96;60;1/4;49/2;52;2;ornamentation;0;6;False
97;62;1/4;99/4;53;2;ornamentation;0;6;False
98;57;1/2;25;54;3;match;2;6;True
99;60;1/2;25;54;2;match;1;6;True
100;64;1/2;25;54;1;match;0;6;True
145;45;3/8;33;74;4;match;2;8;True
146;57;3/8;33;74;2;match;1;8;True
147;64;3/8;33;74;0;match;0;8;True
148;61;1/8;267/8;75;1;ornamentation;0;8;False
149;62;1/4;67/2;76;1;repetition;0;8;True
148;61;1/8;267/8;75;1;ornamentation;0;9;True
149;62;1/4;67/2;76;1;repetition;0;9;False
150;61;1/4;135/4;77;1;ornamentation;0;9;False
151;50;3/4;34;78;4;match;4;9;True
153;57;3/4;34;78;3;match;3;9;True
152;53;3/4;34;78;2;match;2;9;True
154;62;3/4;34;78;1;match;1;9;True
155;69;3/4;34;78;0;match;0;9;True
178;50;3/4;38;87;4;match;4;11;True
179;57;3/4;38;87;3;match;3;11;True
178;50;3/4;38;87;2;match;2;11;True
181;65;3/4;38;87;1;match;1;11;True
180;62;3/4;38;87;0;match;0;11;True
182;67;1/4;155/4;88;1;ornamentation;0;11;False
183;65;1/2;39;89;1;match;1;11;True
184;69;1/2;39;89;0;match;0;11;True
183;65;1/2;39;89;1;match;1;12;True
184;69;1/2;39;89;0;match;0;12;True
185;50;1/4;79/2;90;3;match;0;12;False
186;71;1/4;159/4;91;0;ornamentation;0;12;False
187;57;1;40;92;3;match;2;12;True
188;64;1;40;92;1;match;1;12;True
189;72;1;40;92;0;match;0;12;True
209;59;1/4;181/4;104;1;ornamentation;0;15;True
210;60;1/8;91/2;105;1;repetition;0;15;False
211;59;1/8;365/8;106;1;ornamentation;0;15;False
212;57;1/8;183/4;107;1;ornamentation;0;15;False
213;59;1/8;367/8;108;1;ornamentation;0;15;False
214;45;1;46;109;4;match;3;15;True
215;48;1;46;109;3;match;2;15;True
216;60;1;46;109;1;match;1;15;True
217;64;1;46;109;0;match;0;15;True
229;52;1/2;50;114;4;match;3;16;True
231;64;1/2;50;114;3;match;2;16;True
230;59;1/2;50;114;1;match;1;16;True
232;67;1/2;50;114;0;match;0;16;True
233;52;1/4;101/2;115;1;ornamentation;0;16;False
234;57;1/4;203/4;116;1;match;0;16;False
235;52;1/2;51;117;3;match;1;16;True
236;55;1/2;51;117;1;match;0;16;True
256;45;1/4;55;124;4;repetition;3;17;True
257;52;1/4;55;124;3;repetition;2;17;True
258;57;1/4;55;124;2;repetition;1;17;True
259;61;1/4;55;124;0;adaptation;0;17;True
260;47;1/8;221/4;125;3;ornamentation;0;17;False
261;49;1/8;443/8;126;3;ornamentation;0;17;False
262;50;1/8;111/2;127;3;ornamentation;0;17;False
263;52;1/8;445/8;128;3;ornamentation;0;17;False
264;54;1/8;223/4;129;3;ornamentation;0;17;False
265;56;1/8;447/8;130;3;ornamentation;0;17;False
266;57;1/4;56;131;3;match;0;17;True
342;52;1/4;69;168;3;match;2;21;True
343;59;1/4;69;168;2;match;1;21;True
344;64;1/4;69;168;1;match;0;21;True
345;68;1/8;277/4;169;0;ornamentation;0;21;False
346;66;1/8;555/8;170;0;ornamentation;0;21;False
347;69;1/8;139/2;171;0;repetition;0;21;False
348;68;1/8;557/8;172;0;ornamentation;0;21;False
349;66;1/8;279/4;173;0;ornamentation;0;21;False
350;68;1/8;559/8;174;0;ornamentation;0;21;False
351;45;1;70;175;4;match;4;21;True
354;64;1;70;175;3;adaptation;3;21;True
352;57;1;70;175;2;match;2;21;True
353;60;1;70;175;1;match;1;21;True
355;69;1;70;175;0;match;0;21;True
383;50;1/2;76;188;2;match;2;23;True
384;62;1/2;76;188;1;match;1;23;True
385;65;1/2;76;188;0;match;0;23;True
386;57;1/4;153/2;189;3;match;0;23;False
387;64;1/4;307/4;190;0;ornamentation;0;23;False
388;50;1/2;77;191;4;match;3;23;True
389;57;1/2;77;191;3;match;2;23;True
390;62;1/2;77;191;1;repetition;1;23;True
391;65;1/2;77;191;0;repetition;0;23;True
493;54;1/4;381/4;235;4;ornamentation;0;27;True
494;55;1/8;191/2;236;4;repetition;0;27;False
495;53;1/8;765/8;237;4;ornamentation;0;27;False
496;52;1/8;383/4;238;4;ornamentation;0;27;False
497;50;1/8;767/8;239;4;ornamentation;0;27;False
498;52;1/2;96;240;4;match;1;27;True
499;67;1/2;96;240;1;repetition;0;27;True
674;48;3/8;255/2;310;4;repetition;1;31;True
675;55;3/8;255/2;310;3;match;0;31;True
676;50;1/8;1023/8;311;2;ornamentation;0;31;False
677;52;1/4;128;312;2;repetition;0;31;True
683;47;1/4;129;316;4;adaptation;1;33;True
684;50;1/4;129;316;3;match;0;33;True
685;52;1/8;517/4;317;2;ornamentation;0;33;False
686;54;1/8;1035/8;318;2;ornamentation;0;33;False
687;55;1/8;259/2;319;2;ornamentation;0;33;False
688;54;1/8;1037/8;320;2;ornamentation;0;33;False
689;55;1/8;519/4;321;2;ornamentation;0;33;False
690;54;1/8;1039/8;322;2;ornamentation;0;33;False
691;43;1/2;130;323;4;match;3;33;True
693;62;1/2;130;323;3;match;2;33;True
692;55;1/2;130;323;2;repetition;1;33;True
694;67;1/2;130;323;0;match;0;33;True
691;43;1/2;130;323;4;match;3;34;True
693;62;1/2;130;323;3;match;2;34;True
692;55;1/2;130;323;2;repetition;1;34;True
694;67;1/2;130;323;0;match;0;34;True
695;62;1/4;261/2;324;2;ornamentation;0;34;False
696;57;1/4;523/4;325;2;ornamentation;0;34;False
697;59;1/4;131;326;2;repetition;0;34;False
698;55;1/4;525/4;327;2;ornamentation;0;34;False
700;60;1/2;263/2;328;3;match;2;34;True
699;57;1/2;263/2;328;2;match;1;34;True
701;65;1/2;263/2;328;0;match;0;34;True
780;45;1/4;146;360;4;match;4;35;True
783;64;1/4;146;360;3;adaptation;3;35;True
781;57;1/4;146;360;2;match;2;35;True
782;60;1/4;146;360;1;match;1;35;True
784;69;1/4;146;360;0;match;0;35;True
785;67;1/8;585/4;361;2;ornamentation;0;35;False
786;65;1/8;1171/8;362;2;ornamentation;0;35;False
787;64;1/8;293/2;363;2;ornamentation;0;35;False
788;62;1/8;1173/8;364;2;ornamentation;0;35;False
789;60;1/8;587/4;365;2;ornamentation;0;35;False
790;59;1/8;1175/8;366;2;ornamentation;0;35;False
