note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
54,60,3/8,16,26,3,match,2,0,True
57,52,1/8,131/8,27,3,ornamentation,0,0,False
58,53,1/4,33/2,28,3,ornamentation,0,0,True
84,57,1/4,22,42,3,match,3,1,True
87,67,1/8,89/4,43,3,ornamentation,0,1,False
88,65,1/8,179/8,44,3,ornamentation,0,1,False
89,64,1/8,45/2,45,3,ornamentation,0,1,False
90,62,1/8,181/8,46,3,ornamentation,0,1,False
91,60,1/8,91/4,47,3,ornamentation,0,1,False
92,59,1/8,183/8,48,3,ornamentation,0,1,False
93,57,1,23,49,3,repetition,0,1,True
257,52,1/4,55,124,3,repetition,2,2,True
260,47,1/8,221/4,125,3,ornamentation,0,2,False
261,49,1/8,443/8,126,3,ornamentation,0,2,False
262,50,1/8,111/2,127,3,ornamentation,0,2,False
263,52,1/8,445/8,128,3,ornamentation,0,2,False
264,54,1/8,223/4,129,3,ornamentation,0,2,False
265,56,1/8,447/8,130,3,ornamentation,0,2,False
266,57,1/4,56,131,3,match,0,2,True
