note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
4,57,1/4,1,4,1,match,0,0,True
5,55,1/8,5/4,5,1,ornamentation,0,0,False
6,57,1/8,11/8,6,1,ornamentation,0,0,False
7,58,1/2,3/2,7,1,match,0,0,True
15,62,1/2,7/2,14,1,match,1,1,True
16,70,1/2,7/2,14,0,match,0,1,True
17,60,1/4,4,15,1,match,0,1,False
18,67,1/4,17/4,16,0,adaptation,0,1,False
19,69,1/4,9/2,17,0,match,0,1,False
20,57,1/4,19/4,18,1,ornamentation,0,1,False
21,58,1/4,5,19,1,match,0,1,False
22,62,1/4,21/4,20,0,match,0,1,False
23,74,1/2,11/2,21,0,match,0,1,True
46,50,1/4,12,35,2,match,2,2,True
47,53,1/4,12,35,1,match,1,2,True
48,69,1/4,12,35,0,match,0,2,True
49,67,1/8,49/4,36,0,adaptation,0,2,False
50,69,1/8,99/8,37,0,ornamentation,0,2,False
51,43,1/2,25/2,38,3,match,2,2,True
52,55,1/2,25/2,38,1,match,1,2,True
53,70,1/2,25/2,38,0,match,0,2,True
85,64,1/2,19,57,1,match,1,3,True
86,72,1/2,19,57,0,match,0,3,True
87,67,1/4,39/2,58,1,match,1,3,False
88,71,1/4,39/2,58,0,match,0,3,False
89,69,1/4,79/4,59,0,ornamentation,0,3,False
90,71,1/4,20,60,0,ornamentation,0,3,False
91,65,1/4,81/4,61,1,match,1,3,False
92,69,1/4,81/4,61,0,match,0,3,False
93,62,1/4,41/2,62,1,match,1,3,False
94,74,1/4,41/2,62,0,match,0,3,False
95,65,1/4,83/4,63,1,match,0,3,False
96,64,1/2,21,64,1,match,1,3,True
97,72,1/2,21,64,0,match,0,3,True
96,64,1/2,21,64,1,match,1,4,True
97,72,1/2,21,64,0,match,0,4,True
98,62,1/4,43/2,65,1,match,1,4,False
99,71,1/4,43/2,65,0,match,0,4,False
100,69,1/4,87/4,66,0,ornamentation,0,4,False
101,71,1/4,22,67,0,ornamentation,0,4,False
102,60,1/4,89/4,68,1,match,1,4,False
103,69,1/4,89/4,68,0,match,0,4,False
104,57,1/4,45/2,69,1,match,0,4,False
105,60,1/4,91/4,70,1,match,0,4,False
106,59,1/4,23,71,1,match,0,4,False
107,68,1/4,93/4,72,0,ornamentation,0,4,False
108,69,1/4,47/2,73,0,repetition,0,4,False
109,68,1/4,95/4,74,0,ornamentation,0,4,False
110,57,1/4,24,75,2,match,1,4,False
111,69,1/4,24,75,0,match,0,4,False
112,71,1/4,97/4,76,0,ornamentation,0,4,False
113,57,1/4,49/2,77,1,match,1,4,False
114,72,1/4,49/2,77,0,match,0,4,False
115,69,1/4,99/4,78,0,ornamentation,0,4,False
116,52,1/2,25,79,3,match,3,4,True
117,55,1/2,25,79,2,match,2,4,True
118,59,1/2,25,79,1,match,1,4,True
119,71,1/2,25,79,0,match,0,4,True
140,57,1/4,29,89,3,match,3,5,True
141,60,1/4,29,89,2,match,2,5,True
142,64,1/4,29,89,1,match,1,5,True
142,64,1/4,29,89,0,match,0,5,True
143,62,1/8,117/4,90,1,ornamentation,0,5,False
144,64,1/8,235/8,91,1,ornamentation,0,5,False
145,65,1/2,59/2,92,1,match,0,5,True
186,64,1/2,75/2,119,1,match,1,6,True
187,67,1/2,75/2,119,0,match,0,6,True
188,65,1/4,38,120,1,ornamentation,0,6,False
189,62,1/4,153/4,121,1,match,0,6,False
190,62,1/2,77/2,122,1,match,1,6,True
191,62,1/2,77/2,122,0,match,0,6,True
190,62,1/2,77/2,122,1,match,1,7,True
191,62,1/2,77/2,122,0,match,0,7,True
192,64,1/4,39,123,0,match,0,7,False
193,59,1/4,157/4,124,0,ornamentation,0,7,False
194,61,1/4,79/2,125,0,ornamentation,0,7,False
195,59,1/8,159/4,126,0,ornamentation,0,7,True
194,61,1/4,79/2,125,0,ornamentation,0,8,True
195,59,1/8,159/4,126,0,ornamentation,0,8,False
196,61,1/8,319/8,127,0,ornamentation,0,8,False
197,62,1/4,40,128,2,match,1,8,True
198,62,1/4,40,128,0,match,0,8,True
196,61,1/8,319/8,127,0,ornamentation,0,9,True
197,62,1/4,40,128,2,match,1,9,False
198,62,1/4,40,128,0,match,0,9,False
199,64,1/4,161/4,129,0,ornamentation,0,9,False
200,62,1/4,81/2,130,1,match,1,9,False
201,65,1/4,81/2,130,0,match,0,9,False
202,62,1/4,163/4,131,1,ornamentation,0,9,False
203,57,1/2,41,132,3,match,3,9,True
204,60,1/2,41,132,2,match,2,9,True
205,64,1/2,41,132,1,match,1,9,True
205,64,1/2,41,132,0,match,0,9,True
226,62,1/4,45,142,3,match,2,10,True
227,65,1/4,45,142,2,match,1,10,True
228,69,1/4,45,142,0,match,0,10,True
229,67,1/8,181/4,143,1,repetition,0,10,False
230,69,1/8,363/8,144,0,ornamentation,0,10,False
231,70,1/2,91/2,145,0,match,0,10,True
253,49,1/2,99/2,155,2,ficta,1,11,True
254,64,1/2,99/2,155,1,match,0,11,True
255,50,1/4,50,156,2,match,1,11,False
256,57,1/4,50,156,1,match,0,11,False
257,55,1/4,201/4,157,3,ornamentation,0,11,False
258,57,1/4,101/2,158,3,repetition,1,11,False
259,65,1/4,101/2,158,0,repetition,0,11,False
260,59,1/4,203/4,159,1,match,0,11,False
261,48,1/2,51,160,3,match,2,11,True
262,60,1/2,51,160,1,match,1,11,True
263,64,1/2,51,160,0,match,0,11,True
315,53,1/2,58,180,3,match,3,12,True
316,62,1/2,58,180,2,match,2,12,True
317,65,1/2,58,180,1,match,1,12,True
318,69,1/2,58,180,0,match,0,12,True
319,50,1/4,117/2,181,3,match,0,12,False
320,65,1/4,235/4,182,2,repetition,0,12,False
322,64,1/4,59,183,2,match,2,12,False
321,60,1/4,59,183,1,match,1,12,False
323,67,1/4,59,183,0,match,0,12,False
324,69,1/4,237/4,184,0,ornamentation,0,12,False
325,55,1/4,119/2,185,3,match,3,12,False
326,62,1/4,119/2,185,2,match,2,12,False
326,62,1/4,119/2,185,1,match,1,12,False
327,70,1/4,119/2,185,0,match,0,12,False
328,60,1/4,239/4,186,2,ornamentation,0,12,False
329,62,1/8,60,187,2,repetition,0,12,True
328,60,1/4,239/4,186,2,ornamentation,0,13,True
329,62,1/8,60,187,2,repetition,0,13,False
330,60,1/8,481/8,188,1,ornamentation,0,13,False
331,58,1/8,241/4,189,1,ornamentation,0,13,False
332,57,1/8,483/8,190,1,ornamentation,0,13,False
333,55,1/4,121/2,191,3,match,1,13,True
333,55,1/4,121/2,191,1,match,0,13,True
332,57,1/8,483/8,190,1,ornamentation,0,14,True
333,55,1/4,121/2,191,3,match,1,14,False
333,55,1/4,121/2,191,1,match,0,14,False
334,70,1/4,243/4,192,0,ornamentation,0,14,False
335,69,1/4,61,193,0,adaptation,0,14,False
336,67,1/4,245/4,194,1,ornamentation,0,14,False
337,67,1/2,123/2,195,1,repetition,1,14,True
338,70,1/2,123/2,195,0,repetition,0,14,True
