note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
253;49;1/2;99/2;155;2;ficta;1;11;True;[non_monotonic_chords]
254;64;1/2;99/2;155;1;match;0;11;True;[non_monotonic_chords]
255;50;1/4;50;156;2;match;1;11;False;[non_monotonic_chords]
256;57;1/4;50;156;1;match;0;11;False;[non_monotonic_chords]
257;55;1/4;201/4;157;3;ornamentation;0;11;False;[non_monotonic_chords]
258;57;1/4;101/2;158;3;repetition;1;11;False;[non_monotonic_chords]
259;65;1/4;101/2;158;0;repetition;0;11;False;[non_monotonic_chords]
260;59;1/4;203/4;159;1;match;0;11;False;[non_monotonic_chords]
261;48;1/2;51;160;3;match;2;11;True;[non_monotonic_chords]
262;60;1/2;51;160;1;match;1;11;True;[non_monotonic_chords]
263;64;1/2;51;160;0;match;0;11;True;[non_monotonic_chords]
328;60;1/4;239/4;186;2;ornamentation;0;13;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
329;62;1/8;60;187;2;repetition;0;13;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
330;60;1/8;481/8;188;1;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
331;58;1/8;241/4;189;1;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
332;57;1/8;483/8;190;1;ornamentation;0;13;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
333;55;1/4;121/2;191;3;match;1;13;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
333;55;1/4;121/2;191;1;match;0;13;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
