note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
4;57;1/4;1;4;1;match;0;0;True
5;55;1/8;5/4;5;1;ornamentation;0;0;False
6;57;1/8;11/8;6;1;ornamentation;0;0;False
7;58;1/2;3/2;7;1;match;0;0;True
15;62;1/2;7/2;14;1;match;1;1;True
16;70;1/2;7/2;14;0;match;0;1;True
17;60;1/4;4;15;1;match;0;1;False
18;67;1/4;17/4;16;0;adaptation;0;1;False
19;69;1/4;9/2;17;0;match;0;1;False
20;57;1/4;19/4;18;1;ornamentation;0;1;False
21;58;1/4;5;19;1;match;0;1;False
22;62;1/4;21/4;20;0;match;0;1;False
23;74;1/2;11/2;21;0;match;0;1;True
46;50;1/4;12;35;2;match;2;2;True
47;53;1/4;12;35;1;match;1;2;True
48;69;1/4;12;35;0;match;0;2;True
49;67;1/8;49/4;36;0;adaptation;0;2;False
50;69;1/8;99/8;37;0;ornamentation;0;2;False
51;43;1/2;25/2;38;3;match;2;2;True
52;55;1/2;25/2;38;1;match;1;2;True
53;70;1/2;25/2;38;0;match;0;2;True
140;57;1/4;29;89;3;match;3;5;True
141;60;1/4;29;89;2;match;2;5;True
142;64;1/4;29;89;1;match;1;5;True
142;64;1/4;29;89;0;match;0;5;True
143;62;1/8;117/4;90;1;ornamentation;0;5;False
144;64;1/8;235/8;91;1;ornamentation;0;5;False
145;65;1/2;59/2;92;1;match;0;5;True
186;64;1/2;75/2;119;1;match;1;6;True
187;67;1/2;75/2;119;0;match;0;6;True
188;65;1/4;38;120;1;ornamentation;0;6;False
189;62;1/4;153/4;121;1;match;0;6;False
190;62;1/2;77/2;122;1;match;1;6;True
191;62;1/2;77/2;122;0;match;0;6;True
190;62;1/2;77/2;122;1;match;1;7;True
191;62;1/2;77/2;122;0;match;0;7;True
192;64;1/4;39;123;0;match;0;7;False
193;59;1/4;157/4;124;0;ornamentation;0;7;False
194;61;1/4;79/2;125;0;ornamentation;0;7;False
195;59;1/8;159/4;126;0;ornamentation;0;7;True
194;61;1/4;79/2;125;0;ornamentation;0;8;True
195;59;1/8;159/4;126;0;ornamentation;0;8;False
196;61;1/8;319/8;127;0;ornamentation;0;8;False
197;62;1/4;40;128;2;match;1;8;True
198;62;1/4;40;128;0;match;0;8;True
226;62;1/4;45;142;3;match;2;10;True
227;65;1/4;45;142;2;match;1;10;True
228;69;1/4;45;142;0;match;0;10;True
229;67;1/8;181/4;143;1;repetition;0;10;False
230;69;1/8;363/8;144;0;ornamentation;0;10;False
231;70;1/2;91/2;145;0;match;0;10;True
328;60;1/4;239/4;186;2;ornamentation;0;13;True
329;62;1/8;60;187;2;repetition;0;13;False
330;60;1/8;481/8;188;1;ornamentation;0;13;False
331;58;1/8;241/4;189;1;ornamentation;0;13;False
332;57;1/8;483/8;190;1;ornamentation;0;13;False
333;55;1/4;121/2;191;3;match;1;13;True
333;55;1/4;121/2;191;1;match;0;13;True
