output_csv,sequence_length,count,sequence_ids
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,2,3,"1,2,6"
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,4,2,"0,5"
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,6,1,3
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,8,1,4
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,10,1,7
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab.csv,20,1,8
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/fourstep/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab_fourstep.csv,4,2,"0,5"
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/fourstep/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_tab_abtab_non_chord.csv,2,2,"1,6"
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/voices/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_voice-1.csv,2,1,0
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/voices/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_voice-0.csv,2,1,0
output/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1/5189_16_sanctus_and_hosanna_from_missa_faisant_regrets-1_voices_merged.csv,2,2,"0,1"
