note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
19,69,1/2,15/2,13,0,match,0,0,True
20,57,1/4,8,14,2,repetition,2,0,False
21,60,1/4,8,14,1,repetition,1,0,False
22,69,1/4,8,14,0,match,0,0,False
23,62,1/4,33/4,15,1,ornamentation,0,0,False
24,64,1/4,17/2,16,1,ornamentation,0,0,False
25,66,1/4,35/4,17,1,ornamentation,0,0,False
26,55,1/2,9,18,3,match,2,0,True
26,55,1/2,9,18,2,match,1,0,True
27,67,1/2,9,18,1,match,0,0,True
28,70,1/4,19/2,19,0,match,0,1,True
29,65,1/8,39/4,20,1,match,0,1,False
30,64,1/8,79/8,21,1,ornamentation,0,1,False
31,62,1/2,10,22,1,match,0,1,True
40,63,1/2,12,27,2,match,1,2,True
39,60,1/2,12,27,1,match,0,2,True
41,51,1/4,25/2,28,3,match,2,2,False
42,55,1/4,25/2,28,1,match,1,2,False
43,67,1/4,25/2,28,0,repetition,0,2,False
44,57,1/4,51/4,29,1,ornamentation,0,2,False
45,58,1/2,13,30,1,adaptation,0,2,True
70,46,1/2,37/2,43,3,match,1,3,True
71,74,1/2,37/2,43,0,match,0,3,True
72,62,1/4,19,44,0,ornamentation,0,3,False
73,72,1/4,77/4,45,0,match,0,3,False
74,43,1/4,39/2,46,3,match,2,3,False
75,55,1/4,39/2,46,1,match,1,3,False
76,71,1/4,39/2,46,0,ficta,0,3,False
77,69,1/4,79/4,47,0,match,0,3,False
78,43,1/4,20,48,3,match,2,3,False
79,62,1/4,20,48,2,repetition,1,3,False
80,71,1/4,20,48,0,ficta,0,3,False
81,54,1/4,81/4,49,1,ficta,0,3,False
82,55,1/2,41/2,50,1,match,0,3,True
146,58,1/2,67/2,86,3,match,2,4,True
145,55,1/2,67/2,86,1,match,1,4,True
147,74,1/2,67/2,86,0,match,0,4,True
148,62,1/4,34,87,1,ornamentation,0,4,False
149,54,1/4,137/4,88,1,ficta,0,4,False
150,55,1/4,69/2,89,3,match,3,4,False
151,62,1/4,69/2,89,2,repetition,2,4,False
150,55,1/4,69/2,89,1,match,1,4,False
152,70,1/4,69/2,89,0,match,0,4,False
153,57,1/4,139/4,90,1,match,0,4,False
154,58,1/4,35,91,1,match,0,4,False
155,60,1/4,141/4,92,1,match,0,4,False
156,62,1/4,71/2,93,1,match,1,4,False
157,70,1/4,71/2,93,0,repetition,0,4,False
158,58,1/4,143/4,94,1,match,0,4,False
160,64,1/2,36,95,3,adaptation,3,4,True
159,60,1/2,36,95,2,match,2,4,True
159,60,1/2,36,95,1,match,1,4,True
161,67,1/2,36,95,0,adaptation,0,4,True
167,53,1/2,75/2,99,3,match,1,5,True
