output_csv,sequence_length,count,sequence_ids
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab.csv,2,9,"2,4,5,11,12,14,15,16,18"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab.csv,4,7,"0,1,3,10,13,17,21"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab.csv,6,2,"8,19"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab.csv,8,3,"6,7,9"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab.csv,10,1,20
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/fourstep/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab_fourstep.csv,4,3,"1,13,17"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/fourstep/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab_non_chord.csv,2,5,"2,5,11,15,18"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/fourstep/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_abtab_non_chord.csv,4,2,"0,1"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_tab_raw.csv,8,2,"0,1"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/voices/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voice-0.csv,2,1,0
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/voices/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voice-0.csv,8,2,"1,2"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/voices/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voice-1.csv,2,1,0
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/voices/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voice-2.csv,2,2,"0,1"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voices_merged.csv,2,4,"0,3,4,5"
output/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine/5190_17_cum_spiritu_sanctu_from_missa_sine_nomine_voices_merged.csv,8,2,"1,2"
