note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
2,64,1/2,3/2,2,0,match,0,0,True
3,62,1/4,2,3,0,match,0,0,False
4,60,1/4,9/4,4,0,ornamentation,0,0,False
5,62,1/4,5/2,5,0,ornamentation,0,0,False
6,59,1/4,11/4,6,0,ornamentation,0,0,False
7,60,1/2,3,7,1,match,1,0,True
7,60,1/2,3,7,0,match,0,0,True
7,60,1/2,3,7,1,match,1,1,True
7,60,1/2,3,7,0,match,0,1,True
8,60,1/4,7/2,8,0,ornamentation,0,1,False
9,62,1/4,15/4,9,0,match,0,1,False
10,64,1/4,4,10,0,match,0,1,False
11,66,1/4,17/4,11,0,ficta,0,1,False
12,59,1/2,9/2,12,1,match,1,1,True
13,67,1/2,9/2,12,0,match,0,1,True
102,71,1/4,47/2,61,0,match,0,2,True
103,69,1/8,95/4,62,0,adaptation,0,2,False
104,71,1/8,191/8,63,0,ornamentation,0,2,False
105,53,1/2,24,64,3,match,3,2,True
106,57,1/2,24,64,2,match,2,2,True
107,65,1/2,24,64,1,match,1,2,True
108,72,1/2,24,64,0,match,0,2,True
114,50,1/2,26,68,3,repetition,3,3,True
115,62,1/2,26,68,2,repetition,2,3,True
116,65,1/2,26,68,1,match,1,3,True
117,69,1/2,26,68,0,match,0,3,True
118,62,1/4,53/2,69,0,ornamentation,0,3,False
119,71,1/4,107/4,70,0,match,0,3,False
120,57,1/4,27,71,3,match,3,3,False
121,60,1/4,27,71,2,match,2,3,False
122,64,1/4,27,71,1,match,1,3,False
123,72,1/4,27,71,0,match,0,3,False
124,57,1/4,109/4,72,2,ornamentation,0,3,False
125,59,1/2,55/2,73,2,adaptation,0,3,True
129,55,1/2,57/2,76,3,match,2,4,True
130,64,1/2,57/2,76,1,match,1,4,True
131,71,1/2,57/2,76,0,match,0,4,True
132,53,1/4,29,77,3,match,1,4,False
133,69,1/4,29,77,0,match,0,4,False
134,57,1/4,117/4,78,1,ornamentation,0,4,False
135,57,1/2,59/2,79,1,match,0,4,True
136,52,1/4,30,80,3,match,3,5,True
138,64,1/4,30,80,2,match,2,5,True
137,59,1/4,30,80,1,match,1,5,True
139,67,1/4,30,80,0,match,0,5,True
140,57,1/8,121/4,81,1,ornamentation,0,5,False
141,59,1/8,243/8,82,1,ornamentation,0,5,False
142,60,1/2,61/2,83,1,match,0,5,True
142,60,1/2,61/2,83,1,match,0,6,True
143,57,1/4,31,84,3,match,0,6,False
144,59,1/4,125/4,85,1,ornamentation,0,6,False
145,60,1/4,63/2,86,1,repetition,0,6,False
146,62,1/4,127/4,87,1,ornamentation,0,6,False
147,57,1/4,32,88,3,repetition,3,6,False
