note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
102,71,1/4,47/2,61,0,match,0,0,True
103,69,1/8,95/4,62,0,adaptation,0,0,False
104,71,1/8,191/8,63,0,ornamentation,0,0,False
108,72,1/2,24,64,0,match,0,0,True
167,67,1/2,71/2,98,0,match,0,1,True
171,69,1/8,36,99,0,match,0,1,False
172,70,1/8,289/8,100,0,ornamentation,0,1,False
173,69,1/8,145/4,101,0,repetition,0,1,False
174,70,1/8,291/8,102,0,ornamentation,0,1,False
175,69,1/8,73/2,103,0,adaptation,0,1,False
176,67,1/8,293/8,104,0,ornamentation,0,1,False
177,65,1/8,147/4,105,0,repetition,0,1,False
178,64,1/8,295/8,106,0,ornamentation,0,1,False
181,62,1/2,37,107,0,match,0,1,True
203,65,1/2,83/2,121,0,match,0,2,True
206,67,1/8,42,122,0,match,0,2,False
207,69,1/8,337/8,123,0,ornamentation,0,2,False
208,67,1/8,169/4,124,0,repetition,0,2,False
209,65,1/8,339/8,125,0,ornamentation,0,2,False
210,64,1/8,85/2,126,0,match,0,2,False
211,65,1/8,341/8,127,0,ornamentation,0,2,False
212,64,1/8,171/4,128,0,repetition,0,2,False
213,62,1/8,343/8,129,0,ornamentation,0,2,False
216,60,1/2,43,130,0,match,0,2,True
