output_csv,sequence_length,count,sequence_ids
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,1,1,17
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,2,21,"1,4,5,18,22,23,24,26,27,28,31,32,33,34,35,36,38,40,44,47,50"
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,3,1,42
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,4,10,"2,6,9,12,19,20,29,30,45,48"
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,5,2,"25,39"
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,6,11,"7,10,13,15,16,21,37,41,43,46,49"
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,8,3,"8,11,14"
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,10,1,0
output/5191_18_mille_regres/5191_18_mille_regres_tab_abtab.csv,14,1,3
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_abtab_fourstep.csv,4,7,"2,6,19,20,30,45,48"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_abtab_non_chord.csv,1,1,17
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_abtab_non_chord.csv,2,12,"1,18,22,23,26,27,33,34,35,36,38,40"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_abtab_non_chord.csv,4,3,"20,45,48"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_abtab_non_chord.csv,6,10,"7,10,13,15,16,21,37,43,46,49"
output/5191_18_mille_regres/5191_18_mille_regres_tab_raw.csv,4,5,"1,2,11,15,17"
output/5191_18_mille_regres/5191_18_mille_regres_tab_raw.csv,6,10,"3,5,7,9,10,12,13,14,16,18"
output/5191_18_mille_regres/5191_18_mille_regres_tab_raw.csv,8,3,"4,6,8"
output/5191_18_mille_regres/5191_18_mille_regres_tab_raw.csv,10,1,0
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_raw_fourstep.csv,4,5,"1,2,11,15,17"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_raw_non_chord.csv,4,3,"11,15,17"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_tab_raw_non_chord.csv,6,10,"3,5,7,9,10,12,13,14,16,18"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-3.csv,4,2,"0,1"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-3_fourstep.csv,4,2,"0,1"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,2,4,"4,6,7,8"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,3,1,3
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,4,1,5
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,5,1,2
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,6,1,1
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1.csv,8,1,0
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-1_fourstep.csv,4,1,5
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-0.csv,2,1,5
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-0.csv,6,5,"1,3,4,6,7"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-0.csv,7,1,0
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-0.csv,8,1,2
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2.csv,2,1,4
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2.csv,3,2,"2,3"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2.csv,4,3,"0,7,8"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2.csv,6,2,"5,6"
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2.csv,7,1,1
output/5191_18_mille_regres/voices/5191_18_mille_regres_voice-2_fourstep.csv,4,3,"0,7,8"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,2,6,"6,8,9,10,16,23"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,3,3,"5,21,22"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,4,6,"0,1,7,19,26,27"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,5,1,4
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,6,8,"3,12,14,15,17,18,24,25"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,7,2,"11,20"
output/5191_18_mille_regres/5191_18_mille_regres_voices_merged.csv,8,2,"2,13"
output/5191_18_mille_regres/fourstep/5191_18_mille_regres_voices_merged_fourstep.csv,4,6,"0,1,7,19,26,27"
