note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
6,53,1/4,2,2,3,match,2,0,True
7,60,1/4,2,2,1,match,1,0,True
8,69,1/4,2,2,0,match,0,0,True
9,62,1/8,9/4,3,1,ornamentation,0,0,False
10,64,1/8,19/8,4,1,ornamentation,0,0,False
11,65,1/8,5/2,5,1,ornamentation,0,0,False
12,67,1/8,21/8,6,1,ornamentation,0,0,False
13,65,1/8,11/4,7,1,ornamentation,0,0,False
14,64,1/8,23/8,8,1,ornamentation,0,0,False
15,50,1/8,3,9,3,match,2,0,False
16,65,1/8,3,9,1,match,1,0,False
17,69,1/8,3,9,0,match,0,0,False
18,52,1/8,25/8,10,3,ornamentation,0,0,False
19,53,1/8,13/4,11,3,ornamentation,0,0,False
20,55,1/8,27/8,12,3,ornamentation,0,0,False
21,57,1/4,7/2,13,3,ornamentation,0,0,True
20,55,1/8,27/8,12,3,ornamentation,0,1,True
21,57,1/4,7/2,13,3,ornamentation,0,1,False
22,50,1/4,15/4,14,3,ornamentation,0,1,False
23,52,1/8,4,15,3,match,3,1,True
23,52,1/8,4,15,2,match,2,1,True
24,64,1/8,4,15,1,match,1,1,True
25,67,1/8,4,15,0,match,0,1,True
22,50,1/4,15/4,14,3,ornamentation,0,2,True
23,52,1/8,4,15,3,match,3,2,False
23,52,1/8,4,15,2,match,2,2,False
24,64,1/8,4,15,1,match,1,2,False
25,67,1/8,4,15,0,match,0,2,False
26,54,1/8,33/8,16,3,ornamentation,0,2,False
27,55,1/8,17/4,17,3,ornamentation,0,2,False
28,57,1/8,35/8,18,3,ornamentation,0,2,False
29,59,1/4,9/2,19,3,ornamentation,0,2,True
28,57,1/8,35/8,18,3,ornamentation,0,3,True
29,59,1/4,9/2,19,3,ornamentation,0,3,False
30,52,1/4,19/4,20,3,ornamentation,0,3,False
31,52,1/4,5,21,3,repetition,1,3,False
32,67,1/4,5,21,0,repetition,0,3,False
33,55,1/4,21/4,22,3,ornamentation,0,3,False
34,50,1/4,11/2,23,3,match,1,3,False
35,65,1/4,11/2,23,0,match,0,3,False
36,48,1/4,23/4,24,3,match,1,3,False
37,64,1/4,23/4,24,0,match,0,3,False
38,47,1/4,6,25,3,match,1,3,False
39,62,1/4,6,25,0,match,0,3,False
40,56,1/4,25/4,26,2,ornamentation,0,3,False
41,57,1/4,13/2,27,2,adaptation,1,3,False
42,60,1/4,13/2,27,0,adaptation,0,3,False
43,45,1/4,27/4,28,3,match,0,3,False
44,47,1/4,7,29,3,match,1,3,False
45,62,1/4,7,29,0,match,0,3,False
46,56,1/4,29/4,30,2,ornamentation,0,3,False
47,57,1/4,15/2,31,2,ornamentation,0,3,False
48,56,1/4,31/4,32,2,ornamentation,0,3,False
49,45,1/2,8,33,3,match,2,3,True
50,57,1/2,8,33,2,match,1,3,True
51,60,1/2,8,33,0,match,0,3,True
54,45,1/2,9,35,3,repetition,2,4,True
55,64,1/2,9,35,1,match,1,4,True
56,72,1/2,9,35,0,match,0,4,True
57,57,1/4,19/2,36,2,match,2,4,False
58,64,1/4,19/2,36,1,match,1,4,False
59,72,1/4,19/2,36,0,match,0,4,False
60,66,1/4,39/4,37,1,ornamentation,0,4,False
61,55,1/2,10,38,2,match,2,4,True
62,67,1/2,10,38,1,match,1,4,True
63,71,1/2,10,38,0,match,0,4,True
61,55,1/2,10,38,2,match,2,5,True
62,67,1/2,10,38,1,match,1,5,True
63,71,1/2,10,38,0,match,0,5,True
64,52,1/4,21/2,39,2,match,1,5,False
65,71,1/4,21/2,39,0,match,0,5,False
66,72,1/4,43/4,40,0,ornamentation,0,5,False
67,53,1/2,11,41,2,match,2,5,True
68,65,1/2,11,41,1,match,1,5,True
69,69,1/2,11,41,0,match,0,5,True
67,53,1/2,11,41,2,match,2,6,True
68,65,1/2,11,41,1,match,1,6,True
69,69,1/2,11,41,0,match,0,6,True
