note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
69,69,1/2,11,41,0,match,0,11,True,0
71,69,1/8,23/2,42,0,repetition,0,11,False,0
78,72,1/8,49/4,47,0,ornamentation,0,11,False,0
79,71,1/8,99/8,48,0,ornamentation,0,11,False,0
80,69,1/8,25/2,49,0,ornamentation,0,11,False,0
81,67,1/8,101/8,50,0,ornamentation,0,11,False,0
82,69,1/8,51/4,51,0,ornamentation,0,11,False,0
83,71,1/8,103/8,52,0,ornamentation,0,11,False,0
86,72,1/2,13,53,0,match,0,11,True,0
114,68,1/2,35/2,70,0,adaptation,0,12,True,1
117,72,1/8,73/4,72,0,ornamentation,0,12,False,1
118,71,1/8,147/8,73,0,ornamentation,0,12,False,1
119,69,1/8,37/2,74,0,ornamentation,0,12,False,1
120,67,1/8,149/8,75,0,ornamentation,0,12,False,1
121,69,1/8,75/4,76,0,ornamentation,0,12,False,1
122,71,1/8,151/8,77,0,ornamentation,0,12,False,1
125,72,1/2,19,78,0,match,0,12,True,1
128,72,1/2,39/2,79,0,repetition,0,13,True,2
131,71,1/8,20,80,0,match,0,13,False,2
132,72,1/8,161/8,81,0,ornamentation,0,13,False,2
133,71,1/8,81/4,82,0,ornamentation,0,13,False,2
134,72,1/8,163/8,83,0,ornamentation,0,13,False,2
135,71,1/8,41/2,84,0,ornamentation,0,13,False,2
136,69,1/8,165/8,85,0,ornamentation,0,13,False,2
137,67,1/8,83/4,86,0,ornamentation,0,13,False,2
138,65,1/8,167/8,87,0,ornamentation,0,13,False,2
141,64,1/2,21,88,0,adaptation,0,13,True,2
181,65,1/4,27,113,0,match,0,14,True,3
182,62,1/8,109/4,114,0,ornamentation,0,14,False,3
183,64,1/8,219/8,115,0,ornamentation,0,14,False,3
184,65,1/8,55/2,116,0,ornamentation,0,14,False,3
185,64,1/8,221/8,117,0,ornamentation,0,14,False,3
186,65,1/8,111/4,118,0,ornamentation,0,14,False,3
187,67,1/8,223/8,119,0,ornamentation,0,14,False,3
190,64,1/2,28,120,0,match,0,14,True,3
242,71,1,36,149,0,match,0,15,True,4
245,72,1/8,149/4,151,0,ornamentation,0,15,False,4
246,74,1/8,299/8,152,0,ornamentation,0,15,False,4
247,76,1/8,75/2,153,0,repetition,0,15,False,4
248,74,1/8,301/8,154,0,ornamentation,0,15,False,4
249,76,1/8,151/4,155,0,ornamentation,0,15,False,4
250,72,1/8,303/8,156,0,ornamentation,0,15,False,4
251,74,1/4,38,157,0,match,0,15,True,4
376,72,1/4,62,234,0,match,0,16,True,5
377,71,1/8,249/4,235,0,ornamentation,0,16,False,5
378,69,1/8,499/8,236,0,ornamentation,0,16,False,5
379,72,1/4,125/2,237,0,ornamentation,0,16,True,5
428,65,1/4,69,263,0,match,0,17,True,6
429,62,1/8,277/4,264,0,ornamentation,0,17,False,6
430,64,1/8,555/8,265,0,ornamentation,0,17,False,6
431,65,1/8,139/2,266,0,ornamentation,0,17,False,6
432,64,1/8,557/8,267,0,ornamentation,0,17,False,6
433,65,1/8,279/4,268,0,repetition,0,17,False,6
434,67,1/8,559/8,269,0,ornamentation,0,17,False,6
437,64,1/2,70,270,0,match,0,17,True,6
461,65,1/4,73,280,0,match,0,18,True,7
462,62,1/8,293/4,281,0,ornamentation,0,18,False,7
463,64,1/8,587/8,282,0,ornamentation,0,18,False,7
464,65,1/8,147/2,283,0,ornamentation,0,18,False,7
465,64,1/8,589/8,284,0,ornamentation,0,18,False,7
466,65,1/8,295/4,285,0,repetition,0,18,False,7
467,67,1/8,591/8,286,0,ornamentation,0,18,False,7
470,64,1/2,74,287,0,match,0,18,True,7
7,60,1/4,2,2,1,match,1,2,True,0
9,62,1/8,9/4,3,1,ornamentation,0,2,False,0
10,64,1/8,19/8,4,1,ornamentation,0,2,False,0
11,65,1/8,5/2,5,1,ornamentation,0,2,False,0
12,67,1/8,21/8,6,1,ornamentation,0,2,False,0
13,65,1/8,11/4,7,1,ornamentation,0,2,False,0
14,64,1/8,23/8,8,1,ornamentation,0,2,False,0
16,65,1/8,3,9,1,match,1,2,False,0
24,64,1/8,4,15,1,match,1,2,False,0
52,64,1/2,17/2,34,1,match,1,2,True,0
155,65,1/4,24,96,1,match,1,3,True,1
157,62,1/8,97/4,97,1,ornamentation,0,3,False,1
158,64,1/8,195/8,98,1,ornamentation,0,3,False,1
159,65,1/8,49/2,99,1,repetition,0,3,False,1
160,64,1/8,197/8,100,1,ornamentation,0,3,False,1
161,65,1/8,99/4,101,1,ornamentation,0,3,False,1
162,67,1/8,199/8,102,1,ornamentation,0,3,False,1
164,65,1/2,25,103,1,repetition,1,3,True,1
167,65,1/2,51/2,104,1,match,1,4,True,2
170,64,1/8,26,105,1,match,1,4,False,2
172,65,1/8,209/8,106,1,ornamentation,0,4,False,2
173,64,1/8,105/4,107,1,ornamentation,0,4,False,2
174,65,1/8,211/8,108,1,ornamentation,0,4,False,2
175,64,1/8,53/2,109,1,match,0,4,False,2
189,60,1/2,28,120,1,match,1,4,True,2
193,60,1/4,29,122,1,match,0,5,True,3
195,57,1/8,117/4,123,1,ornamentation,0,5,False,3
196,59,1/8,235/8,124,1,ornamentation,0,5,False,3
197,60,1/8,59/2,125,1,match,0,5,False,3
202,59,1/2,30,129,1,match,0,5,True,3
217,59,1/4,33,136,1,repetition,1,6,True,4
219,64,1/8,133/4,137,1,ornamentation,0,6,False,4
220,66,1/8,267/8,138,1,ornamentation,0,6,False,4
221,67,1/4,67/2,139,1,ornamentation,0,6,True,4
226,65,1/4,137/4,142,1,ornamentation,0,7,True,5
227,64,1/8,69/2,143,1,ornamentation,0,7,False,5
228,65,1/8,277/8,144,1,ornamentation,0,7,False,5
229,64,1/8,139/4,145,1,ornamentation,0,7,False,5
230,62,1/8,279/8,146,1,ornamentation,0,7,False,5
233,64,1/2,35,147,1,match,1,7,True,5
244,64,1/4,37,150,1,repetition,0,8,True,6
252,62,1/8,153/4,158,1,ornamentation,0,8,False,6
253,64,1/8,307/8,159,1,ornamentation,0,8,False,6
254,65,1/4,77/2,160,1,ornamentation,0,8,True,6
328,65,1/4,53,202,1,repetition,1,9,True,7
330,72,1/8,213/4,203,1,ornamentation,0,9,False,7
331,71,1/8,427/8,204,1,ornamentation,0,9,False,7
332,69,1/4,107/2,205,1,adaptation,0,9,True,7
338,69,1/4,55,209,1,match,1,10,True,8
340,67,1/8,221/4,210,1,ornamentation,0,10,False,8
341,65,1/8,443/8,211,1,ornamentation,0,10,False,8
342,64,1/4,111/2,212,1,adaptation,0,10,True,8
67,53,1/2,11,41,2,match,2,19,True,0
70,50,1/8,23/2,42,2,match,1,19,False,0
72,52,1/8,93/8,43,2,ornamentation,0,19,False,0
73,53,1/8,47/4,44,2,ornamentation,0,19,False,0
74,55,1/8,95/8,45,2,ornamentation,0,19,False,0
75,57,1/4,12,46,2,match,1,19,True,0
87,57,1/2,27/2,54,2,repetition,1,20,True,1
93,72,1/8,113/8,56,2,ornamentation,0,20,False,1
94,71,1/8,57/4,57,2,ornamentation,0,20,False,1
95,72,1/8,115/8,58,2,ornamentation,0,20,False,1
96,71,1/8,29/2,59,2,ornamentation,0,20,False,1
97,69,1/8,117/8,60,2,ornamentation,0,20,False,1
98,67,1/8,59/4,61,2,ornamentation,0,20,False,1
99,65,1/8,119/8,62,2,ornamentation,0,20,False,1
102,64,1/2,15,63,2,adaptation,1,20,True,1
143,52,1/4,22,90,2,match,1,21,True,2
176,62,1/8,213/8,110,2,ornamentation,0,21,False,2
177,60,1/8,107/4,111,2,ornamentation,0,21,False,2
178,59,1/8,215/8,112,2,ornamentation,0,21,False,2
180,57,1/4,27,113,2,adaptation,1,21,True,2
194,64,1/4,29,122,2,match,1,22,True,3
198,59,1/8,237/8,126,2,ornamentation,0,22,False,3
199,60,1/8,119/4,127,2,ornamentation,0,22,False,3
200,62,1/8,239/8,128,2,ornamentation,0,22,False,3
203,64,1/2,30,129,2,match,1,22,True,3
272,62,1/4,42,171,2,match,2,23,True,4
274,60,1/8,169/4,172,2,ornamentation,0,23,False,4
275,59,1/8,339/8,173,2,ornamentation,0,23,False,4
276,62,1/4,85/2,174,2,ornamentation,0,23,True,4
337,57,1/4,55,209,2,repetition,2,24,True,5
350,62,1/8,229/4,217,2,ornamentation,0,24,False,5
351,64,1/8,459/8,218,2,ornamentation,0,24,False,5
352,65,1/8,115/2,219,2,ornamentation,0,24,False,5
353,64,1/8,461/8,220,2,ornamentation,0,24,False,5
354,62,1/8,231/4,221,2,ornamentation,0,24,False,5
355,60,1/8,463/8,222,2,ornamentation,0,24,False,5
357,59,1/2,58,223,2,match,1,24,True,5
394,53,1/4,65,246,2,match,2,25,True,6
397,50,1/8,261/4,247,2,ornamentation,0,25,False,6
398,52,1/8,523/8,248,2,ornamentation,0,25,False,6
399,53,1/8,131/2,249,2,repetition,0,25,False,6
400,52,1/8,525/8,250,2,ornamentation,0,25,False,6
401,53,1/8,263/4,251,2,ornamentation,0,25,False,6
402,55,1/8,527/8,252,2,ornamentation,0,25,False,6
403,57,1/2,66,253,2,match,1,25,True,6
421,62,1/4,273/4,258,2,ornamentation,0,26,True,7
422,64,1/8,137/2,259,2,ornamentation,0,26,False,7
423,62,1/8,549/8,260,2,ornamentation,0,26,False,7
424,60,1/8,275/4,261,2,ornamentation,0,26,False,7
425,59,1/8,551/8,262,2,ornamentation,0,26,False,7
427,57,1/4,69,263,2,match,1,26,True,7
454,62,1/4,289/4,275,2,ornamentation,0,27,True,8
455,64,1/8,145/2,276,2,ornamentation,0,27,False,8
456,62,1/8,581/8,277,2,ornamentation,0,27,False,8
457,60,1/8,291/4,278,2,ornamentation,0,27,False,8
458,59,1/8,583/8,279,2,ornamentation,0,27,False,8
460,57,1/4,73,280,2,match,1,27,True,8
6,53,1/4,2,2,3,match,2,0,True,0
15,50,1/8,3,9,3,match,2,0,False,0
18,52,1/8,25/8,10,3,ornamentation,0,0,False,0
19,53,1/8,13/4,11,3,ornamentation,0,0,False,0
20,55,1/8,27/8,12,3,ornamentation,0,0,False,0
21,57,1/4,7/2,13,3,ornamentation,0,0,True,0
22,50,1/4,15/4,14,3,ornamentation,0,1,True,1
23,52,1/8,4,15,3,match,3,1,False,1
26,54,1/8,33/8,16,3,ornamentation,0,1,False,1
27,55,1/8,17/4,17,3,ornamentation,0,1,False,1
28,57,1/8,35/8,18,3,ornamentation,0,1,False,1
29,59,1/4,9/2,19,3,ornamentation,0,1,True,1
