note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
22;50;1/4;15/4;14;3;ornamentation;0;2;True;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
23;52;1/8;4;15;3;match;3;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
23;52;1/8;4;15;2;match;2;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
24;64;1/8;4;15;1;match;1;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
25;67;1/8;4;15;0;match;0;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
26;54;1/8;33/8;16;3;ornamentation;0;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
27;55;1/8;17/4;17;3;ornamentation;0;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
28;57;1/8;35/8;18;3;ornamentation;0;2;False;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
29;59;1/4;9/2;19;3;ornamentation;0;2;True;[monotonic_perfect_fifth_3_0_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_0_chords]
67;53;1/2;11;41;2;match;2;6;True;[monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_0_chords]
68;65;1/2;11;41;1;match;1;6;True;[monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_0_chords]
69;69;1/2;11;41;0;match;0;6;True;[monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_0_chords]
70;50;1/8;23/2;42;2;match;1;6;False;[monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_0_chords]
71;69;1/8;23/2;42;0;repetition;0;6;False;[monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_0_chords]
