note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
20;55;1/8;27/8;12;3;ornamentation;0;1;True
21;57;1/4;7/2;13;3;ornamentation;0;1;False
22;50;1/4;15/4;14;3;ornamentation;0;1;False
23;52;1/8;4;15;3;match;3;1;True
23;52;1/8;4;15;2;match;2;1;True
24;64;1/8;4;15;1;match;1;1;True
25;67;1/8;4;15;0;match;0;1;True
76;60;1/4;12;46;3;match;2;7;True
75;57;1/4;12;46;2;match;1;7;True
77;64;1/4;12;46;1;match;0;7;True
78;72;1/8;49/4;47;0;ornamentation;0;7;False
79;71;1/8;99/8;48;0;ornamentation;0;7;False
80;69;1/8;25/2;49;0;ornamentation;0;7;False
81;67;1/8;101/8;50;0;ornamentation;0;7;False
82;69;1/8;51/4;51;0;ornamentation;0;7;False
83;71;1/8;103/8;52;0;ornamentation;0;7;False
84;57;1/2;13;53;2;repetition;2;7;True
85;64;1/2;13;53;1;match;1;7;True
86;72;1/2;13;53;0;match;0;7;True
115;60;1/4;18;71;2;match;1;10;True
116;64;1/4;18;71;1;match;0;10;True
117;72;1/8;73/4;72;0;ornamentation;0;10;False
118;71;1/8;147/8;73;0;ornamentation;0;10;False
119;69;1/8;37/2;74;0;ornamentation;0;10;False
120;67;1/8;149/8;75;0;ornamentation;0;10;False
121;69;1/8;75/4;76;0;ornamentation;0;10;False
122;71;1/8;151/8;77;0;ornamentation;0;10;False
123;60;1/2;19;78;2;repetition;2;10;True
124;64;1/2;19;78;1;repetition;1;10;True
125;72;1/2;19;78;0;match;0;10;True
154;53;1/4;24;96;3;match;2;13;True
155;65;1/4;24;96;1;match;1;13;True
156;69;1/4;24;96;0;match;0;13;True
157;62;1/8;97/4;97;1;ornamentation;0;13;False
158;64;1/8;195/8;98;1;ornamentation;0;13;False
159;65;1/8;49/2;99;1;repetition;0;13;False
160;64;1/8;197/8;100;1;ornamentation;0;13;False
161;65;1/8;99/4;101;1;ornamentation;0;13;False
162;67;1/8;199/8;102;1;ornamentation;0;13;False
163;53;1/2;25;103;3;repetition;2;13;True
164;65;1/2;25;103;1;repetition;1;13;True
165;69;1/2;25;103;0;match;0;13;True
179;50;1/4;27;113;3;match;2;15;True
180;57;1/4;27;113;2;adaptation;1;15;True
181;65;1/4;27;113;0;match;0;15;True
182;62;1/8;109/4;114;0;ornamentation;0;15;False
183;64;1/8;219/8;115;0;ornamentation;0;15;False
184;65;1/8;55/2;116;0;ornamentation;0;15;False
185;64;1/8;221/8;117;0;ornamentation;0;15;False
186;65;1/8;111/4;118;0;ornamentation;0;15;False
187;67;1/8;223/8;119;0;ornamentation;0;15;False
188;45;1/2;28;120;3;match;2;15;True
189;60;1/2;28;120;1;match;1;15;True
190;64;1/2;28;120;0;match;0;15;True
192;57;1/4;29;122;3;match;2;16;True
194;64;1/4;29;122;2;match;1;16;True
193;60;1/4;29;122;1;match;0;16;True
195;57;1/8;117/4;123;1;ornamentation;0;16;False
196;59;1/8;235/8;124;1;ornamentation;0;16;False
197;60;1/8;59/2;125;1;match;0;16;False
198;59;1/8;237/8;126;2;ornamentation;0;16;False
199;60;1/8;119/4;127;2;ornamentation;0;16;False
200;62;1/8;239/8;128;2;ornamentation;0;16;False
201;55;1/2;30;129;3;match;2;16;True
203;64;1/2;30;129;2;match;1;16;True
202;59;1/2;30;129;1;match;0;16;True
