note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
4,67,3/16,1,3,0,match,0,0,True,0
5,65,1/16,19/16,4,0,ornamentation,0,0,False,0
6,64,1/16,5/4,5,0,ornamentation,0,0,False,0
7,65,1/16,21/16,6,0,ornamentation,0,0,False,0
8,67,1/16,11/8,7,0,ornamentation,0,0,False,0
9,69,1/16,23/16,8,0,ornamentation,0,0,False,0
12,70,1/8,3/2,9,0,match,0,0,True,0
9,69,1/16,23/16,8,0,ornamentation,0,1,True,1
12,70,1/8,3/2,9,0,match,0,1,False,1
13,69,1/8,13/8,10,0,ornamentation,0,1,False,1
14,67,1/8,7/4,11,0,ornamentation,0,1,False,1
15,69,1/8,15/8,12,0,ornamentation,0,1,False,1
18,70,1/8,2,13,0,repetition,0,1,False,1
27,69,1/8,5/2,20,0,match,0,1,False,1
70,64,1/16,45/8,52,0,ornamentation,0,1,True,1
27,69,1/8,5/2,20,0,match,0,2,True,2
70,64,1/16,45/8,52,0,ornamentation,0,2,False,2
71,65,1/16,91/16,53,0,ornamentation,0,2,False,2
72,67,1/16,23/4,54,0,ornamentation,0,2,False,2
73,69,1/16,93/16,55,0,ornamentation,0,2,False,2
74,70,1/16,47/8,56,0,ornamentation,0,2,False,2
75,72,1/16,95/16,57,0,ornamentation,0,2,False,2
78,74,1/2,6,58,0,match,0,2,True,2
78,74,1/2,6,58,0,match,0,3,True,3
81,74,1/8,13/2,59,0,repetition,0,3,False,3
82,72,1/8,53/8,60,0,ornamentation,0,3,False,3
83,74,1/8,27/4,61,0,ornamentation,0,3,False,3
84,76,1/8,55/8,62,0,ornamentation,0,3,False,3
87,74,3/16,7,63,0,match,0,3,True,3
87,74,3/16,7,63,0,match,0,4,True,4
95,74,1/8,15/2,69,0,match,0,4,False,4
96,76,1/8,61/8,70,0,ornamentation,0,4,False,4
97,77,1/8,31/4,71,0,ornamentation,0,4,False,4
98,76,1/8,63/8,72,0,ornamentation,0,4,False,4
101,74,3/16,8,73,0,repetition,0,4,True,4
177,69,1/4,27/2,123,0,match,0,5,True,5
179,64,1/16,221/16,125,0,ornamentation,0,5,False,5
180,65,1/16,111/8,126,0,ornamentation,0,5,False,5
181,67,1/16,223/16,127,0,ornamentation,0,5,False,5
185,69,1/8,14,128,0,repetition,0,5,True,5
185,69,1/8,14,128,0,repetition,0,6,True,6
186,67,1/16,113/8,129,0,ornamentation,0,6,False,6
187,69,1/16,227/16,130,0,ornamentation,0,6,False,6
189,70,1/8,57/4,131,0,match,0,6,True,6
189,70,1/8,57/4,131,0,match,0,7,True,7
190,69,1/16,115/8,132,0,ornamentation,0,7,False,7
191,70,1/16,231/16,133,0,ornamentation,0,7,False,7
196,72,3/16,29/2,134,0,match,0,7,True,7
244,67,1/8,18,167,0,match,0,8,True,8
249,67,1/16,293/16,171,0,ornamentation,0,8,False,8
250,69,1/32,147/8,172,0,adaptation,0,8,True,8
263,65,1/4,77/4,181,0,match,0,9,True,9
265,67,1/8,39/2,182,0,match,0,9,False,9
266,69,1/8,157/8,183,0,ornamentation,0,9,False,9
269,70,1/4,79/4,184,0,match,0,9,True,9
269,70,1/4,79/4,184,0,match,0,10,True,10
271,70,1/8,161/8,186,0,ornamentation,0,10,False,10
274,69,1/8,81/4,187,0,match,0,10,False,10
276,67,1/8,163/8,188,0,match,0,10,False,10
279,69,3/16,41/2,189,0,match,0,10,True,10
340,65,1/8,49/2,228,0,match,0,11,True,11
341,62,1/16,197/8,229,0,ornamentation,0,11,False,11
342,64,1/16,395/16,230,0,ornamentation,0,11,False,11
343,65,1/16,99/4,231,0,ornamentation,0,11,False,11
344,62,1/16,397/16,232,0,ornamentation,0,11,False,11
345,64,1/16,199/8,233,0,ornamentation,0,11,False,11
346,65,1/16,399/16,234,0,ornamentation,0,11,False,11
351,67,1/4,25,235,0,match,0,11,True,11
386,67,3/16,55/2,250,0,match,0,12,True,12
387,65,1/16,443/16,251,0,ornamentation,0,12,False,12
388,64,1/16,111/4,252,0,ornamentation,0,12,False,12
389,65,1/16,445/16,253,0,ornamentation,0,12,False,12
390,67,1/16,223/8,254,0,ornamentation,0,12,False,12
391,69,1/16,447/16,255,0,ornamentation,0,12,False,12
395,70,1/4,28,256,0,match,0,12,True,12
405,69,1/8,29,260,0,match,0,13,True,13
406,67,1/16,233/8,261,0,ornamentation,0,13,False,13
407,69,1/16,467/16,262,0,ornamentation,0,13,False,13
410,67,1/8,117/4,263,0,match,0,13,True,13
410,67,1/8,117/4,263,0,match,0,14,True,14
411,65,1/16,235/8,264,0,ornamentation,0,14,False,14
412,67,1/16,471/16,265,0,ornamentation,0,14,False,14
415,69,1/8,59/2,266,0,match,0,14,True,14
415,69,1/8,59/2,266,0,match,0,15,True,15
416,67,1/16,237/8,267,0,ornamentation,0,15,False,15
417,69,1/16,475/16,268,0,ornamentation,0,15,False,15
419,70,1/8,119/4,269,0,match,0,15,True,15
419,70,1/8,119/4,269,0,match,0,16,True,16
420,67,1/16,239/8,270,0,ornamentation,0,16,False,16
421,69,1/16,479/16,271,0,ornamentation,0,16,False,16
424,70,1/8,30,272,0,repetition,0,16,True,16
442,65,3/16,31,282,0,match,0,17,True,17
443,64,1/16,499/16,283,0,ornamentation,0,17,False,17
444,62,1/16,125/4,284,0,ornamentation,0,17,False,17
445,64,1/16,501/16,285,0,ornamentation,0,17,False,17
446,65,1/16,251/8,286,0,ornamentation,0,17,False,17
447,67,1/16,503/16,287,0,ornamentation,0,17,False,17
451,65,1/8,63/2,288,0,repetition,0,17,True,17
569,69,1/8,77/2,354,0,match,0,18,True,18
570,67,1/16,309/8,355,0,ornamentation,0,18,False,18
571,69,1/16,619/16,356,0,ornamentation,0,18,False,18
572,70,1/16,155/4,357,0,ornamentation,0,18,False,18
573,69,1/16,621/16,358,0,ornamentation,0,18,False,18
574,70,1/32,311/8,359,0,ornamentation,0,18,True,18
573,69,1/16,621/16,358,0,ornamentation,0,19,True,19
574,70,1/32,311/8,359,0,ornamentation,0,19,False,19
575,69,1/32,1245/32,360,0,ornamentation,0,19,False,19
576,67,1/32,623/16,361,0,ornamentation,0,19,False,19
577,69,1/32,1247/32,362,0,ornamentation,0,19,False,19
