note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
46;57;1/16;63/16;36;4;ornamentation;0;1;True;[non_monotonic]
48;55;1/8;4;37;4;match;1;1;False;[non_monotonic]
50;54;1/8;33/8;38;4;ornamentation;0;1;False;[non_monotonic]
51;55;1/8;17/4;39;4;ornamentation;0;1;False;[non_monotonic]
52;57;1/8;35/8;40;4;ornamentation;0;1;False;[non_monotonic]
54;58;3/16;9/2;41;4;match;1;1;True;[non_monotonic]
449;57;1/8;63/2;288;4;match;2;7;True;[non_monotonic]
452;57;1/16;253/8;289;4;ornamentation;0;7;False;[non_monotonic]
453;58;1/16;507/16;290;4;ornamentation;0;7;False;[non_monotonic]
454;60;1/16;127/4;291;4;ornamentation;0;7;False;[non_monotonic]
455;58;1/16;509/16;292;4;ornamentation;0;7;False;[non_monotonic]
456;60;1/32;255/8;293;4;ornamentation;0;7;True;[non_monotonic]
478;57;1/16;541/16;306;4;ornamentation;0;10;True;[non_monotonic]
479;58;1/32;271/8;307;4;ornamentation;0;10;False;[non_monotonic]
480;57;1/32;1085/32;308;4;ornamentation;0;10;False;[non_monotonic]
481;58;1/32;543/16;309;4;ornamentation;0;10;False;[non_monotonic]
482;60;1/32;1087/32;310;4;ornamentation;0;10;False;[non_monotonic]
484;58;1/8;34;311;4;repetition;1;10;True;[non_monotonic]
1251;55;1/8;169/2;752;4;match;1;20;True;[non_monotonic]
1252;53;1/16;677/8;753;4;ornamentation;0;20;False;[non_monotonic]
1253;55;1/16;1355/16;754;4;ornamentation;0;20;False;[non_monotonic]
1254;57;1/16;339/4;755;4;ornamentation;0;20;False;[non_monotonic]
1255;55;1/16;1357/16;756;4;ornamentation;0;20;False;[non_monotonic]
1256;57;1/32;679/8;757;4;ornamentation;0;20;True;[non_monotonic]
1255;55;1/16;1357/16;756;4;ornamentation;0;21;True;[non_monotonic]
1256;57;1/32;679/8;757;4;ornamentation;0;21;False;[non_monotonic]
1257;55;1/32;2717/32;758;4;ornamentation;0;21;False;[non_monotonic]
1258;53;1/32;1359/16;759;4;ornamentation;0;21;False;[non_monotonic]
1259;55;1/32;2719/32;760;4;ornamentation;0;21;False;[non_monotonic]
1262;57;1/8;85;761;4;match;1;21;True;[non_monotonic]
