output_csv,sequence_length,count,sequence_ids
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,1,3,"18,24,44"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,2,36,"2,20,26,40,42,49,51,53,55,56,57,61,62,66,70,73,75,78,79,85,86,90,91,93,94,97,108,109,110,113,114,115,116,117,120,123"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,3,4,"39,67,101,124"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,4,28,"3,4,6,9,10,29,31,36,37,47,48,52,63,64,68,71,72,76,80,100,102,103,106,107,126,128,129,130"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,5,25,"1,5,8,14,16,19,22,25,27,34,46,54,58,69,77,81,83,89,95,99,104,111,119,121,132"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,6,32,"7,11,12,13,15,17,21,23,32,35,38,41,43,45,50,59,60,65,82,84,87,88,96,98,105,112,118,122,125,127,131,133"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,7,1,30
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,8,4,"0,33,74,92"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_abtab.csv,13,1,28
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_fourstep.csv,4,22,"3,4,6,10,29,31,36,37,48,52,63,64,71,72,76,80,100,102,106,107,126,129"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,1,3,"18,24,44"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,2,20,"40,53,55,56,57,61,62,73,78,85,86,90,91,93,97,108,109,113,115,116"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,3,1,67
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,4,22,"3,10,31,36,37,47,48,52,63,64,71,72,76,80,100,102,103,106,107,126,128,129"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,5,15,"1,5,8,19,25,27,34,46,58,69,89,95,99,104,119"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_abtab_non_chord.csv,6,30,"7,11,12,13,15,17,21,23,32,35,38,41,43,45,50,59,60,65,82,84,87,88,96,105,112,118,122,125,131,133"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,4,29,"2,3,5,8,9,24,26,31,32,38,39,41,47,48,50,52,53,54,56,58,71,72,73,76,77,85,87,88,89"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,5,26,"1,4,7,13,15,17,19,21,22,29,37,42,43,46,51,57,59,61,65,67,70,74,78,81,82,91"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,6,32,"6,10,11,12,14,16,18,20,27,30,33,34,35,36,40,44,45,49,60,62,63,64,68,69,75,79,80,83,84,86,90,92"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,7,1,25
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,8,4,"0,28,55,66"
output/5252_01_pater_noster_desprez-2/5252_01_pater_noster_desprez-2_tab_raw.csv,13,1,23
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_raw_fourstep.csv,4,23,"2,3,5,9,24,26,31,32,39,41,47,48,52,53,54,56,58,71,72,76,77,85,88"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_raw_non_chord.csv,4,22,"2,9,26,31,32,38,39,41,47,48,52,53,56,58,71,72,73,76,77,85,87,88"
output/5252_01_pater_noster_desprez-2/fourstep/5252_01_pater_noster_desprez-2_tab_raw_non_chord.csv,5,15,"1,4,7,17,21,22,29,37,43,51,65,67,70,74,81"
