note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,58,1/2,0,0,4,match,1,0,True
0,55,1/2,0,0,2,match,0,0,True
3,58,1/16,1/2,1,4,repetition,1,0,False
2,55,1/16,1/2,1,2,repetition,0,0,False
4,62,1/16,9/16,2,4,ornamentation,0,0,False
5,60,1/16,5/8,3,4,ornamentation,0,0,False
6,58,1/16,11/16,4,4,ornamentation,0,0,False
7,60,1/16,3/4,5,4,ornamentation,0,0,False
8,58,1/16,13/16,6,4,ornamentation,0,0,False
9,53,1/16,7/8,7,4,ornamentation,0,0,False
10,55,1/16,15/16,8,4,ornamentation,0,0,False
11,53,3/16,1,9,4,match,1,0,True
12,57,3/16,1,9,2,match,0,0,True
11,53,3/16,1,9,4,match,1,1,True
12,57,3/16,1,9,2,match,0,1,True
13,55,1/16,19/16,10,2,ornamentation,0,1,False
14,53,1/16,5/4,11,2,ornamentation,0,1,False
15,52,1/16,21/16,12,2,ornamentation,0,1,False
16,50,1/16,11/8,13,2,ornamentation,0,1,False
17,48,1/16,23/16,14,2,ornamentation,0,1,False
19,53,1/8,3/2,15,4,repetition,1,1,True
18,50,1/8,3/2,15,2,match,0,1,True
23,55,1/4,2,18,4,match,1,2,True
22,52,1/4,2,18,2,match,0,2,True
24,48,1/16,9/4,19,2,ornamentation,0,2,False
25,50,1/16,37/16,20,2,ornamentation,0,2,False
26,52,1/16,19/8,21,2,ornamentation,0,2,False
27,53,1/16,39/16,22,2,ornamentation,0,2,False
29,55,1/8,5/2,23,4,repetition,1,2,True
28,52,1/8,5/2,23,2,repetition,0,2,True
27,53,1/16,39/16,22,2,ornamentation,0,3,True
29,55,1/8,5/2,23,4,repetition,1,3,False
28,52,1/8,5/2,23,2,repetition,0,3,False
30,50,1/8,21/8,24,2,ornamentation,0,3,False
32,55,1/8,11/4,25,4,repetition,1,3,False
31,52,1/8,11/4,25,2,repetition,0,3,False
33,53,1/8,23/8,26,2,ornamentation,0,3,False
34,43,3/16,3,27,5,match,4,3,True
35,55,3/16,3,27,4,match,3,3,True
36,58,3/16,3,27,3,match,2,3,True
37,62,3/16,3,27,3,adaptation,2,3,True
35,55,3/16,3,27,2,match,1,3,True
35,55,3/16,3,27,1,match,0,3,True
34,43,3/16,3,27,5,match,4,4,True
35,55,3/16,3,27,4,match,3,4,True
36,58,3/16,3,27,3,match,2,4,True
37,62,3/16,3,27,3,adaptation,2,4,True
35,55,3/16,3,27,2,match,1,4,True
35,55,3/16,3,27,1,match,0,4,True
38,57,1/16,51/16,28,3,ornamentation,0,4,False
39,55,1/16,13/4,29,3,ornamentation,0,4,False
40,57,1/16,53/16,30,3,ornamentation,0,4,False
41,58,1/16,27/8,31,3,ornamentation,0,4,False
42,60,1/16,55/16,32,3,ornamentation,0,4,False
43,43,1/8,7/2,33,5,repetition,3,4,True
46,62,1/8,7/2,33,4,match,2,4,True
45,58,1/8,7/2,33,3,repetition,1,4,True
44,55,1/8,7/2,33,2,repetition,0,4,True
42,60,1/16,55/16,32,3,ornamentation,0,5,True
43,43,1/8,7/2,33,5,repetition,3,5,False
46,62,1/8,7/2,33,4,match,2,5,False
45,58,1/8,7/2,33,3,repetition,1,5,False
44,55,1/8,7/2,33,2,repetition,0,5,False
47,45,1/8,29/8,34,5,ornamentation,0,5,False
48,46,1/8,15/4,35,5,ornamentation,0,5,False
49,48,1/8,31/8,36,5,ornamentation,0,5,False
50,50,1/4,4,37,5,match,3,5,True
53,62,1/4,4,37,4,repetition,2,5,True
51,53,1/4,4,37,3,match,1,5,True
52,57,1/4,4,37,1,match,0,5,True
55,50,1/8,9/2,39,5,match,3,6,True
58,65,1/8,9/2,39,4,match,2,6,True
56,53,1/8,9/2,39,3,repetition,1,6,True
57,57,1/8,9/2,39,1,match,0,6,True
59,70,1/16,37/8,40,4,ornamentation,0,6,False
60,69,1/16,75/16,41,4,ornamentation,0,6,False
61,67,1/16,19/4,42,4,adaptation,0,6,False
62,65,1/16,77/16,43,4,ornamentation,0,6,False
63,64,1/16,39/8,44,4,ornamentation,0,6,False
64,62,1/16,79/16,45,4,ornamentation,0,6,False
65,48,3/16,5,46,5,match,3,6,True
68,64,3/16,5,46,4,match,2,6,True
66,55,3/16,5,46,3,match,1,6,True
67,60,3/16,5,46,1,match,0,6,True
65,48,3/16,5,46,5,match,3,7,True
68,64,3/16,5,46,4,match,2,7,True
66,55,3/16,5,46,3,match,1,7,True
67,60,3/16,5,46,1,match,0,7,True
69,62,1/16,83/16,47,4,ornamentation,0,7,False
70,60,1/16,21/4,48,4,ornamentation,0,7,False
71,62,1/16,85/16,49,4,ornamentation,0,7,False
72,64,1/16,43/8,50,4,ornamentation,0,7,False
73,65,1/16,87/16,51,4,ornamentation,0,7,False
74,48,1/8,11/2,52,5,repetition,3,7,True
77,64,1/8,11/2,52,4,repetition,2,7,True
75,55,1/8,11/2,52,3,repetition,1,7,True
76,60,1/8,11/2,52,1,repetition,0,7,True
73,65,1/16,87/16,51,4,ornamentation,0,8,True
74,48,1/8,11/2,52,5,repetition,3,8,False
77,64,1/8,11/2,52,4,repetition,2,8,False
75,55,1/8,11/2,52,3,repetition,1,8,False
76,60,1/8,11/2,52,1,repetition,0,8,False
78,48,1/8,45/8,53,5,ornamentation,0,8,False
79,46,1/8,23/4,54,5,match,0,8,False
80,45,1/8,47/8,55,5,ornamentation,0,8,False
81,43,1/4,6,56,5,match,5,8,True
84,62,1/4,6,56,4,match,4,8,True
82,55,1/4,6,56,3,match,3,8,True
82,55,1/4,6,56,2,match,2,8,True
83,58,1/4,6,56,1,match,1,8,True
85,74,1/4,6,56,0,match,0,8,True
81,43,1/4,6,56,5,match,5,9,True
84,62,1/4,6,56,4,match,4,9,True
82,55,1/4,6,56,3,match,3,9,True
82,55,1/4,6,56,2,match,2,9,True
83,58,1/4,6,56,1,match,1,9,True
85,74,1/4,6,56,0,match,0,9,True
86,55,1/16,25/4,57,3,ornamentation,0,9,False
87,57,1/16,101/16,58,3,ornamentation,0,9,False
88,58,1/16,51/8,59,3,ornamentation,0,9,False
89,60,1/16,103/16,60,3,ornamentation,0,9,False
90,43,1/8,13/2,61,5,match,4,9,True
93,62,1/8,13/2,61,3,match,3,9,True
91,55,1/8,13/2,61,2,repetition,2,9,True
92,58,1/8,13/2,61,1,repetition,1,9,True
94,74,1/8,13/2,61,0,repetition,0,9,True
90,43,1/8,13/2,61,5,match,4,10,True
93,62,1/8,13/2,61,3,match,3,10,True
91,55,1/8,13/2,61,2,repetition,2,10,True
92,58,1/8,13/2,61,1,repetition,1,10,True
94,74,1/8,13/2,61,0,repetition,0,10,True
95,72,1/16,53/8,62,0,ornamentation,0,10,False
96,70,1/16,107/16,63,0,ornamentation,0,10,False
97,72,1/16,27/4,64,0,ornamentation,0,10,False
98,70,1/16,109/16,65,0,ornamentation,0,10,False
99,69,1/16,55/8,66,0,ornamentation,0,10,False
100,67,1/16,111/16,67,0,ornamentation,0,10,False
101,50,1/4,7,68,5,match,3,10,True
103,62,1/4,7,68,4,repetition,2,10,True
102,53,1/4,7,68,2,match,1,10,True
104,69,1/4,7,68,0,match,0,10,True
106,50,1/8,15/2,70,5,match,3,11,True
108,65,1/8,15/2,70,3,match,2,11,True
107,53,1/8,15/2,70,2,match,1,11,True
109,69,1/8,15/2,70,0,match,0,11,True
110,64,1/16,61/8,71,3,ornamentation,0,11,False
111,65,1/16,123/16,72,3,ornamentation,0,11,False
112,67,1/16,31/4,73,3,adaptation,0,11,False
113,65,1/16,125/16,74,3,ornamentation,0,11,False
114,64,1/16,63/8,75,3,ornamentation,0,11,False
115,62,1/16,127/16,76,3,ornamentation,0,11,False
116,48,1/8,8,77,5,match,3,11,True
118,64,1/8,8,77,3,match,2,11,True
117,55,1/8,8,77,2,match,1,11,True
119,72,1/8,8,77,0,match,0,11,True
116,48,1/8,8,77,5,match,3,12,True
118,64,1/8,8,77,3,match,2,12,True
117,55,1/8,8,77,2,match,1,12,True
119,72,1/8,8,77,0,match,0,12,True
120,62,1/16,65/8,78,0,ornamentation,0,12,False
121,64,1/16,131/16,79,0,ornamentation,0,12,False
122,65,1/16,33/4,80,0,ornamentation,0,12,False
123,67,1/16,133/16,81,0,ornamentation,0,12,False
124,69,1/16,67/8,82,0,ornamentation,0,12,False
125,70,1/16,135/16,83,0,ornamentation,0,12,False
126,48,1/8,17/2,84,5,repetition,3,12,True
128,64,1/8,17/2,84,3,repetition,2,12,True
127,55,1/8,17/2,84,2,repetition,1,12,True
129,72,1/8,17/2,84,0,repetition,0,12,True
125,70,1/16,135/16,83,0,ornamentation,0,13,True
126,48,1/8,17/2,84,5,repetition,3,13,False
128,64,1/8,17/2,84,3,repetition,2,13,False
127,55,1/8,17/2,84,2,repetition,1,13,False
129,72,1/8,17/2,84,0,repetition,0,13,False
130,48,1/8,69/8,85,5,ornamentation,0,13,False
