note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
23;55;1/4;2;18;4;match;1;2;True;[monotonic_perfect_fifth_0_1]
22;52;1/4;2;18;2;match;0;2;True;[monotonic_perfect_fifth_0_1]
24;48;1/16;9/4;19;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1]
25;50;1/16;37/16;20;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1]
26;52;1/16;19/8;21;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1]
27;53;1/16;39/16;22;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_1]
29;55;1/8;5/2;23;4;repetition;1;2;True;[monotonic_perfect_fifth_0_1]
28;52;1/8;5/2;23;2;repetition;0;2;True;[monotonic_perfect_fifth_0_1]
27;53;1/16;39/16;22;2;ornamentation;0;3;True;[non_monotonic_chords]
29;55;1/8;5/2;23;4;repetition;1;3;False;[non_monotonic_chords]
28;52;1/8;5/2;23;2;repetition;0;3;False;[non_monotonic_chords]
30;50;1/8;21/8;24;2;ornamentation;0;3;False;[non_monotonic_chords]
32;55;1/8;11/4;25;4;repetition;1;3;False;[non_monotonic_chords]
31;52;1/8;11/4;25;2;repetition;0;3;False;[non_monotonic_chords]
33;53;1/8;23/8;26;2;ornamentation;0;3;False;[non_monotonic_chords]
34;43;3/16;3;27;5;match;4;3;True;[non_monotonic_chords]
35;55;3/16;3;27;4;match;3;3;True;[non_monotonic_chords]
36;58;3/16;3;27;3;match;2;3;True;[non_monotonic_chords]
37;62;3/16;3;27;3;adaptation;2;3;True;[non_monotonic_chords]
35;55;3/16;3;27;2;match;1;3;True;[non_monotonic_chords]
35;55;3/16;3;27;1;match;0;3;True;[non_monotonic_chords]
42;60;1/16;55/16;32;3;ornamentation;0;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_2_chords]
43;43;1/8;7/2;33;5;repetition;3;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_2_chords]
46;62;1/8;7/2;33;4;match;2;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_2_chords]
