note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
11;53;3/16;1;9;4;match;1;1;True
12;57;3/16;1;9;2;match;0;1;True
13;55;1/16;19/16;10;2;ornamentation;0;1;False
14;53;1/16;5/4;11;2;ornamentation;0;1;False
15;52;1/16;21/16;12;2;ornamentation;0;1;False
16;50;1/16;11/8;13;2;ornamentation;0;1;False
17;48;1/16;23/16;14;2;ornamentation;0;1;False
19;53;1/8;3/2;15;4;repetition;1;1;True
18;50;1/8;3/2;15;2;match;0;1;True
23;55;1/4;2;18;4;match;1;2;True
22;52;1/4;2;18;2;match;0;2;True
24;48;1/16;9/4;19;2;ornamentation;0;2;False
25;50;1/16;37/16;20;2;ornamentation;0;2;False
26;52;1/16;19/8;21;2;ornamentation;0;2;False
27;53;1/16;39/16;22;2;ornamentation;0;2;False
29;55;1/8;5/2;23;4;repetition;1;2;True
28;52;1/8;5/2;23;2;repetition;0;2;True
34;43;3/16;3;27;5;match;4;4;True
35;55;3/16;3;27;4;match;3;4;True
36;58;3/16;3;27;3;match;2;4;True
37;62;3/16;3;27;3;adaptation;2;4;True
35;55;3/16;3;27;2;match;1;4;True
35;55;3/16;3;27;1;match;0;4;True
38;57;1/16;51/16;28;3;ornamentation;0;4;False
39;55;1/16;13/4;29;3;ornamentation;0;4;False
40;57;1/16;53/16;30;3;ornamentation;0;4;False
41;58;1/16;27/8;31;3;ornamentation;0;4;False
42;60;1/16;55/16;32;3;ornamentation;0;4;False
43;43;1/8;7/2;33;5;repetition;3;4;True
46;62;1/8;7/2;33;4;match;2;4;True
45;58;1/8;7/2;33;3;repetition;1;4;True
44;55;1/8;7/2;33;2;repetition;0;4;True
55;50;1/8;9/2;39;5;match;3;6;True
58;65;1/8;9/2;39;4;match;2;6;True
56;53;1/8;9/2;39;3;repetition;1;6;True
57;57;1/8;9/2;39;1;match;0;6;True
59;70;1/16;37/8;40;4;ornamentation;0;6;False
60;69;1/16;75/16;41;4;ornamentation;0;6;False
61;67;1/16;19/4;42;4;adaptation;0;6;False
62;65;1/16;77/16;43;4;ornamentation;0;6;False
63;64;1/16;39/8;44;4;ornamentation;0;6;False
64;62;1/16;79/16;45;4;ornamentation;0;6;False
65;48;3/16;5;46;5;match;3;6;True
68;64;3/16;5;46;4;match;2;6;True
66;55;3/16;5;46;3;match;1;6;True
67;60;3/16;5;46;1;match;0;6;True
65;48;3/16;5;46;5;match;3;7;True
68;64;3/16;5;46;4;match;2;7;True
66;55;3/16;5;46;3;match;1;7;True
67;60;3/16;5;46;1;match;0;7;True
69;62;1/16;83/16;47;4;ornamentation;0;7;False
70;60;1/16;21/4;48;4;ornamentation;0;7;False
71;62;1/16;85/16;49;4;ornamentation;0;7;False
72;64;1/16;43/8;50;4;ornamentation;0;7;False
73;65;1/16;87/16;51;4;ornamentation;0;7;False
74;48;1/8;11/2;52;5;repetition;3;7;True
77;64;1/8;11/2;52;4;repetition;2;7;True
75;55;1/8;11/2;52;3;repetition;1;7;True
76;60;1/8;11/2;52;1;repetition;0;7;True
81;43;1/4;6;56;5;match;5;9;True
84;62;1/4;6;56;4;match;4;9;True
82;55;1/4;6;56;3;match;3;9;True
82;55;1/4;6;56;2;match;2;9;True
83;58;1/4;6;56;1;match;1;9;True
85;74;1/4;6;56;0;match;0;9;True
86;55;1/16;25/4;57;3;ornamentation;0;9;False
87;57;1/16;101/16;58;3;ornamentation;0;9;False
88;58;1/16;51/8;59;3;ornamentation;0;9;False
89;60;1/16;103/16;60;3;ornamentation;0;9;False
90;43;1/8;13/2;61;5;match;4;9;True
93;62;1/8;13/2;61;3;match;3;9;True
91;55;1/8;13/2;61;2;repetition;2;9;True
