note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
22;52;1/4;2;18;2;match;0;2;True;2;[monotonic]
24;48;1/16;9/4;19;2;ornamentation;0;2;False;2;[monotonic]
25;50;1/16;37/16;20;2;ornamentation;0;2;False;2;[monotonic]
26;52;1/16;19/8;21;2;ornamentation;0;2;False;2;[monotonic]
27;53;1/16;39/16;22;2;ornamentation;0;2;False;2;[monotonic]
28;52;1/8;5/2;23;2;repetition;0;2;True;2;[monotonic]
27;53;1/16;39/16;22;2;ornamentation;0;3;True;3;[non_monotonic]
28;52;1/8;5/2;23;2;repetition;0;3;False;3;[non_monotonic]
30;50;1/8;21/8;24;2;ornamentation;0;3;False;3;[non_monotonic]
31;52;1/8;11/4;25;2;repetition;0;3;False;3;[non_monotonic]
33;53;1/8;23/8;26;2;ornamentation;0;3;False;3;[non_monotonic]
35;55;3/16;3;27;2;match;1;3;True;3;[non_monotonic]
455;64;1/8;225/8;288;2;ornamentation;0;8;True;8;[monotonic]
456;62;1/16;113/4;289;2;ornamentation;0;8;False;8;[monotonic]
457;64;1/16;453/16;290;2;ornamentation;0;8;False;8;[monotonic]
458;65;1/16;227/8;291;2;repetition;0;8;False;8;[monotonic]
459;67;1/16;455/16;292;2;ornamentation;0;8;False;8;[monotonic]
462;65;1/8;57/2;293;2;match;1;8;True;8;[monotonic]
34;43;3/16;3;27;5;match;4;27;True;0;[monotonic_perfect_fifth_3_3]
43;43;1/8;7/2;33;5;repetition;3;27;False;0;[monotonic_perfect_fifth_3_3]
47;45;1/8;29/8;34;5;ornamentation;0;27;False;0;[monotonic_perfect_fifth_3_3]
48;46;1/8;15/4;35;5;ornamentation;0;27;False;0;[monotonic_perfect_fifth_3_3]
49;48;1/8;31/8;36;5;ornamentation;0;27;False;0;[monotonic_perfect_fifth_3_3]
50;50;1/4;4;37;5;match;3;27;True;0;[monotonic_perfect_fifth_3_3]
248;48;1/16;16;158;5;match;3;32;True;5;[monotonic_perfect_fifth_3_3]
259;43;1/8;33/2;166;5;match;3;32;False;5;[monotonic_perfect_fifth_3_3]
263;45;1/8;133/8;167;5;ornamentation;0;32;False;5;[monotonic_perfect_fifth_3_3]
264;46;1/8;67/4;168;5;ornamentation;0;32;False;5;[monotonic_perfect_fifth_3_3]
265;48;1/8;135/8;169;5;ornamentation;0;32;False;5;[monotonic_perfect_fifth_3_3]
266;50;3/8;17;170;5;match;3;32;True;5;[monotonic_perfect_fifth_3_3]
282;57;1/8;145/8;177;1;ornamentation;0;45;True;2;[monotonic]
283;58;1/16;73/4;178;1;ornamentation;0;45;False;2;[monotonic]
284;57;1/16;293/16;179;1;ornamentation;0;45;False;2;[monotonic]
285;55;1/16;147/8;180;1;ornamentation;0;45;False;2;[monotonic]
286;54;1/16;295/16;181;1;ornamentation;0;45;False;2;[monotonic]
288;55;1/8;37/2;182;1;match;1;45;True;2;[monotonic]
900;60;1/8;113/2;548;1;match;0;59;True;16;[non_monotonic]
901;62;1/32;453/8;549;1;ornamentation;0;59;False;16;[non_monotonic]
902;60;1/32;1813/32;550;1;ornamentation;0;59;False;16;[non_monotonic]
903;58;1/32;907/16;551;1;ornamentation;0;59;False;16;[non_monotonic]
904;60;1/32;1815/32;552;1;ornamentation;0;59;False;16;[non_monotonic]
907;62;1/8;227/4;553;1;match;0;59;True;16;[non_monotonic]
911;58;1/8;57;555;1;match;0;61;True;18;[non_monotonic]
912;60;1/32;457/8;556;1;ornamentation;0;61;False;18;[non_monotonic]
913;58;1/32;1829/32;557;1;ornamentation;0;61;False;18;[non_monotonic]
914;57;1/32;915/16;558;1;ornamentation;0;61;False;18;[non_monotonic]
915;58;1/32;1831/32;559;1;ornamentation;0;61;False;18;[non_monotonic]
916;60;1/16;229/4;560;1;ornamentation;0;61;True;18;[non_monotonic]
82;55;1/4;6;56;3;match;3;67;True;1;[monotonic_perfect_fifth_0_3]
86;55;1/16;25/4;57;3;ornamentation;0;67;False;1;[monotonic_perfect_fifth_0_3]
87;57;1/16;101/16;58;3;ornamentation;0;67;False;1;[monotonic_perfect_fifth_0_3]
88;58;1/16;51/8;59;3;ornamentation;0;67;False;1;[monotonic_perfect_fifth_0_3]
89;60;1/16;103/16;60;3;ornamentation;0;67;False;1;[monotonic_perfect_fifth_0_3]
93;62;1/8;13/2;61;3;match;3;67;True;1;[monotonic_perfect_fifth_0_3]
541;57;1/8;65/2;339;3;repetition;1;73;True;7;[non_monotonic]
543;53;1/16;261/8;340;3;ornamentation;0;73;False;7;[non_monotonic]
544;55;1/16;523/16;341;3;ornamentation;0;73;False;7;[non_monotonic]
545;57;1/16;131/4;342;3;ornamentation;0;73;False;7;[non_monotonic]
546;55;1/16;525/16;343;3;ornamentation;0;73;False;7;[non_monotonic]
547;57;1/32;263/8;344;3;ornamentation;0;73;True;7;[non_monotonic]
546;55;1/16;525/16;343;3;ornamentation;0;74;True;8;[non_monotonic]
547;57;1/32;263/8;344;3;ornamentation;0;74;False;8;[non_monotonic]
548;55;1/32;1053/32;345;3;ornamentation;0;74;False;8;[non_monotonic]
549;53;1/32;527/16;346;3;ornamentation;0;74;False;8;[non_monotonic]
550;55;1/32;1055/32;347;3;ornamentation;0;74;False;8;[non_monotonic]
553;57;1/8;33;348;3;match;1;74;True;8;[non_monotonic]
334;67;1/8;21;210;0;match;0;92;True;12;[monotonic]
335;67;1/16;169/8;211;0;ornamentation;0;92;False;12;[monotonic]
336;65;1/16;339/16;212;0;ornamentation;0;92;False;12;[monotonic]
337;64;1/16;85/4;213;0;ornamentation;0;92;False;12;[monotonic]
338;62;1/16;341/16;214;0;ornamentation;0;92;False;12;[monotonic]
339;64;1/32;171/8;215;0;ornamentation;0;92;True;12;[monotonic]
338;62;1/16;341/16;214;0;ornamentation;0;93;True;13;[monotonic]
339;64;1/32;171/8;215;0;ornamentation;0;93;False;13;[monotonic]
340;65;1/32;685/32;216;0;ornamentation;0;93;False;13;[monotonic]
341;67;1/32;343/16;217;0;ornamentation;0;93;False;13;[monotonic]
342;69;1/32;687/32;218;0;ornamentation;0;93;False;13;[monotonic]
347;70;1/4;43/2;219;0;match;0;93;True;13;[monotonic]
431;69;1/16;429/16;273;0;ornamentation;0;103;True;23;[non_monotonic]
432;70;1/32;215/8;274;0;ornamentation;0;103;False;23;[non_monotonic]
433;69;1/32;861/32;275;0;ornamentation;0;103;False;23;[non_monotonic]
434;67;1/32;431/16;276;0;ornamentation;0;103;False;23;[non_monotonic]
435;69;1/32;863/32;277;0;ornamentation;0;103;False;23;[non_monotonic]
439;70;3/8;27;278;0;match;0;103;True;23;[non_monotonic]
631;69;1/8;77/2;388;0;match;0;109;True;29;[non_monotonic]
632;70;1/32;309/8;389;0;ornamentation;0;109;False;29;[non_monotonic]
633;69;1/32;1237/32;390;0;ornamentation;0;109;False;29;[non_monotonic]
634;67;1/32;619/16;391;0;ornamentation;0;109;False;29;[non_monotonic]
635;69;1/32;1239/32;392;0;ornamentation;0;109;False;29;[non_monotonic]
636;70;1/8;155/4;393;0;match;0;109;True;29;[non_monotonic]
660;64;1/8;321/8;409;0;ornamentation;0;113;True;33;[monotonic]
661;62;1/16;161/4;410;0;ornamentation;0;113;False;33;[monotonic]
662;64;1/16;645/16;411;0;ornamentation;0;113;False;33;[monotonic]
663;65;1/16;323/8;412;0;repetition;0;113;False;33;[monotonic]
664;67;1/16;647/16;413;0;ornamentation;0;113;False;33;[monotonic]
667;65;1/4;81/2;414;0;match;0;113;True;33;[monotonic]
683;61;1/8;333/8;423;0;ornamentation;0;116;True;36;[non_monotonic]
684;62;1/16;167/4;424;0;repetition;0;116;False;36;[non_monotonic]
685;61;1/16;669/16;425;0;ornamentation;0;116;False;36;[non_monotonic]
686;59;1/16;335/8;426;0;ornamentation;0;116;False;36;[non_monotonic]
687;61;1/16;671/16;427;0;ornamentation;0;116;False;36;[non_monotonic]
690;62;1/8;42;428;0;match;0;116;True;36;[non_monotonic]
953;69;1/8;119/2;581;0;match;0;123;True;43;[non_monotonic]
