note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
12,57,3/16,1,9,2,match,0,0,True
13,55,1/16,19/16,10,2,ornamentation,0,0,False
14,53,1/16,5/4,11,2,ornamentation,0,0,False
15,52,1/16,21/16,12,2,ornamentation,0,0,False
16,50,1/16,11/8,13,2,ornamentation,0,0,False
17,48,1/16,23/16,14,2,ornamentation,0,0,False
18,50,1/8,3/2,15,2,match,0,0,True
17,48,1/16,23/16,14,2,ornamentation,0,1,True
18,50,1/8,3/2,15,2,match,0,1,False
20,48,1/8,13/8,16,2,ornamentation,0,1,False
21,50,1/4,7/4,17,2,repetition,0,1,True
22,52,1/4,2,18,2,match,0,2,True
24,48,1/16,9/4,19,2,ornamentation,0,2,False
25,50,1/16,37/16,20,2,ornamentation,0,2,False
26,52,1/16,19/8,21,2,ornamentation,0,2,False
27,53,1/16,39/16,22,2,ornamentation,0,2,False
28,52,1/8,5/2,23,2,repetition,0,2,True
27,53,1/16,39/16,22,2,ornamentation,0,3,True
28,52,1/8,5/2,23,2,repetition,0,3,False
30,50,1/8,21/8,24,2,ornamentation,0,3,False
31,52,1/8,11/4,25,2,repetition,0,3,False
33,53,1/8,23/8,26,2,ornamentation,0,3,False
35,55,3/16,3,27,2,match,1,3,True
417,65,3/16,26,263,2,match,1,4,True
419,67,1/16,419/16,264,2,ornamentation,0,4,False
420,65,1/16,105/4,265,2,repetition,0,4,False
426,65,1/8,53/2,269,2,repetition,1,4,True
438,62,3/8,27,278,2,match,1,5,True
440,64,1/8,219/8,279,2,ornamentation,0,5,False
444,65,1/8,55/2,280,2,match,2,5,False
446,58,1/16,221/8,281,2,ornamentation,0,5,True
444,65,1/8,55/2,280,2,match,2,6,True
446,58,1/16,221/8,281,2,ornamentation,0,6,False
447,57,1/16,443/16,282,2,ornamentation,0,6,False
448,58,1/16,111/4,283,2,ornamentation,0,6,False
449,60,1/16,445/16,284,2,ornamentation,0,6,False
450,62,1/16,223/8,285,2,ornamentation,0,6,False
451,64,1/16,447/16,286,2,ornamentation,0,6,False
454,65,1/8,28,287,2,match,1,6,True
451,64,1/16,447/16,286,2,ornamentation,0,7,True
454,65,1/8,28,287,2,match,1,7,False
455,64,1/8,225/8,288,2,ornamentation,0,7,False
456,62,1/16,113/4,289,2,ornamentation,0,7,True
455,64,1/8,225/8,288,2,ornamentation,0,8,True
456,62,1/16,113/4,289,2,ornamentation,0,8,False
457,64,1/16,453/16,290,2,ornamentation,0,8,False
458,65,1/16,227/8,291,2,repetition,0,8,False
459,67,1/16,455/16,292,2,ornamentation,0,8,False
462,65,1/8,57/2,293,2,match,1,8,True
462,65,1/8,57/2,293,2,match,1,9,True
463,67,1/16,229/8,294,2,ornamentation,0,9,False
464,65,1/16,459/16,295,2,ornamentation,0,9,False
467,64,1/8,115/4,296,2,match,1,9,True
464,65,1/16,459/16,295,2,ornamentation,0,10,True
467,64,1/8,115/4,296,2,match,1,10,False
468,65,1/8,231/8,297,2,ornamentation,0,10,False
471,64,1/8,29,298,2,repetition,1,10,False
472,62,1/8,233/8,299,2,match,0,10,False
474,62,1/8,117/4,300,2,match,2,10,False
476,61,1/16,235/8,301,2,adaptation,0,10,True
474,62,1/8,117/4,300,2,match,2,11,True
476,61,1/16,235/8,301,2,adaptation,0,11,False
477,62,1/16,471/16,302,2,ornamentation,0,11,False
480,62,1/8,59/2,303,2,repetition,2,11,True
480,62,1/8,59/2,303,2,repetition,2,12,True
482,61,1/16,237/8,304,2,ornamentation,0,12,False
483,59,1/16,475/16,305,2,ornamentation,0,12,False
486,61,1/8,119/4,306,2,match,2,12,True
486,61,1/8,119/4,306,2,match,2,13,True
488,59,1/16,239/8,307,2,ornamentation,0,13,False
489,61,1/16,479/16,308,2,ornamentation,0,13,False
492,62,3/16,30,309,2,match,2,13,True
492,62,3/16,30,309,2,match,2,14,True
503,50,1/16,245/8,316,2,ornamentation,0,14,False
504,48,1/16,491/16,317,2,ornamentation,0,14,False
505,50,1/16,123/4,318,2,match,0,14,False
510,57,1/8,31,322,2,match,0,14,True
873,50,1/4,109/2,536,2,match,2,15,True
923,60,1/16,923/16,565,2,ornamentation,0,15,False
924,62,1/16,231/4,566,2,ornamentation,0,15,False
925,64,1/16,925/16,567,2,ornamentation,0,15,False
926,65,1/16,463/8,568,2,ornamentation,0,15,False
927,67,1/16,927/16,569,2,ornamentation,0,15,False
929,65,1/4,58,570,2,match,1,15,True
942,65,1/8,59,574,2,match,1,16,True
944,58,1/16,473/8,575,2,ornamentation,0,16,False
945,60,1/16,947/16,576,2,ornamentation,0,16,False
946,62,1/16,237/4,577,2,ornamentation,0,16,False
947,64,1/16,949/16,578,2,ornamentation,0,16,False
948,65,1/16,475/8,579,2,ornamentation,0,16,False
949,67,1/16,951/16,580,2,ornamentation,0,16,False
952,65,1/8,119/2,581,2,match,1,16,True
972,62,1/8,121/2,593,2,match,1,17,True
973,60,1/16,485/8,594,2,ornamentation,0,17,False
974,62,1/16,971/16,595,2,ornamentation,0,17,False
977,60,1/8,243/4,596,2,match,1,17,True
1048,65,1/8,129/2,630,2,match,1,18,True
1050,67,1/16,517/8,631,2,ornamentation,0,18,False
1051,65,1/16,1035/16,632,2,ornamentation,0,18,False
1052,64,1/16,259/4,633,2,adaptation,0,18,False
1058,65,3/16,65,637,2,match,1,18,True
